candidate,regime,feature_set,architecture,role,support_coverage,attack_label,rows,hard_alarm_rate,conflict_review_rate
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,File Download,3,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Ingress Tool Transfer,3,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin C&C Communication,5,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin ICMP Flooding,8,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin TCP Flooding,11,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin UDP Flooding,6,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai C&C Communication,2,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai GRE Flooding,10,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai TCP Flooding,10,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Mirai UDP Flooding,11,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,File Download,105,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Ingress Tool Transfer,2381,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin C&C Communication,6827,0.9964845466529955,0.003515453347004541
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin ICMP Flooding,7038,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin TCP Flooding,12000,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Merlin UDP Flooding,3292,1.0,0.0
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,same_file_query,seen_in_support,Mirai C&C Communication,106,0.8867924528301887,0.11320754716981132
