candidate,regime,feature_set,architecture,model,role,phase,role_kind,rows,attack_threshold,hard_ood_gate,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,attack_score_mean,hard_ood_score_mean,conflict_score_mean,train_cap
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,id_calib,select,benign_id,51497,0.02311787888407519,,0.0006213954210924908,0.0006213954210924908,0.0,0.0005495169049978858,0.00017957811158225074,0.998957745996231,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_val,select,benign_ood,12205,0.02311787888407519,,0.009422367882015567,0.008930766079475625,0.0004916018025399426,0.0018965165020026606,0.000675714369680325,0.9515136882712669,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_stress,select,hard_ood,79950,0.02311787888407519,,0.0037273295809881176,0.003602251407129456,0.00012507817385866166,0.000827513600759553,0.9966805987764046,0.9983518581911389,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,support_val,select,attack,69,0.02311787888407519,,1.0,0.0,1.0,0.9852043818882167,0.0009417773201085828,0.013648264468430996,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,same_file_query,select,attack,67749,0.02311787888407519,,1.0,0.0005313731567993624,0.9994686268432006,0.9921506872764927,0.0034088835727614907,0.005319385534063465,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,future_query,select,attack,228649,0.02311787888407519,,0.9991165498209045,0.009092539219502382,0.9900240106014021,0.915152270618051,0.009340970721299099,0.06682181455502226,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_ood,all,benign_ood_report,154900,0.02311787888407519,,0.057269205939315684,0.05013557133634603,0.0071336346029696575,0.013651218899690985,0.9829171267294043,0.9836082066064303,1600
C4_fewshot_multiclass_raw115_cap1600,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.02311787888407519,,0.9985740754196033,0.0018618760444670493,0.9967121993751362,0.9763235884945113,0.015492963169358331,0.01933319343453932,1600
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,id_calib,select,benign_id,51497,0.012132084106061735,,0.0046410470512845406,0.0046410470512845406,0.0,0.0004541631256977808,0.00022784973154781467,0.9989797301988891,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_val,select,benign_ood,12205,0.012132084106061735,,0.00934043424825891,0.00934043424825891,0.0,0.0011788207532256354,0.0014245928069071044,0.9508618943270996,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_stress,select,hard_ood,79950,0.012132084106061735,,0.008605378361475922,0.008330206378986868,0.00027517198248905566,0.0008178790339062688,0.9968503837044812,0.9982555791359912,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,support_val,select,attack,69,0.012132084106061735,,1.0,0.028985507246376812,0.9710144927536232,0.973929865380858,0.0005422487554716406,0.025074447808707115,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,same_file_query,select,attack,67749,0.012132084106061735,,1.0,0.001904087145197715,0.9980959128548023,0.9895762783728205,0.005220203275315111,0.007894511211918752,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,future_query,select,attack,228649,0.012132084106061735,,0.9992827434189522,0.05710499499232448,0.9421777484266277,0.9025012353346313,0.010718438828604697,0.07937956166883504,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_ood,all,benign_ood_report,154900,0.012132084106061735,,0.12558424790187217,0.11938670109748224,0.006197546804389929,0.015992624543746753,0.9814269124574917,0.9825477921405293,5000
C4_fewshot_multiclass_raw115_cap5000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.012132084106061735,,0.9982380294993825,0.005004359514640703,0.9932336699847417,0.9751179325801372,0.016928795809563746,0.020188877308725872,5000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,id_calib,select,benign_id,51497,0.010761205956304138,,0.0011456978076392799,0.0011456978076392799,0.0,0.0003555123290367833,0.0001985810766704133,0.9991554620571163,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_val,select,benign_ood,12205,0.010761205956304138,,0.009176566980745596,0.009176566980745596,0.0,0.0011079825834643883,0.001345793554240637,0.9492462299689463,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_stress,select,hard_ood,79950,0.010761205956304138,,0.005666041275797374,0.005403377110694184,0.0002626641651031895,0.0006625180196149276,0.9974853905914595,0.9984500657093468,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,support_val,select,attack,69,0.010761205956304138,,1.0,0.014492753623188406,0.9855072463768116,0.977043480127615,0.0005246680191069783,0.0220042659898386,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,same_file_query,select,attack,67749,0.010761205956304138,,1.0,0.0017417231250645767,0.9982582768749354,0.9872947705773211,0.006733237281457288,0.008545779614274536,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,future_query,select,attack,228649,0.010761205956304138,,0.9987929096562854,0.006149163127763515,0.9926437465285218,0.8996116691416112,0.020361075726856276,0.06628355637275922,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_ood,all,benign_ood_report,154900,0.010761205956304138,,0.0403098773402195,0.03703034215622983,0.003279535183989671,0.005632595740500388,0.9921888927103004,0.9930975503218229,20000
C4_fewshot_multiclass_raw115_cap20000,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.010761205956304138,,0.9983651820097362,0.006185061396497857,0.9921801206132383,0.9702413288825302,0.014544301750898716,0.017599795323326974,20000
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,id_calib,select,benign_id,51497,0.011881731750125189,,0.0009320931316387362,0.0009320931316387362,0.0,0.0004218766717093856,0.00021318055844848918,0.9989983342263438,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_val,select,benign_ood,12205,0.011881731750125189,,0.010077836952068825,0.010077836952068825,0.0,0.0011320385434265166,0.0012316028512434352,0.9503495893950888,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_stress,select,hard_ood,79950,0.011881731750125189,,0.005428392745465916,0.00525328330206379,0.00017510944340212633,0.0006385545966169537,0.9976857061238854,0.9985122682890655,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,support_val,select,attack,69,0.011881731750125189,,1.0,0.028985507246376812,0.9710144927536232,0.9739764631348703,0.0007457634434891588,0.025080506412430207,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,same_file_query,select,attack,67749,0.011881731750125189,,0.9999557189036,0.012398706991985121,0.9875570119116149,0.9806703018745817,0.01220746039811264,0.016139606828524198,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,future_query,select,attack,228649,0.011881731750125189,,0.9992652493559998,0.07683392448687727,0.9224313248691225,0.8710233301005232,0.02114914849917342,0.10063928833456703,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_ood,all,benign_ood_report,154900,0.011881731750125189,,0.06699160748870239,0.05989670755326017,0.007094899935442221,0.010600335203617126,0.9868626489775659,0.9875858365337028,full
C4_fewshot_multiclass_raw115_capfull,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.011881731750125189,,0.9982471118215506,0.006194143718665989,0.9920529681028846,0.9814178026543832,0.010866858316022226,0.014380768484112353,full
