setting,dataset,holdout,seed,seed_group,support_pool_size,support_size,support_holdout_size,v1_validation_ood_alarm,v2_validation_ood_alarm,support_holdout_detection_v1,support_holdout_detection_v2,delta_support_holdout_detection,v1_attack_median,v2_attack_median,v1_attack_q25,v2_attack_q25,v1_ood_q99,v2_ood_q99,sep_v1,sep_v2,delta_sep,sep_sigma,disagreement_rate,v2_only_rate,v1_only_rate,estimated_review_burden,source_rich_shift_score,original100_shift_score,relative_shift_score,proxy_inputs_use_final_ood_eval,proxy_inputs_use_final_attack_eval,v1_final_detection_report_only,v2_final_detection_report_only,v1_final_ood_alarm_report_only,v2_final_ood_alarm_report_only
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,43,main_42_46,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,44,main_42_46,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,45,main_42_46,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,46,main_42_46,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,47,heldout_47_51,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,48,heldout_47_51,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,49,heldout_47_51,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,50,heldout_47_51,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
primary_lowood,primary_lowood,primary_lowood,51,heldout_47_51,4122,32,4090,0.0005,0.0095,0.9322738386308068,0.9691931540342298,0.03691931540342297,14.13906996168773,11.529595963513223,6.997158308141435,8.582090883490444,-4.356444327769584,-3.456500425928039,18.49551428945731,14.986096389441263,-3.5094179000160484,5.284959046104137,0.01,0.0095,0.0005,0.0005,2.1607847213745117,1.2233362197875977,0.9374485015869141,False,False,0.9294545454545454,0.9243636363636364,0.0036,0.0156
