seed,prototype_set,source_roles,count,radius_source,radius_p95,hash_or_descriptor,uses_final_ood,uses_attack_eval,uses_dev_query
42,id_prototypes,id_fit,64,id_calib,5.112029552459717,7cdfd1ee01549c58ba2700c93755e74f67e2124eeba0e10d3c50c783ee16fd76,False,False,False
42,ood_prototypes,ood_train_guard,64,ood_val,4770.8056640625,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,False,False,False
42,attack_prototypes,base_attack_support_train|dev_active_confirmed_attack,64,base_support_val,7.320865154266357,kcenter64_from_base_support_train_plus_confirmed_active_labels,False,False,False
43,id_prototypes,id_fit,64,id_calib,5.116235733032227,852e03235fd05d22541de3611d454e4ad697eb9d07babb71aa5ef64fbe2db567,False,False,False
43,ood_prototypes,ood_train_guard,64,ood_val,4770.8046875,8f7762f971b96387e2890ff5ef8790125b72121c150ea783bf9a07594e2c5b98,False,False,False
43,attack_prototypes,base_attack_support_train|dev_active_confirmed_attack,64,base_support_val,8.518660545349121,kcenter64_from_base_support_train_plus_confirmed_active_labels,False,False,False
44,id_prototypes,id_fit,64,id_calib,5.129356384277344,8bb4b6c7fc63ef4218d3b85d3046eb4e995c7241b81c14e7159a6a5e034a9d5b,False,False,False
44,ood_prototypes,ood_train_guard,64,ood_val,4770.8056640625,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,False,False,False
44,attack_prototypes,base_attack_support_train|dev_active_confirmed_attack,64,base_support_val,7.472121238708496,kcenter64_from_base_support_train_plus_confirmed_active_labels,False,False,False
45,id_prototypes,id_fit,64,id_calib,5.146568298339844,b1daba3261c04fb4e9243ae199d5a0f9a02143e9042b9347c66b3838763b66ec,False,False,False
45,ood_prototypes,ood_train_guard,64,ood_val,4770.81298828125,0a96cf22a17b77cc29bed6446852b1c280ec8b84b5d145ae3200e37190ec733a,False,False,False
45,attack_prototypes,base_attack_support_train|dev_active_confirmed_attack,64,base_support_val,10.654793739318848,kcenter64_from_base_support_train_plus_confirmed_active_labels,False,False,False
46,id_prototypes,id_fit,64,id_calib,5.123999118804932,168ac1f18d88b68fc8680c8249b80f1d9d62d241f0726f50314eda75ac803a97,False,False,False
46,ood_prototypes,ood_train_guard,64,ood_val,4770.810546875,8f7762f971b96387e2890ff5ef8790125b72121c150ea783bf9a07594e2c5b98,False,False,False
46,attack_prototypes,base_attack_support_train|dev_active_confirmed_attack,64,base_support_val,12.872276306152344,kcenter64_from_base_support_train_plus_confirmed_active_labels,False,False,False
