artifact,path,sha256,hash_match,strategy,expected_sha256,actual_sha256
issue27af_medium_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27af_gotham_kitsune115_larger_materialization_and_fast_frontend_plan_2026-06-02\kitsune115_materialization_data_certificate_medium.json,0ccc5352e07766ced4381073e322719a10762dee46a161ee387567feccee7928,True,,,
issue27av_summary,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27av_prototype_aware_triage_and_ood_tail_attribution_2026-06-04\summary.md,edb30cbd5b68b117bc766ac52ad17ee5c09cff8eb79d67b4855bb6178fb1ba34,True,,,
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy,,True,reset_at_split_boundary,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy,,True,reset_at_split_boundary,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz,,True,reset_at_split_boundary,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv,,True,reset_at_split_boundary,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902
feature_schema_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json,,True,reset_at_split_boundary,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1
state_transition_log_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv,,True,reset_at_split_boundary,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc
new_heldout_X,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_X.npy,,True,,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c
new_heldout_sidecar,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_sidecar.csv.gz,,True,,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783
