seed,role,selected_gate_name,selected_margin,rows,before_hard_alarm_rate,after_hard_alarm_rate,after_needs_review_rate,after_suppressed_rate,after_operational_attention_rate,score_mean,benign_covered_fraction,attack_covered_fraction,base_alarm_benign_covered_fraction,base_alarm_attack_covered_fraction
42,id_calib_dev,attack_advantage_margin_dev_v1,-0.055317592620849385,600,0.0,0.0,0.0,0.0,0.0,0.01726265761040964,1.0,0.5316666666666666,0.0,0.0
42,ood_val_dev,attack_advantage_margin_dev_v1,-0.055317592620849385,1500,0.0006666666666666666,0.0,0.0,0.0006666666666666666,0.0,0.08337196234801406,0.95,0.36733333333333335,0.0006666666666666666,0.0
42,support_val_dev,attack_advantage_margin_dev_v1,-0.055317592620849385,32,1.0,1.0,0.0,0.0,1.0,0.9551743225526655,1.0,0.9375,1.0,0.9375
42,final_ood_benign_eval_report_only,attack_advantage_margin_dev_v1,-0.055317592620849385,3000,0.2753333333333333,0.027666666666666666,0.0,0.24766666666666667,0.027666666666666666,0.17142732748177464,0.9973333333333333,0.615,0.2733333333333333,0.0
42,medium_attack_eval_report_only,attack_advantage_margin_dev_v1,-0.055317592620849385,2250,0.992,0.948,0.0,0.044,0.948,0.7785382782830519,0.9982222222222222,0.6728888888888889,0.9906666666666667,0.6666666666666666
42,dev_heavy_query_report_only,attack_advantage_margin_dev_v1,-0.055317592620849385,4000,0.9995,0.99925,0.0,0.00025,0.99925,0.9110718880050688,1.0,0.1065,0.9995,0.1065
43,id_calib_dev,attack_advantage_margin_dev_v1,-69.521484375,600,0.0,0.0,0.0,0.0,0.0,0.016602229214401316,1.0,0.6916666666666667,0.0,0.0
43,ood_val_dev,attack_advantage_margin_dev_v1,-69.521484375,1500,0.0,0.0,0.0,0.0,0.0,0.14026311663337732,0.95,0.38666666666666666,0.0,0.0
43,support_val_dev,attack_advantage_margin_dev_v1,-69.521484375,32,0.84375,0.84375,0.0,0.0,0.84375,0.8087726549371181,1.0,0.9375,0.84375,0.78125
43,final_ood_benign_eval_report_only,attack_advantage_margin_dev_v1,-69.521484375,3000,0.011,0.011,0.0,0.0,0.011,0.13862668642604625,0.9973333333333333,0.6276666666666667,0.011,0.0
43,medium_attack_eval_report_only,attack_advantage_margin_dev_v1,-69.521484375,2250,0.9395555555555556,0.9395555555555556,0.0,0.0,0.9395555555555556,0.8272642273141653,0.9982222222222222,0.8226666666666667,0.9382222222222222,0.8017777777777778
43,dev_heavy_query_report_only,attack_advantage_margin_dev_v1,-69.521484375,4000,0.99675,0.99675,0.0,0.0,0.99675,0.9043472966621501,1.0,0.173,0.99675,0.17175
44,id_calib_dev,attack_advantage_margin_dev_v1,-69.521484375,600,0.0,0.0,0.0,0.0,0.0,0.0124793911291043,1.0,0.5083333333333333,0.0,0.0
44,ood_val_dev,attack_advantage_margin_dev_v1,-69.521484375,1500,0.0013333333333333333,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.06933304796856443,0.95,0.37133333333333335,0.0013333333333333333,0.0
44,support_val_dev,attack_advantage_margin_dev_v1,-69.521484375,32,0.875,0.875,0.0,0.0,0.875,0.7635424776281996,1.0,0.9375,0.875,0.8125
44,final_ood_benign_eval_report_only,attack_advantage_margin_dev_v1,-69.521484375,3000,0.261,0.261,0.0,0.0,0.261,0.156937980105869,0.9973333333333333,0.6213333333333333,0.259,0.0006666666666666666
