seed,region_policy,subspace_name,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,score_floor_q,region_balance,review_budget,attack_outer_norm,benign_core_norm,conflict_slack,role,rows,raw_alarm_rate,hard_alarm_rate,review_any_rate,suppress_rate,review_overflow_rate,attack_core_rate,attack_shell_rate,benign_core_rate,shell_override_rate,conflict_uncapped_rate,unknown_uncapped_rate,attack_advantage_p50,attack_advantage_p95,attack_outer_p50,attack_outer_p95,benign_outer_p50,score_strength_p50,top1_region_all_counts,top1_region_hard_counts
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.01,0.0,0.01,0.0,0.0,0.43333333333333335,0.6566666666666666,1.0,0.0,0.01,0.0,-0.29431057977490127,-0.2837054503324907,0.29510068893432617,0.43406830579042427,0.0008982758154161274,-0.012980598704806013,"{""1"": 600}",{}
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.14333333333333334,0.6286666666666667,1.0,0.0,0.0,0.0,-0.28895892269792967,-0.2729465084616095,0.28949904441833496,2520.1706420898436,0.0005205014022067189,-0.012980598704806013,"{""1"": 1500}",{}
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.2463157894736842,0.002456140350877193,0.02982456140350877,0.04807017543859649,0.16596491228070176,0.3063157894736842,0.6684210526315789,0.8901754385964912,0.002456140350877193,0.009122807017543859,0.10666666666666667,-0.288224462303333,-0.27405618493503425,0.2887551039457321,92.42104682922363,0.0006632967852056026,-0.012980598704806013,"{""1"": 2850}","{""1"": 7}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,25,1.0,0.96,0.0,0.0,0.04,0.76,1.0,1.0,0.96,1.0,0.0,-0.28700673405546695,-0.19187385060358808,0.28791847825050354,0.30304778814315797,0.0012069623917341232,0.886824804699322,"{""0"": 3, ""1"": 21, ""7"": 1}","{""0"": 3, ""1"": 20, ""7"": 1}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,8,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,-0.23563186824321747,-0.07854856615886097,0.2491297721862793,0.2896044597029686,0.01345076970756054,0.9395191281614712,"{""1"": 6, ""2"": 2}","{""1"": 6, ""2"": 2}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,28,0.7142857142857143,0.6428571428571429,0.0,0.0,0.07142857142857142,0.6071428571428571,1.0,1.0,0.6428571428571429,0.7142857142857143,0.0,-0.2781488141627051,-0.2267243325943128,0.27942921221256256,0.28879050314426424,0.0010406742803752422,0.8486136914238418,"{""0"": 2, ""1"": 26}","{""0"": 2, ""1"": 16}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,32,1.0,0.96875,0.0,0.0,0.03125,0.125,0.96875,1.0,0.96875,0.96875,0.0,-0.2772394772619009,-0.08679154673591256,0.2984723150730133,0.7017810642719265,0.021221045404672623,0.9395191281614712,"{""1"": 32}","{""1"": 31}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.9497777777777778,0.9448888888888889,0.004888888888888889,0.0,0.0,0.8933333333333333,0.996,0.9982222222222222,0.9448888888888889,0.948,0.0013333333333333333,-0.2876517063996289,-0.259281899855705,0.2884991765022278,0.28992408514022827,0.0008614691905677319,0.831019657932076,"{""0"": 153, ""1"": 2092, ""7"": 5}","{""0"": 153, ""1"": 1968, ""7"": 5}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.9995,0.921,0.03,0.0,0.0485,0.22775,0.9215,1.0,0.921,0.921,0.0,-0.2872107387520373,-0.21624153314623995,0.30343005061149597,2.2796239495277386,0.013538473285734653,0.9395191281614712,"{""0"": 146, ""1"": 3835, ""2"": 5, ""5"": 14}","{""0"": 146, ""1"": 3519, ""2"": 5, ""5"": 14}"
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.35433333333333333,0.13133333333333333,0.021,0.202,0.0,0.4206666666666667,0.7046666666666667,0.996,0.13133333333333333,0.14666666666666667,0.0036666666666666666,-0.2889589707192499,-0.27749826956132895,0.2894991338253021,0.5712163478136061,0.0006447070045396686,-0.012134207508128044,"{""1"": 3000}","{""1"": 394}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.6283333333333333,1.0,1.0,0.0,0.0016666666666666668,0.0,-0.1297932670568116,-0.1189351652283222,0.13059793412685394,0.3807406336069107,0.0008982758154161274,-0.004234716531844611,"{""0"": 28, ""6"": 572}",{}
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8633333333333333,1.0,0.0,0.0,0.0,-0.12459072240744717,-0.09924951082502957,0.12500353902578354,13427.830615234374,0.0005205014022067189,-0.004234716531844611,"{""6"": 1500}",{}
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.256140350877193,0.0007017543859649122,0.02982456140350877,0.059298245614035086,0.16631578947368422,0.7214035087719298,0.7410526315789474,0.8901754385964912,0.0007017543859649122,0.008421052631578947,0.10666666666666667,-0.12157482336624525,-0.09083431395993104,0.1223280169069767,146.755923461914,0.0006632967852056026,-0.004234716531844611,"{""0"": 462, ""6"": 2388}","{""6"": 2}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,16,1.0,0.875,0.0,0.0,0.125,0.875,1.0,1.0,0.875,1.0,0.0,-0.07998703315388411,-0.010431033588247374,0.08104236423969269,0.30961962044239044,0.0010248480830341578,0.7240918157473923,"{""0"": 3, ""6"": 13}","{""0"": 3, ""6"": 11}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,8,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,-0.3134901048615575,-0.28152066478505733,0.33481043577194214,0.3754059791564941,0.021231913939118385,0.9472107180775263,"{""2"": 2, ""6"": 5, ""7"": 1}","{""2"": 2, ""6"": 5, ""7"": 1}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,66,0.9696969696969697,0.7272727272727273,0.015151515151515152,0.0,0.22727272727272727,0.8636363636363636,0.9848484848484849,1.0,0.7272727272727273,0.9545454545454546,0.0,-0.12006281773210503,-0.05936458337237127,0.1205792985856533,0.5818503350019455,0.0011692888801917434,0.5144861745246068,"{""0"": 5, ""6"": 61}","{""0"": 2, ""6"": 46}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,35,1.0,1.0,0.0,0.0,0.0,0.3142857142857143,1.0,1.0,1.0,1.0,0.0,-0.29850889928638935,-0.15431861327961088,0.31193628907203674,0.3359381973743438,0.013395333662629128,0.9472107180775263,"{""6"": 35}","{""6"": 35}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.9715555555555555,0.8364444444444444,0.029777777777777778,0.0,0.10533333333333333,0.9915555555555555,0.9973333333333333,0.9982222222222222,0.8364444444444444,0.9697777777777777,0.0013333333333333333,-0.10239074713899754,-0.03852488481206819,0.10321839526295662,0.12653094157576533,0.0008614691905677319,0.6112775793724003,"{""0"": 1264, ""6"": 986}","{""0"": 1020, ""6"": 862}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.9995,0.88025,0.03,0.0,0.08925,0.33275,0.8945,1.0,0.88025,0.894,0.0,-0.31144240591675043,-0.06738353852997535,0.3295573443174362,4.3566634178161525,0.013538473285734653,0.9472107180775263,"{""0"": 557, ""2"": 57, ""6"": 3245, ""7"": 141}","{""0"": 516, ""2"": 57, ""6"": 2807, ""7"": 141}"
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.361,0.154,0.03,0.005666666666666667,0.17133333333333334,0.6506666666666666,0.9886666666666667,0.996,0.154,0.35133333333333333,0.0036666666666666666,-0.12024915937217884,-0.09313624319911473,0.12077419832348824,0.6850177377462388,0.0006447070045396686,-0.004234716531844611,"{""0"": 419, ""6"": 2581}","{""6"": 462}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.0,0.0,0.0,0.0,0.0,0.5383333333333333,0.5916666666666667,1.0,0.0,0.0,0.0,-0.42308649321785197,-0.39377061943814623,0.42412109673023224,0.9245798230171203,0.0008982758154161274,-0.012980598704806013,"{""0"": 14, ""1"": 212, ""6"": 2, ""7"": 372}",{}
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.22266666666666668,0.6253333333333333,1.0,0.0,0.0,0.0,-0.4094589037122205,-0.37847341822634917,0.40980711579322815,19455.49462890625,0.0005205014022067189,-0.012980598704806013,"{""1"": 542, ""7"": 958}",{}
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.24140350877192981,0.0,0.02982456140350877,0.05228070175438596,0.15929824561403508,0.5638596491228071,0.708421052631579,0.8901754385964912,0.0,0.0,0.10666666666666667,-0.41520235361531377,-0.3936582174472278,0.41601160168647766,234.916803741455,0.0006632967852056026,-0.012980598704806013,"{""0"": 34, ""1"": 794, ""7"": 2022}",{}
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,24,0.9166666666666666,0.8333333333333334,0.0,0.0,0.08333333333333333,0.7916666666666666,1.0,1.0,0.8333333333333334,0.9166666666666666,0.0,-0.3936581910820678,-0.05259798301267451,0.39456456899642944,0.48536260873079295,0.0011740056797862053,0.6928492059453059,"{""0"": 1, ""6"": 3, ""7"": 20}","{""0"": 1, ""6"": 3, ""7"": 16}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,9,1.0,1.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.0,-0.41962794959545135,-0.2849832644686103,0.42981278896331787,0.4813310384750366,0.013317299075424671,0.9395191281614712,"{""1"": 3, ""2"": 3, ""5"": 3}","{""1"": 3, ""2"": 3, ""5"": 3}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,34,0.9117647058823529,0.7941176470588235,0.029411764705882353,0.0,0.08823529411764706,0.38235294117647056,0.9705882352941176,1.0,0.7941176470588235,0.8823529411764706,0.0,-0.3609092997503467,-0.08613894182490187,0.36183126270771027,0.676911473274231,0.0010957936756312847,0.7486756589400811,"{""1"": 2, ""7"": 32}","{""1"": 1, ""7"": 26}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,31,1.0,0.967741935483871,0.0,0.0,0.03225806451612903,0.16129032258064516,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.0,-0.6551960725337267,-0.2656833389773965,0.6765246987342834,0.8383304178714752,0.021223431453108788,0.9395191281614712,"{""1"": 31}","{""1"": 30}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.9915555555555555,0.8644444444444445,0.029777777777777778,0.0008888888888888889,0.09644444444444444,0.18711111111111112,0.9968888888888889,0.9982222222222222,0.8644444444444445,0.9893333333333333,0.0013333333333333333,-0.39157461759168655,-0.27951312708028137,0.3924192190170288,0.40191859751939774,0.0008614691905677319,0.658008659142006,"{""0"": 8, ""1"": 12, ""7"": 2230}","{""0"": 7, ""1"": 3, ""7"": 1935}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.9995,0.86125,0.03,0.0,0.10825,0.052,0.8795,1.0,0.86125,0.879,0.0,-0.6599135976284742,-0.3914823123224778,0.6800470054149628,6.223160076141344,0.013538473285734653,0.9395191281614712,"{""1"": 2896, ""2"": 139, ""4"": 5, ""5"": 202, ""7"": 758}","{""1"": 2414, ""2"": 139, ""4"": 5, ""5"": 202, ""7"": 685}"
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.3396666666666667,0.037333333333333336,0.03,0.19966666666666666,0.07266666666666667,0.5486666666666666,0.6736666666666666,0.996,0.037333333333333336,0.042333333333333334,0.0036666666666666666,-0.41120138904079795,-0.39365674525906796,0.41197261214256287,1.1964651465415952,0.0006447070045396686,-0.012980598704806013,"{""0"": 98, ""1"": 1052, ""7"": 1850}","{""1"": 112}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.5883333333333334,1.0,0.0,0.0,0.0,-0.5010389150120318,0.0005388188153347073,0.5020116716623306,2.5431068301200863,0.0008982758154161274,-0.007103259719683546,"{""0"": 380, ""3"": 195, ""6"": 25}",{}
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.36533333333333334,0.622,1.0,0.0,0.0,0.0,-0.7338074638682883,-0.05630698075110559,0.7343806326389313,21415.85908203125,0.0005205014022067189,-0.007103259719683546,"{""0"": 944, ""3"": 544, ""4"": 12}",{}
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.23719298245614034,0.0,0.02982456140350877,0.04807017543859649,0.15929824561403508,0.5522807017543859,0.7133333333333334,0.8901754385964912,0.0,0.0,0.10666666666666667,-0.4827535612421343,-0.045805093151284386,0.4831686168909073,665.9232360839837,0.0006632967852056026,-0.007103259719683546,"{""0"": 2056, ""3"": 794}",{}
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,25,1.0,0.92,0.0,0.04,0.04,0.76,0.96,1.0,0.92,0.96,0.0,-0.4844691254547797,-0.10512132258154483,0.4852958917617798,0.9325643539428702,0.0011203120229765773,0.8178004036412625,"{""0"": 20, ""4"": 2, ""6"": 1, ""7"": 2}","{""0"": 19, ""4"": 1, ""6"": 1, ""7"": 2}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,8,1.0,1.0,0.0,0.0,0.0,0.875,1.0,1.0,1.0,1.0,0.0,-0.4306563101708889,-0.26270664567127827,0.45187853276729584,0.9382299572229384,0.021221045404672623,0.9430610497326193,"{""2"": 5, ""3"": 2, ""5"": 1}","{""2"": 5, ""3"": 2, ""5"": 1}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,28,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0.6428571428571429,1.0,1.0,0.6428571428571429,0.6428571428571429,0.0,-0.4716405368526466,-0.156941229509539,0.4731828272342682,0.6817383944988251,0.0010406742803752422,0.7171780672979797,"{""0"": 24, ""7"": 4}","{""0"": 14, ""7"": 4}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,33,1.0,0.8787878787878788,0.0,0.0,0.12121212121212122,0.24242424242424243,0.8787878787878788,1.0,0.8787878787878788,0.8787878787878788,0.0,-0.7491095466539264,-0.42203603219240904,0.7589507102966309,1.0310881853103637,0.013395333662629128,0.9430610497326193,"{""0"": 1, ""2"": 23, ""3"": 6, ""5"": 3}","{""0"": 1, ""2"": 21, ""3"": 4, ""5"": 3}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.9373333333333334,0.6724444444444444,0.029777777777777778,0.0008888888888888889,0.23422222222222222,0.924,0.9951111111111111,0.9982222222222222,0.6724444444444444,0.9333333333333333,0.0013333333333333333,-0.30146339803468436,-0.19556317580281762,0.3022877871990204,0.5882267445325848,0.0008614691905677319,0.740962357158661,"{""0"": 2209, ""3"": 7, ""4"": 6, ""6"": 9, ""7"": 19}","{""0"": 1483, ""4"": 2, ""6"": 9, ""7"": 19}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.9995,0.6415,0.03,0.0,0.328,0.37875,0.6645,1.0,0.6415,0.664,0.0,-0.7141418810933828,-0.2112681512604469,0.7286962568759918,17.784454536437977,0.013538473285734653,0.9430610497326193,"{""0"": 784, ""2"": 2388, ""3"": 802, ""5"": 26}","{""0"": 665, ""2"": 1775, ""3"": 100, ""5"": 26}"
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.33766666666666667,0.0006666666666666666,0.03,0.202,0.105,0.536,0.6443333333333333,0.996,0.0006666666666666666,0.0006666666666666666,0.0036666666666666666,-0.4095663750485983,-0.022803809306703778,0.4102689176797867,3.6884840369224503,0.0006447070045396686,-0.007103259719683546,"{""0"": 1945, ""3"": 1055}","{""0"": 2}"
46,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.40166666666666667,1.0,1.0,0.0,0.0016666666666666668,0.0,-0.13881573744583875,-0.12388573045609519,0.13968148082494736,0.3872699454426765,0.0008982758154161274,-0.004282499602904748,"{""7"": 600}",{}
