seed,region_policy,subspace_name,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,score_floor_q,region_balance,review_budget,attack_outer_norm,benign_core_norm,conflict_slack,subspace_dim,region_count,total_prototypes,avg_prototypes_per_region,centroid_distance_ops_per_raw_alarm,prototype_distance_ops_per_raw_alarm_est,raw_score_low_can_skip_bank,uses_ann_or_faiss
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,70,8,49,6.125,560,1470,True,False
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,70,8,44,5.5,560,1260,True,False
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,70,8,45,5.625,560,1260,True,False
45,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,70,8,48,6.0,560,1260,True,False
46,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,70,8,41,5.125,560,1260,True,False
