seed,region_policy,subspace_name,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,score_floor_q,region_balance,review_budget,attack_outer_norm,benign_core_norm,conflict_slack,role,rows,attack_outer_p50,attack_outer_p95,benign_outer_p50,conflict_uncapped_rate,benign_core_rate,attack_shell_rate,hard_alarm_rate
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.29510068893432617,0.43406830579042427,0.0008982758154161274,0.01,1.0,0.6566666666666666,0.0
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.28949904441833496,2520.1706420898436,0.0005205014022067189,0.0,1.0,0.6286666666666667,0.0
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.2887551039457321,92.42104682922363,0.0006632967852056026,0.009122807017543859,0.8901754385964912,0.6684210526315789,0.002456140350877193
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,25,0.28791847825050354,0.30304778814315797,0.0012069623917341232,1.0,1.0,1.0,0.96
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,8,0.2491297721862793,0.2896044597029686,0.01345076970756054,1.0,1.0,1.0,1.0
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,28,0.27942921221256256,0.28879050314426424,0.0010406742803752422,0.7142857142857143,1.0,1.0,0.6428571428571429
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,32,0.2984723150730133,0.7017810642719265,0.021221045404672623,0.96875,1.0,0.96875,0.96875
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.2884991765022278,0.28992408514022827,0.0008614691905677319,0.948,0.9982222222222222,0.996,0.9448888888888889
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.30343005061149597,2.2796239495277386,0.013538473285734653,0.921,1.0,0.9215,0.921
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.2894991338253021,0.5712163478136061,0.0006447070045396686,0.14666666666666667,0.996,0.7046666666666667,0.13133333333333333
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.13059793412685394,0.3807406336069107,0.0008982758154161274,0.0016666666666666668,1.0,1.0,0.0
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.12500353902578354,13427.830615234374,0.0005205014022067189,0.0,1.0,0.8633333333333333,0.0
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.1223280169069767,146.755923461914,0.0006632967852056026,0.008421052631578947,0.8901754385964912,0.7410526315789474,0.0007017543859649122
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,16,0.08104236423969269,0.30961962044239044,0.0010248480830341578,1.0,1.0,1.0,0.875
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_heavy_val,8,0.33481043577194214,0.3754059791564941,0.021231913939118385,1.0,1.0,1.0,1.0
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_medium_query,66,0.1205792985856533,0.5818503350019455,0.0011692888801917434,0.9545454545454546,1.0,0.9848484848484849,0.7272727272727273
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,pseudo_heavy_query,35,0.31193628907203674,0.3359381973743438,0.013395333662629128,1.0,1.0,1.0,1.0
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,medium_attack_eval_report_only,2250,0.10321839526295662,0.12653094157576533,0.0008614691905677319,0.9697777777777777,0.9982222222222222,0.9973333333333333,0.8364444444444444
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,dev_heavy_query_report_only,4000,0.3295573443174362,4.3566634178161525,0.013538473285734653,0.894,1.0,0.8945,0.88025
43,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,final_ood_report_only,3000,0.12077419832348824,0.6850177377462388,0.0006447070045396686,0.35133333333333333,0.996,0.9886666666666667,0.154
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,600,0.42412109673023224,0.9245798230171203,0.0008982758154161274,0.0,1.0,0.5916666666666667,0.0
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,1500,0.40980711579322815,19455.49462890625,0.0005205014022067189,0.0,1.0,0.6253333333333333,0.0
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,2850,0.41601160168647766,234.916803741455,0.0006632967852056026,0.0,0.8901754385964912,0.708421052631579,0.0
44,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,support_medium_val,24,0.39456456899642944,0.48536260873079295,0.0011740056797862053,0.9166666666666666,1.0,1.0,0.8333333333333334
