seed,region_policy,subspace_name,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,score_floor_q,region_balance,review_budget,attack_outer_norm,benign_core_norm,conflict_slack,role,region_id,source_family,top1_route_rate,hard_alarm_rate_with_top1_region,attack_shell_rate_with_top1_region,rows
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r0,mixed:heavy:1|medium:65,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r1,heavy,1.0,0.0,0.6566666666666666,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r2,heavy,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r3,heavy,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r4,heavy,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r5,heavy,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r6,medium,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,id_calib,cluster_kcenter_r7,medium,0.0,0.0,0.0,600
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r0,mixed:heavy:1|medium:65,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r1,heavy,1.0,0.0,0.6286666666666667,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r2,heavy,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r3,heavy,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r4,heavy,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r5,heavy,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r6,medium,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_val,cluster_kcenter_r7,medium,0.0,0.0,0.0,1500
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,cluster_kcenter_r0,mixed:heavy:1|medium:65,0.0,0.0,0.0,2850
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,cluster_kcenter_r1,heavy,1.0,0.002456140350877193,0.6684210526315789,2850
42,cluster_kcenter,HH_HpHp,128,8,3,0.75,0.95,0.0,equal_region_total,0.03,1.0,0.75,1.0,ood_stress_val,cluster_kcenter_r2,heavy,0.0,0.0,0.0,2850
