feature_set,role,phase,label,rows
M0_raw115,support_train,fit,3,385
M0_raw115,id_calib,fit,0,1200
M0_raw115,ood_val,fit,1,1200
M0_raw115,ood_stress,fit,2,1200
M1_mechanism_only,support_train,fit,3,385
M1_mechanism_only,id_calib,fit,0,1200
M1_mechanism_only,ood_val,fit,1,1200
M1_mechanism_only,ood_stress,fit,2,1200
M2_raw115_plus_mechanism,support_train,fit,3,385
M2_raw115_plus_mechanism,id_calib,fit,0,1200
M2_raw115_plus_mechanism,ood_val,fit,1,1200
M2_raw115_plus_mechanism,ood_stress,fit,2,1200
