feature_set,role,phase,role_kind,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,attack_score_mean,conflict_score_mean
M0_raw115,id_calib,select,benign_id,1106,0.01891900037236561,0.0027124773960217,0.0027124773960217,0.0,0.001586894192470391,0.9025941579624658
M0_raw115,ood_val,select,benign_ood,1500,0.01891900037236561,0.0,0.0,0.0,0.0007471629022929882,0.9600351402052556
M0_raw115,ood_stress,select,hard_ood,1500,0.01891900037236561,0.007333333333333333,0.005333333333333333,0.002,0.009766962103617532,0.9889864946172302
M0_raw115,support_val,select,attack,69,0.01891900037236561,1.0,0.014492753623188406,0.9855072463768116,0.9804291054839146,0.018270589545813242
M0_raw115,same_file_query,select,attack,1500,0.01891900037236561,1.0,0.0,1.0,0.9982336897222306,0.000823672115653421
M0_raw115,future_query,select,attack,1500,0.01891900037236561,1.0,0.0006666666666666666,0.9993333333333333,0.9894600769301171,0.0068226776594851905
M0_raw115,sealed_final_ood,all,benign_ood_report,3000,0.01891900037236561,0.011,0.008333333333333333,0.0026666666666666666,0.00983256791121648,0.9881041403970332
M0_raw115,sealed_final_attack,all,attack_report,3000,0.01891900037236561,0.9916666666666667,0.0006666666666666666,0.991,0.9699464621602466,0.027397582563666565
M1_mechanism_only,id_calib,select,benign_id,1106,0.07353588334520728,0.0,0.0,0.0,0.00021809920274348357,0.9994822679959916
M1_mechanism_only,ood_val,select,benign_ood,1500,0.07353588334520728,0.006,0.006,0.0,0.004233686690330312,0.9951671844438742
M1_mechanism_only,ood_stress,select,hard_ood,1500,0.07353588334520728,0.0006666666666666666,0.0006666666666666666,0.0,0.00035931217894568437,0.9993112831182307
M1_mechanism_only,support_val,select,attack,69,0.07353588334520728,1.0,0.0,1.0,0.998501041025881,0.0008005134144748273
M1_mechanism_only,same_file_query,select,attack,1500,0.07353588334520728,1.0,0.0,1.0,0.9995135215750695,0.0001986805105146427
M1_mechanism_only,future_query,select,attack,1500,0.07353588334520728,1.0,0.0006666666666666666,0.9993333333333333,0.9469804449622111,0.05196833260819566
M1_mechanism_only,sealed_final_ood,all,benign_ood_report,3000,0.07353588334520728,0.009666666666666667,0.009666666666666667,0.0,0.024221476064145524,0.9749434146015631
M1_mechanism_only,sealed_final_attack,all,attack_report,3000,0.07353588334520728,0.9446666666666667,0.07233333333333333,0.8723333333333333,0.8577928458232128,0.13982474173044854
M2_raw115_plus_mechanism,id_calib,select,benign_id,1106,0.5619406767365926,0.0,0.0,0.0,0.00019767127237075495,0.999490208773949
M2_raw115_plus_mechanism,ood_val,select,benign_ood,1500,0.5619406767365926,0.0,0.0,0.0,0.0009237992041411882,0.99870642915408
M2_raw115_plus_mechanism,ood_stress,select,hard_ood,1500,0.5619406767365926,0.01,0.0,0.01,0.4355377585731327,0.5634648512991287
M2_raw115_plus_mechanism,support_val,select,attack,69,0.5619406767365926,1.0,0.0,1.0,0.9967277229552386,0.0011836328435180636
M2_raw115_plus_mechanism,same_file_query,select,attack,1500,0.5619406767365926,1.0,0.0,1.0,0.9994471192951235,0.0002482475409833884
M2_raw115_plus_mechanism,future_query,select,attack,1500,0.5619406767365926,0.99,0.0,0.99,0.9594866331644889,0.03926494223915055
M2_raw115_plus_mechanism,sealed_final_ood,all,benign_ood_report,3000,0.5619406767365926,0.19633333333333333,0.0,0.19633333333333333,0.23792027611499425,0.7613869763343928
M2_raw115_plus_mechanism,sealed_final_attack,all,attack_report,3000,0.5619406767365926,0.9456666666666667,0.0,0.9456666666666667,0.941288129187919,0.0537126598425592
