seed,active_label_budget,gate_name,radius_quantile,margin,selected_for_replay,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query,id_calib_raw_alarm_rate,id_calib_hard_alarm_rate,id_calib_review_rate,id_calib_suppress_rate,id_calib_attack_covered_rate,id_calib_benign_covered_rate,id_calib_attack_advantage_mean,ood_val_raw_alarm_rate,ood_val_hard_alarm_rate,ood_val_review_rate,ood_val_suppress_rate,ood_val_attack_covered_rate,ood_val_benign_covered_rate,ood_val_attack_advantage_mean,ood_stress_val_raw_alarm_rate,ood_stress_val_hard_alarm_rate,ood_stress_val_review_rate,ood_stress_val_suppress_rate,ood_stress_val_attack_covered_rate,ood_stress_val_benign_covered_rate,ood_stress_val_attack_advantage_mean,support_medium_val_raw_alarm_rate,support_medium_val_hard_alarm_rate,support_medium_val_review_rate,support_medium_val_suppress_rate,support_medium_val_attack_covered_rate,support_medium_val_benign_covered_rate,support_medium_val_attack_advantage_mean,support_heavy_val_raw_alarm_rate,support_heavy_val_hard_alarm_rate,support_heavy_val_review_rate,support_heavy_val_suppress_rate,support_heavy_val_attack_covered_rate,support_heavy_val_benign_covered_rate,support_heavy_val_attack_advantage_mean,medium_attack_eval_report_only_raw_alarm_rate,medium_attack_eval_report_only_hard_alarm_rate,medium_attack_eval_report_only_review_rate,medium_attack_eval_report_only_suppress_rate,medium_attack_eval_report_only_attack_covered_rate,medium_attack_eval_report_only_benign_covered_rate,medium_attack_eval_report_only_attack_advantage_mean,dev_heavy_query_report_only_raw_alarm_rate,dev_heavy_query_report_only_hard_alarm_rate,dev_heavy_query_report_only_review_rate,dev_heavy_query_report_only_suppress_rate,dev_heavy_query_report_only_attack_covered_rate,dev_heavy_query_report_only_benign_covered_rate,dev_heavy_query_report_only_attack_advantage_mean,final_ood_report_only_raw_alarm_rate,final_ood_report_only_hard_alarm_rate,final_ood_report_only_review_rate,final_ood_report_only_suppress_rate,final_ood_report_only_attack_covered_rate,final_ood_report_only_benign_covered_rate,final_ood_report_only_attack_advantage_mean
42,64,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0,0.0,0.0,0.0,0.025,0.9483333333333334,-9.111125946044922,0.0,0.0,0.0,0.0,0.0,1.0,-9784.765625,0.24070175438596492,0.0,0.0,0.24070175438596492,0.015087719298245613,0.7712280701754386,-8740.5947265625,1.0,0.0,0.75,0.25,0.75,1.0,-0.8895372152328491,1.0,0.6875,0.0625,0.25,0.75,1.0,-0.1720486283302307,0.976,0.064,0.7351111111111112,0.1768888888888889,0.8071111111111111,0.9982222222222222,-74.07340240478516,0.9985,0.27,0.2175,0.511,0.48325,0.99775,-8.572086334228516,0.3383333333333333,0.0,0.0,0.3383333333333333,0.047,0.996,-427.16796875
42,128,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0,0.0,0.0,0.0,0.025,0.9483333333333334,-9.111125946044922,0.0,0.0,0.0,0.0,0.0,1.0,-9807.259765625,0.24070175438596492,0.0,0.0,0.24070175438596492,0.015087719298245613,0.7712280701754386,-9130.703125,1.0,0.0,0.75,0.25,0.75,1.0,-0.8895372152328491,1.0,0.71875,0.03125,0.25,0.75,1.0,-2.746704578399658,0.9853333333333333,0.064,0.7417777777777778,0.17955555555555555,0.8071111111111111,0.9982222222222222,-74.88595581054688,0.9995,0.1515,0.20075,0.64725,0.34825,0.99775,-14.017783164978027,0.3383333333333333,0.0,0.0,0.3383333333333333,0.047,0.996,-513.9273071289062
43,64,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.025,0.9483333333333334,-9.231959342956543,0.0,0.0,0.0,0.0,0.0,1.0,-9352.3154296875,0.24,0.0,0.0,0.24,0.004210526315789474,0.7712280701754386,-8620.58203125,0.96875,0.0,0.75,0.21875,0.75,0.96875,-0.8675957918167114,1.0,0.75,0.0,0.25,0.75,1.0,-0.29062387347221375,0.9924444444444445,0.07866666666666666,0.7764444444444445,0.13733333333333334,0.856,0.9982222222222222,-78.00069427490234,0.9995,0.12325,0.19925,0.677,0.31675,0.99775,-12.796451568603516,0.3416666666666667,0.0003333333333333333,0.001,0.3403333333333333,0.03933333333333333,0.996,-363.2113037109375
43,128,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.025,0.9483333333333334,-9.0714693069458,0.0,0.0,0.0,0.0,0.0,1.0,-9341.10546875,0.24,0.0,0.0,0.24,0.004210526315789474,0.7712280701754386,-8588.876953125,0.96875,0.0,0.75,0.21875,0.75,0.96875,-0.8675957918167114,1.0,0.625,0.125,0.25,0.75,1.0,-0.22726549208164215,0.9924444444444445,0.07866666666666666,0.7764444444444445,0.13733333333333334,0.856,0.9982222222222222,-78.00069427490234,0.9995,0.21975,0.202,0.57775,0.417,0.99775,-10.86221694946289,0.3416666666666667,0.0003333333333333333,0.001,0.3403333333333333,0.03933333333333333,0.996,-315.3219299316406
44,64,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.028333333333333332,0.9483333333333334,-8.055787086486816,0.0,0.0,0.0,0.0,0.0,1.0,-8161.7314453125,0.26035087719298244,0.0,0.0,0.26035087719298244,0.03192982456140351,0.7712280701754386,-7617.59716796875,0.96875,0.0,0.75,0.21875,0.75,0.96875,-0.7485322952270508,1.0,0.625,0.125,0.25,0.75,1.0,-0.2570478618144989,0.9928888888888889,0.09555555555555556,0.796,0.10133333333333333,0.8933333333333333,0.9982222222222222,-62.945194244384766,0.9995,0.20875,0.21475,0.576,0.42075,0.99775,-10.756492614746094,0.39866666666666667,0.0,0.014666666666666666,0.384,0.057,0.996,-337.73828125
44,128,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.028333333333333332,0.9483333333333334,-8.180231094360352,0.0,0.0,0.0,0.0,0.0,1.0,-8176.57080078125,0.26035087719298244,0.0,0.0,0.26035087719298244,0.03192982456140351,0.7712280701754386,-7690.0673828125,0.96875,0.0,0.75,0.21875,0.75,0.96875,-0.7485322952270508,1.0,0.65625,0.09375,0.25,0.75,1.0,-0.6112526655197144,0.9928888888888889,0.09555555555555556,0.796,0.10133333333333333,0.8933333333333333,0.9982222222222222,-62.945194244384766,0.9995,0.076,0.19425,0.72925,0.269,0.99775,-18.32555389404297,0.39866666666666667,0.0,0.014666666666666666,0.384,0.057,0.996,-367.1041259765625
45,64,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.005,0.0,0.0,0.005,0.0,0.9483333333333334,-8.578821182250977,0.0,0.0,0.0,0.0,0.0,1.0,-8483.4111328125,0.24526315789473685,0.0,0.0007017543859649122,0.24456140350877192,0.03368421052631579,0.7712280701754386,-7587.24072265625,0.96875,0.0,0.75,0.21875,0.75,1.0,-0.8195858001708984,1.0,0.625,0.125,0.25,0.75,1.0,-27.80848503112793,0.9924444444444445,0.06933333333333333,0.7728888888888888,0.15022222222222223,0.8422222222222222,0.9982222222222222,-60.02790451049805,0.9995,0.30675,0.2245,0.46825,0.52925,0.99775,-7.297840595245361,0.344,0.0,0.001,0.343,0.042333333333333334,0.996,-374.1898193359375
45,128,attack_advantage_margin,0.75,-0.25,True,False,False,False,0.005,0.0,0.0,0.005,0.0,0.9483333333333334,-8.286513328552246,0.0,0.0,0.0,0.0,0.0,1.0,-8482.7470703125,0.24526315789473685,0.0,0.0007017543859649122,0.24456140350877192,0.03368421052631579,0.7712280701754386,-7799.96923828125,0.96875,0.0,0.75,0.21875,0.75,1.0,-0.8195858001708984,1.0,0.6875,0.0625,0.25,0.75,1.0,-0.1580045223236084,0.9924444444444445,0.06933333333333333,0.7728888888888888,0.15022222222222223,0.8422222222222222,0.9982222222222222,-60.65089416503906,0.9995,0.31425,0.20275,0.4825,0.5125,0.99775,-10.711919784545898,0.344,0.0,0.001,0.343,0.042333333333333334,0.996,-255.8003692626953
46,64,attack_advantage_margin,0.95,-0.25,True,False,False,False,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.7116666666666667,1.0,-3.3455023765563965,0.0,0.0,0.0,0.0,0.14333333333333334,1.0,-1322.0615234375,0.24175438596491228,0.0,0.0007017543859649122,0.24105263157894738,0.42280701754385963,0.9498245614035088,-1233.7410888671875,0.96875,0.90625,0.0,0.0625,0.9375,1.0,-0.24120524525642395,1.0,0.6875,0.25,0.0625,0.9375,1.0,-0.3409935235977173,0.992,0.8831111111111111,0.10755555555555556,0.0013333333333333333,0.9951111111111111,0.9982222222222222,-10.261618614196777,0.9995,0.33675,0.4125,0.25025,0.74925,1.0,-4.879391670227051,0.3403333333333333,0.0023333333333333335,0.0,0.338,0.516,0.9966666666666667,-61.9019775390625
46,128,attack_advantage_margin,0.95,-0.25,True,False,False,False,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.7116666666666667,1.0,-3.3455023765563965,0.0,0.0,0.0,0.0,0.14333333333333334,1.0,-1322.0615234375,0.24175438596491228,0.0,0.0007017543859649122,0.24105263157894738,0.42280701754385963,0.9498245614035088,-1237.9798583984375,0.96875,0.90625,0.0,0.0625,0.9375,1.0,-0.24120524525642395,1.0,0.65625,0.28125,0.0625,0.9375,1.0,-1.0257400274276733,0.992,0.8831111111111111,0.10755555555555556,0.0013333333333333333,0.9951111111111111,0.9982222222222222,-10.261618614196777,0.9995,0.209,0.404,0.3865,0.613,1.0,-6.127895355224609,0.3403333333333333,0.0023333333333333335,0.0,0.338,0.516,0.9966666666666667,-68.2783203125
