seed,active_label_budget,gate_name,radius_quantile,margin,id_calib_hard_alarm,id_calib_review,ood_val_hard_alarm,ood_val_review,ood_stress_hard_alarm,ood_stress_review,support_medium_hard_detection,support_heavy_hard_detection,dev_support_attack_min,stress_feasible,stress_relaxed_feasible,dev_selection_score,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query
42,64,no_gate,0.95,0.0,0.0,0.0,0.0,0.0,0.24070175438596492,0.0,1.0,1.0,1.0,False,False,1.0,False,False,False
42,64,soft_benign_veto,0.75,-0.25,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.6875,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.75,0.0,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.5,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.75,0.25,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.125,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.75,0.5,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.75,0.75,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.75,1.0,0.0,0.0,0.0,0.0,0.2256140350877193,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.9,-0.25,0.0,0.0,0.0,0.0,0.0968421052631579,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.9,0.0,0.0,0.0,0.0,0.0,0.0968421052631579,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.9,0.25,0.0,0.0,0.0,0.0,0.0968421052631579,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.9,0.5,0.0,0.0,0.0,0.0,0.0968421052631579,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
42,64,soft_benign_veto,0.9,0.75,0.0,0.0,0.0,0.0,0.0968421052631579,0.0,0.0,0.0,0.0,False,False,0.0,False,False,False
