object,operation,source_roles,uses_final_ood_for_selection,uses_attack_eval_for_selection,uses_dev_heavy_query_for_selection,forbidden_selection_access
anatomy_replay,fit_previous_scorers_and_score_roles,id_fit|ood_train|ood_stress_train|medium_attack_train|active_heavy_attack_train|id_calib|ood_val|ood_stress_val|support_val|pseudo_query,False,False,False,False
report_only_anatomy,frozen_score_distribution_and_family_auc_only,final_ood_report_only|medium_attack_eval_report_only|dev_heavy_query_report_only,False,False,False,False
