seed,scorer,medium_support_mean,medium_query_mean,heavy_support_mean,heavy_query_mean,medium_vs_heavy_support_gap,medium_vs_heavy_query_gap
42,two_head_medium_head,0.8025159458505651,0.5726697649817097,0.005231579524189599,0.005902524076392154,0.7972843663263754,0.5667672409053176
42,two_head_heavy_head,-0.012980598704806012,-0.012980598704806012,0.9395191281614712,0.9395191281614712,-0.9524997268662773,-0.9524997268662773
42,two_head_max_margin,0.8025159458505651,0.5730376356169051,0.9395191281614712,0.9395191281614712,-0.13700318231090614,-0.3664814925445661
42,shared,0.6624594782467106,0.3680242051735448,0.8404565498064811,0.47686116037344395,-0.17799707155977051,-0.10883695519989917
43,two_head_medium_head,0.6270774503193622,0.5319282818188239,-0.12303836942212189,-0.12217255157646671,0.7501158197414841,0.6541008333952906
43,two_head_heavy_head,-0.0035924495230544888,-0.003691787596556333,0.9472107180775263,0.9286319372252508,-0.9508031676005808,-0.9323237248218071
43,two_head_max_margin,0.6270774503193622,0.5354303855864704,0.9472107180775263,0.9286319372252508,-0.3201332677581641,-0.39320155163878046
43,shared,0.6140792552666952,0.5474101775925158,0.8396794770581206,0.7251076667001027,-0.22560022179142547,-0.17769748910758698
44,two_head_medium_head,0.6028864291491539,0.5870707388055694,-0.13905687653850446,-0.13933537652382136,0.7419433056876583,0.7264061153293907
44,two_head_heavy_head,-0.012980598704806013,-0.012980598704806013,0.9395191281614712,0.9395191281614712,-0.9524997268662773,-0.9524997268662773
44,two_head_max_margin,0.6159385393219865,0.6011870394276869,0.9395191281614712,0.9395191281614712,-0.3235805888394847,-0.3383320887337843
44,shared,0.5845539247174799,0.5560194645962152,0.6126817680639834,0.4879780924346639,-0.028127843346503534,0.06804137216155132
45,two_head_medium_head,0.7751064622673647,0.45691326347943007,-0.09528484381948027,-0.09394221077843169,0.8703913060868449,0.5508554742578617
45,two_head_heavy_head,-0.007075292840347362,-0.007103259719683544,0.9401800677621831,0.9406773552151715,-0.9472553606025305,-0.947780614934855
45,two_head_max_margin,0.7751064622673647,0.4893903917441666,0.9401800677621831,0.9406773552151715,-0.16507360549481842,-0.4512869634710049
45,shared,0.6701505579234504,0.4232236908228531,0.7163345443931273,0.2660993304846753,-0.04618398646967692,0.15712436033817778
46,two_head_medium_head,0.623677950521034,0.5826668726384266,-0.05553914629261182,-0.05702741298544226,0.6792170968136458,0.6396942856238689
46,two_head_heavy_head,-0.0042248373295272,-0.0042153077055694255,0.9467315461713096,0.914468988937757,-0.9509563835008368,-0.9186842966433264
46,two_head_max_margin,0.6283343058211688,0.5854581596234577,0.9467315461713096,0.9171654977415122,-0.31839724035014083,-0.33170733811805453
46,shared,0.4328469057899058,0.37460941059529507,0.6782109157443396,0.450865908164128,-0.24536400995443375,-0.07625649756883296
