seed,role,scorer,rows,raw_false_negative_rate,gate_false_negative_rate_among_all_rows,gate_false_negative_rate_among_raw_alarm,hard_alarm_rate,raw_alarm_rate,median_score_strength_hard,median_score_strength_missed,attack_outer_missed_p50,benign_outer_missed_p50
42,support_medium_val,two_head,25,0.0,0.04,0.04,0.96,1.0,0.889409418799342,0.0019594199944934186,0.2890864610671997,0.0005162942106835544
42,support_medium_val,shared,25,0.04,0.0,0.0,0.96,0.96,0.8127615630311251,-0.008527572122417934,0.2890864610671997,0.0005162942106835544
42,support_heavy_val,two_head,8,0.0,0.0,0.0,1.0,1.0,0.9395191281614712,nan,nan,nan
42,support_heavy_val,shared,8,0.0,0.0,0.0,1.0,1.0,0.864883471967771,nan,nan,nan
42,pseudo_medium_query,two_head,28,0.2857142857142857,0.07142857142857142,0.1,0.6428571428571429,0.7142857142857143,0.9326354953485974,-0.012980598704806013,0.2841503471136093,0.0006385879823938012
42,pseudo_medium_query,shared,28,0.32142857142857145,0.0,0.0,0.6785714285714286,0.6785714285714286,0.6026108132125562,-0.05155214086683943,0.2852487862110138,0.000521860842127353
42,pseudo_heavy_query,two_head,32,0.0,0.03125,0.03125,0.96875,1.0,0.9395191281614712,0.9395191281614712,1.006372332572937,0.009250936098396778
42,pseudo_heavy_query,shared,32,0.0,0.03125,0.03125,0.96875,1.0,0.34103756317653894,0.3251225412355766,1.006372332572937,0.009250936098396778
42,medium_attack_eval_report_only,two_head,2250,0.050222222222222224,0.004888888888888889,0.005147402901263453,0.9448888888888889,0.9497777777777778,0.8512323066095658,-0.004691973600952271,0.28038935363292694,0.0009405547752976418
42,medium_attack_eval_report_only,shared,2250,0.036444444444444446,0.016,0.016605166051660517,0.9475555555555556,0.9635555555555556,0.5749105715884664,-0.014387199387647175,0.288737952709198,0.0005917265079915524
43,support_medium_val,two_head,16,0.0,0.125,0.125,0.875,1.0,0.786901504186866,0.14354429721444012,0.10391514375805855,0.0006497906288132071
43,support_medium_val,shared,16,0.0,0.25,0.25,0.75,1.0,0.8640954283340833,0.10731123052237826,0.0813999492675066,0.0009208198171108961
43,support_heavy_val,two_head,8,0.0,0.0,0.0,1.0,1.0,0.9472107180775263,nan,nan,nan
