setting,seed,seed_group,evidence_strategy,k,pool_size,reviewed_count,confirmed_attack_count,attack_fraction_if_labels_available_for_simulation,estimated_manual_review_cost,selection_efficiency,selection_score_mean,selection_uses_final_eval
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,4,4090,4,4,1.0,4,1.0,1.0,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,8,4090,8,8,1.0,8,1.0,1.0,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,16,4090,16,16,1.0,16,1.0,1.0,False
primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,32,4090,32,32,1.0,32,1.0,1.0,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,4,4090,4,4,1.0,4,1.0,1.0,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,8,4090,8,8,1.0,8,1.0,1.0,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,16,4090,16,16,1.0,16,1.0,1.0,False
primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,32,4090,32,32,1.0,32,1.0,1.0,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,4,179,4,4,1.0,4,1.0,23.676757405038074,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,8,179,8,8,1.0,8,1.0,22.825896429722803,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,16,179,16,16,1.0,16,1.0,21.538481396391717,False
primary_lowood,42,main_42_46,R2_V2_high_V1_low_disagreement_review,32,179,32,32,1.0,32,1.0,19.868992920389722,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,4,6090,4,1,0.25,4,0.25,-0.021675340421157818,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,8,6090,8,4,0.5,8,0.5,-0.03511410776625323,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,16,6090,16,9,0.5625,16,0.5625,-0.061563473210806074,False
primary_lowood,42,main_42_46,R3_near_threshold_uncertainty_review,32,6090,32,17,0.53125,32,0.53125,-0.12759012394565777,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,4,6090,4,4,1.0,4,1.0,36.16728591918945,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,8,6090,8,8,1.0,8,1.0,34.565704345703125,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,16,6090,16,16,1.0,16,1.0,33.10676193237305,False
primary_lowood,42,main_42_46,R4_representation_shift_high_review,32,6090,32,32,1.0,32,1.0,31.511869430541992,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,4,6090,4,4,1.0,4,1.0,5.543186194752529,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,8,6090,8,8,1.0,8,1.0,5.4355461477722695,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,16,6090,16,16,1.0,16,1.0,5.227106407360932,False
primary_lowood,42,main_42_46,R5_hybrid_active_review,32,6090,32,32,1.0,32,1.0,4.963668315192992,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,4,4090,4,4,1.0,4,1.0,1.0,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,8,4090,8,8,1.0,8,1.0,1.0,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,16,4090,16,16,1.0,16,1.0,1.0,False
primary_lowood,43,main_42_46,R0_random_confirmed_attack_validation,32,4090,32,32,1.0,32,1.0,1.0,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,4,4090,4,4,1.0,4,1.0,1.0,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,8,4090,8,8,1.0,8,1.0,1.0,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,16,4090,16,16,1.0,16,1.0,1.0,False
primary_lowood,43,main_42_46,R1_kcenter_confirmed_attack_validation,32,4090,32,32,1.0,32,1.0,1.0,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,4,179,4,4,1.0,4,1.0,23.676757405038074,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,8,179,8,8,1.0,8,1.0,22.825896429722803,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,16,179,16,16,1.0,16,1.0,21.538481396391717,False
primary_lowood,43,main_42_46,R2_V2_high_V1_low_disagreement_review,32,179,32,32,1.0,32,1.0,19.868992920389722,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,4,6090,4,1,0.25,4,0.25,-0.021675340421157818,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,8,6090,8,4,0.5,8,0.5,-0.03511410776625323,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,16,6090,16,9,0.5625,16,0.5625,-0.061563473210806074,False
primary_lowood,43,main_42_46,R3_near_threshold_uncertainty_review,32,6090,32,17,0.53125,32,0.53125,-0.12759012394565777,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,4,6090,4,4,1.0,4,1.0,36.16728591918945,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,8,6090,8,8,1.0,8,1.0,34.565704345703125,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,16,6090,16,16,1.0,16,1.0,33.10676193237305,False
primary_lowood,43,main_42_46,R4_representation_shift_high_review,32,6090,32,32,1.0,32,1.0,31.511869430541992,False
primary_lowood,43,main_42_46,R5_hybrid_active_review,4,6090,4,4,1.0,4,1.0,5.543186194752529,False
