evidence_strategy,k,delta_threshold,primary_selects_v1_rate,holdout_bin2_selects_v2_rate,chrono_selects_v2_rate,overall_selection_correct_rate,final_detection_mean,final_ood_alarm_max,feasible_rate,mean_review_cost,label_efficiency,mean_confirmed_attack_count
R1_kcenter_confirmed_attack_validation,4,0.05,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,4.0,1.0,4.0
R1_kcenter_confirmed_attack_validation,4,0.1,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,4.0,1.0,4.0
R1_kcenter_confirmed_attack_validation,4,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,4.0,1.0,4.0
R0_random_confirmed_attack_validation,8,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,8.0,1.0,8.0
R1_kcenter_confirmed_attack_validation,8,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,8.0,1.0,8.0
R0_random_confirmed_attack_validation,16,0.1,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,16.0,1.0,16.0
R0_random_confirmed_attack_validation,16,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,16.0,1.0,16.0
R1_kcenter_confirmed_attack_validation,16,0.1,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,16.0,1.0,16.0
R1_kcenter_confirmed_attack_validation,16,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,16.0,1.0,16.0
R0_random_confirmed_attack_validation,32,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,32.0,1.0,32.0
R1_kcenter_confirmed_attack_validation,32,0.1,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,32.0,1.0,32.0
R1_kcenter_confirmed_attack_validation,32,0.2,1.0,0.0,0.0,0.3333333333333333,0.6452218529361758,0.0036,1.0,32.0,1.0,32.0
R0_random_confirmed_attack_validation,4,0.05,0.9,0.0,0.0,0.3,0.6450521559664788,0.0156,0.9666666666666667,4.0,1.0,4.0
R0_random_confirmed_attack_validation,4,0.1,0.9,0.0,0.0,0.3,0.6450521559664788,0.0156,0.9666666666666667,4.0,1.0,4.0
R0_random_confirmed_attack_validation,4,0.2,0.9,0.0,0.0,0.3,0.6450521559664788,0.0156,0.9666666666666667,4.0,1.0,4.0
R0_random_confirmed_attack_validation,32,0.1,0.8,0.0,0.0,0.26666666666666666,0.644882458996782,0.0156,0.9333333333333333,32.0,1.0,32.0
R0_random_confirmed_attack_validation,16,0.05,0.6,0.0,0.0,0.2,0.6445430650573879,0.0156,0.8666666666666667,16.0,1.0,16.0
R0_random_confirmed_attack_validation,8,0.05,0.5,0.0,0.0,0.16666666666666666,0.644373368087691,0.0156,0.8333333333333334,8.0,1.0,8.0
R0_random_confirmed_attack_validation,8,0.1,0.5,0.0,0.0,0.16666666666666666,0.644373368087691,0.0156,0.8333333333333334,8.0,1.0,8.0
R0_random_confirmed_attack_validation,32,0.05,0.5,0.0,0.0,0.16666666666666666,0.6443733680876911,0.0156,0.8333333333333334,32.0,1.0,32.0
R2_V2_high_V1_low_disagreement_review,4,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.3333333333333333,1.3333333333333333
R2_V2_high_V1_low_disagreement_review,4,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.3333333333333333,1.3333333333333333
R2_V2_high_V1_low_disagreement_review,4,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.3333333333333333,1.3333333333333333
R3_near_threshold_uncertainty_review,4,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.5,2.0
R3_near_threshold_uncertainty_review,4,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.5,2.0
R3_near_threshold_uncertainty_review,4,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.5,2.0
R4_representation_shift_high_review,4,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,1.0,4.0
R4_representation_shift_high_review,4,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,1.0,4.0
R4_representation_shift_high_review,4,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,1.0,4.0
R5_hybrid_active_review,4,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.8333333333333334,3.3333333333333335
R5_hybrid_active_review,4,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.8333333333333334,3.3333333333333335
R5_hybrid_active_review,4,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,4.0,0.8333333333333334,3.3333333333333335
R1_kcenter_confirmed_attack_validation,8,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,1.0,8.0
R1_kcenter_confirmed_attack_validation,8,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,1.0,8.0
R2_V2_high_V1_low_disagreement_review,8,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.3333333333333333,2.6666666666666665
R2_V2_high_V1_low_disagreement_review,8,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.3333333333333333,2.6666666666666665
R2_V2_high_V1_low_disagreement_review,8,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.3333333333333333,2.6666666666666665
R3_near_threshold_uncertainty_review,8,0.05,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.5833333333333334,4.666666666666667
R3_near_threshold_uncertainty_review,8,0.1,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.5833333333333334,4.666666666666667
R3_near_threshold_uncertainty_review,8,0.2,0.0,0.0,0.0,0.0,0.6435248832392061,0.0156,0.6666666666666666,8.0,0.5833333333333334,4.666666666666667
