file,size_bytes
active_review_pool_analysis.csv,83011
claim_boundary.md,603
config.json,1026
doc_update_patch_suggestion.md,303
evidence_gated_promotion_interpretation.md,558
evidence_gated_vs_naive_proxy.csv,2062
evidence_source_definitions.md,960
label_budget_curve.csv,2843
preflight_active_review_promotion_check.md,672
promotion_asset_gap_report.md,311
promotion_evidence_manifest.csv,111273
promotion_metrics_by_setting.csv,657040
promotion_rule.md,534
promotion_selection_summary.csv,9727
protocol.md,523
recommended_next_action.md,471
risk_register.csv,1270
run_issue21_active_review_feasibility.py,37160
selected_feature_report.csv,100128
summary.md,3834
wrong_promotion_cases.md,10442
runtime_seconds,76.163
