method,setting,seed_group,selection_source,detection,ood_alarm,feasible_rate,notes
issue20_naive_routing,chrono_late_train_early_eval,heldout_47_51,attack_validation_proxy_or_default_v1,0.6798015178050204,0.0018,1.0,issue20 proxy failure retained
issue20_naive_routing,chrono_late_train_early_eval,main_42_46,attack_validation_proxy_or_default_v1,0.6798015178050204,0.0018,1.0,issue20 proxy failure retained
issue20_naive_routing,holdout_bin_2,heldout_47_51,attack_validation_proxy_or_default_v1,0.3264094955489614,0.0011,1.0,issue20 proxy failure retained
issue20_naive_routing,holdout_bin_2,main_42_46,attack_validation_proxy_or_default_v1,0.3264094955489614,0.0011,1.0,issue20 proxy failure retained
issue20_naive_routing,primary_lowood,heldout_47_51,attack_validation_proxy_or_default_v1,0.9294545454545456,0.0036,1.0,issue20 proxy failure retained
issue20_naive_routing,primary_lowood,main_42_46,attack_validation_proxy_or_default_v1,0.9294545454545456,0.0036,1.0,issue20 proxy failure retained
issue21_evidence_gated_candidate,chrono_late_train_early_eval,heldout_47_51,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.6798015178050204,0.0018,1.0,final metrics report-only
issue21_evidence_gated_candidate,chrono_late_train_early_eval,main_42_46,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.6798015178050204,0.0018,1.0,final metrics report-only
issue21_evidence_gated_candidate,holdout_bin_2,heldout_47_51,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.3264094955489614,0.0011,1.0,final metrics report-only
issue21_evidence_gated_candidate,holdout_bin_2,main_42_46,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.3264094955489614,0.0011,1.0,final metrics report-only
issue21_evidence_gated_candidate,primary_lowood,heldout_47_51,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.9294545454545455,0.0036,1.0,final metrics report-only
issue21_evidence_gated_candidate,primary_lowood,main_42_46,R1_kcenter_confirmed_attack_validation k=4 delta=0.05,0.9294545454545455,0.0036,1.0,final metrics report-only
