check,path,status,details,role,target,existing,stateful
hpc_validation_report,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27by_runtime_optimized_1m_or_slurm_materialization_2026-06-12\hpc_validation_report.txt,pass,status=PASS found,,,,
role_missing,,pass,missing=0,attack_support_candidate_pool,90000,90000,0
role_missing,,pass,missing=0,dev_future_attack_query,235000,235000,0
role_missing,,pass,missing=0,id_benign_calib,80000,80000,0
role_missing,,pass,missing=0,id_benign_train,151000,0,151000
role_missing,,pass,missing=0,ood_benign_stress,230000,230000,0
role_missing,,pass,missing=0,ood_benign_val,24000,24000,0
role_missing,,pass,missing=0,sealed_final_attack,35000,35000,0
role_missing,,pass,missing=0,sealed_final_ood,155000,155000,0
local_stale_quarantine,,pass,4 local historical quarantine files ignored,,,,
