regime,feature_set,model,id_calib_select,ood_val_select,support_val_select,same_file_select,future_select,ood_stress_select,ood_stress_group_max,sealed_final_attack,sealed_final_ood,sealed_final_ood_group_max
label_rich_upper,evidence,histgb_stronger,0.003689535312736664,0.0063908234330192545,0.9855072463768116,0.9814757413393556,0.9844833333333334,0.006779237023139462,0.006779237023139462,0.9067881275884618,0.012625,0.016040294459511818
label_rich_upper,raw115,histgb_stronger,0.003631279492009243,0.00991396968455551,1.0,1.0,1.0,0.0024390243902439024,0.0024390243902439024,0.9566864055801787,0.7480416666666667,0.7752679839855353
label_rich_upper,raw_plus_temporal,histgb_stronger,0.0010680233800027185,0.010077836952068825,1.0,1.0,0.999925,0.0034771732332707942,0.0034771732332707942,0.9997456949792923,0.06475,0.09173446984372982
label_rich_upper,raw_plus_temporal,mlp_small,0.0003495349243645261,0.010077836952068825,1.0,0.9996752719597337,0.9897333333333334,0.0015509693558474046,0.0015509693558474046,0.9997911065901329,0.002925,0.0033578716259847602
label_rich_upper,temporal,histgb_stronger,0.00023302328290968405,0.004834084391642769,1.0,1.0,0.9997583333333333,0.010006253908692933,0.010006253908692933,1.0,0.08354166666666667,0.12566188815704507
support_all_benign,evidence,histgb_shallow,7.767442763656135e-05,0.004178615321589512,1.0,0.9545971158245878,0.773,0.009931207004377737,0.009931207004377737,0.9086500036329289,0.009116666666666667,0.011972103835722588
support_all_benign,raw115,histgb_shallow,0.0003495349243645261,0.009995903318312167,1.0,0.9939925312550739,0.868475,0.006629143214509068,0.006629143214509068,0.9430992516166533,0.032725,0.04059150200180808
support_all_benign,raw_plus_evidence,histgb_stronger,0.0,0.004834084391642769,1.0,0.9696231678696364,0.797875,0.009893683552220138,0.009893683552220138,0.934543704134273,0.02015,0.02606224977398941
support_only,evidence,histgb_shallow,0.0,8.19336337566571e-05,0.8260869565217391,0.9018730903777178,0.44725,0.0007129455909943715,0.0007129455909943715,0.6407941582503814,0.0023,0.0026346377373111197
support_only,raw115,histgb_shallow,0.0,0.009750102417042196,0.7681159420289855,0.8699021387769561,0.5956583333333333,1.2507817385866166e-05,1.2507817385866166e-05,0.5884890648841096,0.000125,0.00012914890869172155
support_only,raw_plus_evidence,histgb_stronger,0.0,0.008684965178205653,0.855072463768116,0.8865813517542694,0.5204333333333333,0.0,0.0,0.6479146988301969,1.6666666666666667e-05,2.582978173834431e-05
