regime,feature_set,model,role,phase,role_kind,rows,threshold,hard_alarm_rate,score_mean,score_p50,score_p95
support_only,raw115,histgb_shallow,id_calib,select,id,51497,0.9863948708546179,0.0,0.9529727189741481,0.9562578824749729,0.9776667588413396
support_only,raw115,histgb_shallow,support_val,select,attack,69,0.9863948708546179,0.7681159420289855,0.9849531751402668,0.9910908292170681,0.9910908292170681
support_only,raw115,histgb_shallow,same_file_query,select,attack,67749,0.9863948708546179,0.8699021387769561,0.9826415288183832,0.9910908292170681,0.9910908292170681
support_only,raw115,histgb_shallow,future_query,select,attack,120000,0.9863948708546179,0.5956583333333333,0.9791902153764112,0.9892548469676781,0.9910908292170681
support_only,raw115,histgb_shallow,ood_val,select,ood,12205,0.9863948708546179,0.009750102417042196,0.85930724289319,0.8662101799119178,0.9790653324918365
support_only,raw115,histgb_shallow,ood_stress,select,ood,79950,0.9863948708546179,1.2507817385866166e-05,0.016884293613119362,0.008750436049311,0.025196197263600107
support_only,raw115,histgb_shallow,sealed_final_attack,all,attack,110104,0.9863948708546179,0.5884890648841096,0.9732420179167259,0.9893973348294858,0.9910908292170681
support_only,raw115,histgb_shallow,sealed_final_ood,all,ood,120000,0.9863948708546179,0.000125,0.047532429619186765,0.026371645076014482,0.12094403358807941
support_only,evidence,histgb_shallow,id_calib,select,id,51497,0.9499271222617762,0.0,0.9057862203041376,0.9084304810647322,0.9499271222617762
support_only,evidence,histgb_shallow,support_val,select,attack,69,0.9499271222617762,0.8260869565217391,0.9659334296515095,0.9863736675587532,0.9899057258879318
support_only,evidence,histgb_shallow,same_file_query,select,attack,67749,0.9499271222617762,0.9018730903777178,0.9712830446506303,0.9870512622834384,0.9896289865776113
support_only,evidence,histgb_shallow,future_query,select,attack,120000,0.9499271222617762,0.44725,0.9370083556373727,0.9461315598802122,0.9896289865776113
support_only,evidence,histgb_shallow,ood_val,select,ood,12205,0.9499271222617762,8.19336337566571e-05,0.9077765316436728,0.9084304810647322,0.9499271222617762
support_only,evidence,histgb_shallow,ood_stress,select,ood,79950,0.9499271222617762,0.0007129455909943715,0.03266359641860532,0.009387751958608644,0.1407413686333358
support_only,evidence,histgb_shallow,sealed_final_attack,all,attack,110104,0.9499271222617762,0.6407941582503814,0.9457547384450833,0.9833737440803405,0.9896289865776113
support_only,evidence,histgb_shallow,sealed_final_ood,all,ood,120000,0.9499271222617762,0.0023,0.06361065640015276,0.009387751958608644,0.4614531451271822
support_only,raw_plus_evidence,histgb_stronger,id_calib,select,id,51497,0.9991456042130217,0.0,0.9381725147014772,0.9725129802042496,0.9945954466456713
support_only,raw_plus_evidence,histgb_stronger,support_val,select,attack,69,0.9991456042130217,0.855072463768116,0.9987967051454844,0.9997896323727914,0.9998350051128074
support_only,raw_plus_evidence,histgb_stronger,same_file_query,select,attack,67749,0.9991456042130217,0.8865813517542694,0.9952959560230858,0.9998275799361903,0.9998350051128074
support_only,raw_plus_evidence,histgb_stronger,future_query,select,attack,120000,0.9991456042130217,0.5204333333333333,0.9860985753432983,0.9992801911842383,0.9998350051128074
support_only,raw_plus_evidence,histgb_stronger,ood_val,select,ood,12205,0.9991456042130217,0.008684965178205653,0.5721449492286401,0.5066363738247648,0.9976673081315941
support_only,raw_plus_evidence,histgb_stronger,ood_stress,select,ood,79950,0.9991456042130217,0.0,0.0016439664299413043,0.0001562699832421194,0.001022262314326501
support_only,raw_plus_evidence,histgb_stronger,sealed_final_attack,all,attack,110104,0.9991456042130217,0.6479146988301969,0.9939228855850321,0.9994250840050548,0.9998350051128074
support_only,raw_plus_evidence,histgb_stronger,sealed_final_ood,all,ood,120000,0.9991456042130217,1.6666666666666667e-05,0.016222248580620238,0.0018212654676657352,0.025779245232480673
support_all_benign,raw115,histgb_shallow,id_calib,select,id,51497,0.4414176079774572,0.0003495349243645261,0.015697489290859283,0.01133440744578705,0.021820581796910474
support_all_benign,raw115,histgb_shallow,support_val,select,attack,69,0.4414176079774572,1.0,0.9712892721889753,0.9888819240226426,0.9897024653067614
support_all_benign,raw115,histgb_shallow,same_file_query,select,attack,67749,0.4414176079774572,0.9939925312550739,0.9607731941237575,0.9892992488077604,0.9897024653067614
support_all_benign,raw115,histgb_shallow,future_query,select,attack,120000,0.4414176079774572,0.868475,0.8380918662905307,0.9707032372681665,0.9897024653067614
support_all_benign,raw115,histgb_shallow,ood_val,select,ood,12205,0.4414176079774572,0.009995903318312167,0.03126902699033602,0.012353675827338007,0.09829843447843209
support_all_benign,raw115,histgb_shallow,ood_stress,select,ood,79950,0.4414176079774572,0.006629143214509068,0.023023193527542864,0.009798652243904412,0.05650130217363023
support_all_benign,raw115,histgb_shallow,sealed_final_attack,all,attack,110104,0.4414176079774572,0.9430992516166533,0.89832928124762,0.9782550920402552,0.9897024653067614
support_all_benign,raw115,histgb_shallow,sealed_final_ood,all,ood,120000,0.4414176079774572,0.032725,0.13397974502477017,0.10454033808874355,0.34069295676903333
support_all_benign,evidence,histgb_shallow,id_calib,select,id,51497,0.7479531044555967,7.767442763656135e-05,0.00971040783890824,0.009574759483018442,0.010629735874648447
support_all_benign,evidence,histgb_shallow,support_val,select,attack,69,0.7479531044555967,1.0,0.9810825935019301,0.9894710045354477,0.9908322281962572
support_all_benign,evidence,histgb_shallow,same_file_query,select,attack,67749,0.7479531044555967,0.9545971158245878,0.943397132666605,0.9872255434242208,0.9908322281962572
support_all_benign,evidence,histgb_shallow,future_query,select,attack,120000,0.7479531044555967,0.773,0.7664238244972965,0.9773196926985314,0.9908322281962572
support_all_benign,evidence,histgb_shallow,ood_val,select,ood,12205,0.7479531044555967,0.004178615321589512,0.014068954208043277,0.009574759483018442,0.010175485283824663
support_all_benign,evidence,histgb_shallow,ood_stress,select,ood,79950,0.7479531044555967,0.009931207004377737,0.04759897530792545,0.009390665271049047,0.2883779408395296
support_all_benign,evidence,histgb_shallow,sealed_final_attack,all,attack,110104,0.7479531044555967,0.9086500036329289,0.9022914455520058,0.9838763610447165,0.9908322281962572
support_all_benign,evidence,histgb_shallow,sealed_final_ood,all,ood,120000,0.7479531044555967,0.009116666666666667,0.07258744935461679,0.006245407346879969,0.433618002257927
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,select,id,51497,0.05678236807956483,0.0,0.00020095143025947182,0.00017271931967989779,0.00039806135799197527
support_all_benign,raw_plus_evidence,histgb_stronger,support_val,select,attack,69,0.05678236807956483,1.0,0.9930354694427231,0.9998046207740984,0.9998279678120879
support_all_benign,raw_plus_evidence,histgb_stronger,same_file_query,select,attack,67749,0.05678236807956483,0.9696231678696364,0.9660635265328947,0.9997956271052006,0.9998277237958368
support_all_benign,raw_plus_evidence,histgb_stronger,future_query,select,attack,120000,0.05678236807956483,0.797875,0.7854906800577854,0.9990002162228562,0.9998277237958368
support_all_benign,raw_plus_evidence,histgb_stronger,ood_val,select,ood,12205,0.05678236807956483,0.004834084391642769,0.003267692922550016,0.00019046020432593786,0.0003087063461578978
support_all_benign,raw_plus_evidence,histgb_stronger,ood_stress,select,ood,79950,0.05678236807956483,0.009893683552220138,0.005514025931572106,0.00014709095393001915,0.002409381262134012
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_final_attack,all,attack,110104,0.05678236807956483,0.934543704134273,0.916067265328184,0.999527849138226,0.9998277237958368
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_final_ood,all,ood,120000,0.05678236807956483,0.02015,0.010365753397479147,0.002038365543509312,0.007284927721310956
label_rich_upper,raw115,histgb_stronger,id_calib,select,id,51497,0.0009418797548127152,0.003631279492009243,0.00024564867466668797,0.0001694108377059474,0.00018604863137805923
label_rich_upper,raw115,histgb_stronger,support_val,select,attack,69,0.0009418797548127152,1.0,0.9867979118643602,0.9998348649785009,0.9998379338738526
label_rich_upper,raw115,histgb_stronger,same_file_query,select,attack,67749,0.0009418797548127152,1.0,0.9992077482521982,0.9998348649785009,0.9998348649785009
label_rich_upper,raw115,histgb_stronger,future_query,select,attack,120000,0.0009418797548127152,1.0,0.9887390118277439,0.9998348649785009,0.9998348649785009
label_rich_upper,raw115,histgb_stronger,ood_val,select,ood,12205,0.0009418797548127152,0.00991396968455551,0.00026098003569567245,0.0001715868311420123,0.00024122761052601443
label_rich_upper,raw115,histgb_stronger,ood_stress,select,ood,79950,0.0009418797548127152,0.0024390243902439024,0.00024911968849298366,0.0001694108377059474,0.00017815155445178736
label_rich_upper,raw115,histgb_stronger,sealed_final_attack,all,attack,110104,0.0009418797548127152,0.9566864055801787,0.8928987623671673,0.9998348649785009,0.9998348649785009
label_rich_upper,raw115,histgb_stronger,sealed_final_ood,all,ood,120000,0.0009418797548127152,0.7480416666666667,0.011684952918492622,0.002057572747794066,0.01347152546706953
