regime,feature_set,model,comparison,positive_rows,negative_rows,auc,ap
support_only,raw115,histgb_shallow,support_vs_ood_stress,69,79950,0.9999737154562183,0.977620732973358
support_only,raw115,histgb_shallow,same_file_vs_ood_stress,67749,79950,0.999956997581414,0.9999484221882339
support_only,raw115,histgb_shallow,future_vs_ood_stress,120000,79950,0.9999487827809047,0.9999625224589074
support_only,raw115,histgb_shallow,sealed_attack_vs_sealed_ood,110104,120000,0.9992296825047228,0.9990700052812541
support_only,evidence,histgb_shallow,support_vs_ood_stress,69,79950,0.9993084445894627,0.7744071592462723
support_only,evidence,histgb_shallow,same_file_vs_ood_stress,67749,79950,0.9994781827721132,0.9993307244925992
support_only,evidence,histgb_shallow,future_vs_ood_stress,120000,79950,0.9985551855847405,0.9986725500653967
support_only,evidence,histgb_shallow,sealed_attack_vs_sealed_ood,110104,120000,0.9976687307379084,0.9966496238270766
support_only,raw_plus_evidence,histgb_stronger,support_vs_ood_stress,69,79950,0.9999894861824872,0.9908546987649378
support_only,raw_plus_evidence,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.9999779552695569,0.9999734970718672
support_only,raw_plus_evidence,histgb_stronger,future_vs_ood_stress,120000,79950,0.9999310621221595,0.9999508746939227
support_only,raw_plus_evidence,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.9997241213988592,0.9996959344248924
support_all_benign,raw115,histgb_shallow,support_vs_ood_stress,69,79950,0.9998629578269028,0.967732214867249
support_all_benign,raw115,histgb_shallow,same_file_vs_ood_stress,67749,79950,0.9997449866704853,0.9996947462857966
support_all_benign,raw115,histgb_shallow,future_vs_ood_stress,120000,79950,0.9978329230248072,0.9984103889622596
support_all_benign,raw115,histgb_shallow,sealed_attack_vs_sealed_ood,110104,120000,0.9866591401084429,0.9885484881442415
support_all_benign,evidence,histgb_shallow,support_vs_ood_stress,69,79950,0.9977771433232727,0.6212672116776727
support_all_benign,evidence,histgb_shallow,same_file_vs_ood_stress,67749,79950,0.9901013750023527,0.9901439744249321
support_all_benign,evidence,histgb_shallow,future_vs_ood_stress,120000,79950,0.9444678766937669,0.966631812853357
support_all_benign,evidence,histgb_shallow,sealed_attack_vs_sealed_ood,110104,120000,0.975057498289496,0.9774992837779775
support_all_benign,raw_plus_evidence,histgb_stronger,support_vs_ood_stress,69,79950,0.9999332916406087,0.9770996708548415
support_all_benign,raw_plus_evidence,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.998166638175192,0.9979666109654658
support_all_benign,raw_plus_evidence,histgb_stronger,future_vs_ood_stress,120000,79950,0.94233604085887,0.9673139295881914
support_all_benign,raw_plus_evidence,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.9369994457512897,0.9656036475731282
label_rich_upper,raw115,histgb_stronger,support_vs_ood_stress,69,79950,0.9999985498182741,0.9984174110728096
label_rich_upper,raw115,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.9999998866433472,0.9999998660057522
label_rich_upper,raw115,histgb_stronger,future_vs_ood_stress,120000,79950,0.9999975342922661,0.9999982976084791
label_rich_upper,raw115,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.9632148997387318,0.9768796887097342
label_rich_upper,evidence,histgb_stronger,support_vs_ood_stress,69,79950,0.9996393579320408,0.8771499945897671
label_rich_upper,evidence,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.9997100191893058,0.9996440808077611
label_rich_upper,evidence,histgb_stronger,future_vs_ood_stress,120000,79950,0.9995251806858454,0.9996550204606247
label_rich_upper,evidence,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.993756774579791,0.9926719391156391
label_rich_upper,temporal,histgb_stronger,support_vs_ood_stress,69,79950,0.999983322910152,0.9759120547430388
label_rich_upper,temporal,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.9999782513999662,0.9999741618618453
label_rich_upper,temporal,histgb_stronger,future_vs_ood_stress,120000,79950,0.9999843699186991,0.9999895655609777
label_rich_upper,temporal,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.997599911144615,0.9974365593514496
label_rich_upper,raw_plus_temporal,histgb_stronger,support_vs_ood_stress,69,79950,0.9999952869093908,0.9953153265547999
label_rich_upper,raw_plus_temporal,histgb_stronger,same_file_vs_ood_stress,67749,79950,0.9999999643683484,0.9999999580468694
label_rich_upper,raw_plus_temporal,histgb_stronger,future_vs_ood_stress,120000,79950,0.9999958113404211,0.9999971941124325
label_rich_upper,raw_plus_temporal,histgb_stronger,sealed_attack_vs_sealed_ood,110104,120000,0.9997911301663277,0.9997788759490864
label_rich_upper,raw_plus_temporal,mlp_small,support_vs_ood_stress,69,79950,0.9999700900019034,0.9773573259180431
label_rich_upper,raw_plus_temporal,mlp_small,same_file_vs_ood_stress,67749,79950,0.9999106869578399,0.9999417484130296
label_rich_upper,raw_plus_temporal,mlp_small,future_vs_ood_stress,120000,79950,0.9967611508755472,0.998634188254588
label_rich_upper,raw_plus_temporal,mlp_small,sealed_attack_vs_sealed_ood,110104,120000,0.9998681709641187,0.9998618443301792
