regime,feature_set,model,role,phase,source_group,device,rows,hard_alarm_rate,score_mean
support_all_benign,raw115,histgb_shallow,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.8587112171837709,0.8394035118176658
support_all_benign,raw115,histgb_shallow,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.9353461903256403,0.8271452481400213
support_all_benign,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.008994276369582993,0.03151905181036197
support_all_benign,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.011517893870835048,0.028945644808498212
support_all_benign,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.003702180172768408,0.024671711340106053
support_all_benign,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.01062959934587081,0.02843851385505357
support_all_benign,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.015095879232966136,0.04269215667163921
support_all_benign,raw115,histgb_shallow,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.006629143214509068,0.023023193527542864
support_all_benign,raw115,histgb_shallow,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9430992516166533,0.89832928124762
support_all_benign,raw115,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.018416725393469578,0.1386483394089579
support_all_benign,raw115,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.04059150200180808,0.13141301297085217
support_all_benign,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,4.460701222232135e-05,0.009674394724582557
support_all_benign,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,4.459308807134894e-05,0.009675474211854981
support_all_benign,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.009842582489447044
support_all_benign,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0006086427267194157,0.010275472604442394
support_all_benign,evidence,histgb_shallow,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9830435334603722
support_all_benign,evidence,histgb_shallow,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.9422918548607048
support_all_benign,evidence,histgb_shallow,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.98577366382201
support_all_benign,evidence,histgb_shallow,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.042236524537409496,0.1456119862042738
support_all_benign,evidence,histgb_shallow,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9893507806873726,0.9737863865180271
support_all_benign,evidence,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9415307834616874,0.9212310737566406
support_all_benign,evidence,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.1709394967263548,0.20268405918986537
support_all_benign,evidence,histgb_shallow,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.7317007367438,0.7340595644885007
support_all_benign,evidence,histgb_shallow,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.9143218463484034,0.8857433853774938
support_all_benign,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.008585445625511038,0.01945769425203155
support_all_benign,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.002879473467708762,0.012756770831432174
support_all_benign,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0020567667626491155,0.011611860824219167
support_all_benign,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.004497138184791497,0.014154636624015546
support_all_benign,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0028559771521827824,0.01234421918868568
support_all_benign,evidence,histgb_shallow,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.009931207004377737,0.04759897530792545
support_all_benign,evidence,histgb_shallow,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9086500036329289,0.9022914455520058
support_all_benign,evidence,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.003922950434578342,0.039211285602119395
support_all_benign,evidence,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.011972103835722588,0.09093722710153421
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0,0.00019575413889356903
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0,0.0001961964971178121
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0,0.00022271449297364758
support_all_benign,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0,0.0002703899855131493
support_all_benign,raw_plus_evidence,histgb_stronger,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9997275588253776
support_all_benign,raw_plus_evidence,histgb_stronger,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.9389648071594977
support_all_benign,raw_plus_evidence,histgb_stronger,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.9972981173901806
support_all_benign,raw_plus_evidence,histgb_stronger,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.17216411906677392,0.16057565472201757
support_all_benign,raw_plus_evidence,histgb_stronger,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,1.0,0.9967461928112124
