group,n,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate,c1_hard_rate,margin_p01,margin_p05,margin_p25,margin_p50,margin_p75,margin_p95,margin_p99
support_val_69,69,69,1.0,1.0,1.0,0.000344750462248129,0.0011609452322799197,0.0015231376093671756,0.0015695658262799839,0.001572571694504754,0.001572571694504754,0.001572571694504754
aux_select_3000,3000,3000,0.0,0.009,1.0,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813
aux_normal_select_ton_4000,4000,0,0.0,0.0,,,,,,,,
ood_hydraulic_3000,3000,3000,0.0,0.457,0.7236666666666667,-0.3054880084236077,-0.2771376167361538,-0.00011757471999918057,0.000866261441151539,0.0012313345878325332,0.001359122019039205,0.001359122019039205
ood_ip_camera_street_3000,3000,3000,0.0,0.081,1.0,0.0012297547597237557,0.0014133543449316166,0.0014579597529955635,0.0015276611618003644,0.001572571694504754,0.001572571694504754,0.001572571694504754
ood_predictive_maintenance_9000,9000,9000,0.006111111111111111,0.5758888888888889,1.0,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813
ood_stream_consumer_3000,3000,3000,0.0,0.297,1.0,0.0014671135704767912,0.0015276611618003644,0.001562102154378353,0.001562102154378353,0.0015691872863947687,0.001572571694504754,0.001572571694504754
same_file_query_2486,2486,2486,0.586484312148029,0.589300080450523,0.6351568785197104,-0.02722052445991563,-0.018104357822981587,-0.014625369058797189,0.0011466355194811317,0.00134011908202758,0.0015661222252899565,0.0015691872863947687
sealed_final_attack_110104,110104,110104,0.9544975659376589,0.9704188766983942,0.9725078107970646,-0.003498577212020404,0.001274296984486778,0.0015231376093671756,0.0015695658262799839,0.001572571694504754,0.001572571694504754,0.001572571694504754
attack_Merlin C&C Communication,9921,9921,0.04465275677855055,0.9051506904545913,0.998185666767463,0.0012742471962191582,0.0013027436173608242,0.0013027436173608242,0.0015144011798007284,0.0015691872863947687,0.0015691872863947687,0.0015691872863947687
attack_Telnet Brute Force,24712,24712,0.2167368080284882,0.32789737779216577,0.6668824862415021,-0.028320159166681624,-0.01607626780161897,-0.00046412465948564297,0.0007116178530928163,0.0010378189843164298,0.0013746054037625521,0.0015420129262597726
attack_Ingress Tool Transfer,3983,3983,0.18378106954556866,0.5475772031132312,0.6311825257343711,-0.39596635048599305,-0.018186356194838438,-0.014625369058797189,0.001125843071888788,0.00134011908202758,0.0015661222252899565,0.0015691872863947687
attack_Reporting,93,93,0.40860215053763443,0.40860215053763443,0.7419354838709677,-0.028346903733695746,-0.019146786909638735,-0.00019155889501520917,0.0013230759806786008,0.0014065190598480104,0.0015542364335577648,0.001572571694504754
attack_TCP Scan,24711,24711,0.48067662174739995,0.5323540123831492,0.734328841406661,-0.02701480459372473,-0.009012693070112765,-4.4578723086385885e-05,0.0010242317098525522,0.0013311050586467532,0.0014140275986451734,0.001495038680170535
attack_Mirai C&C Communication,367,367,0.04904632152588556,0.05449591280653951,0.05449591280653951,-0.9734281580743969,-0.9637386787265504,-0.9220221504413352,-0.8945812543346507,-0.0025134722350433902,0.0007130462376275792,0.00115583797682417
attack_CoAP Amplification,320,320,0.0,0.0,0.0,-0.9179616590602436,-0.9179616590602436,-0.9179616590602436,-0.9176654974284775,-0.9176654974284775,-0.014383135582353601,-0.014328028969409167
attack_UDP Scan,113,113,0.0,0.0,0.0,-0.9357004977586165,-0.9344430938280283,-0.020556661679290378,-0.020556661679290378,-0.020093564590655255,-0.019251271952940713,-0.011860813644432982
