pool,n_clean_under_M7,fired_at_delta0,fired_at_0.0015,fired_at_delta_b,margin_p50,margin_p99,margin_max
ood_hydraulic_3000,3000,0.7236666666666667,0.0,0.0,0.000866261441151539,0.001359122019039205,0.0013639425777629555
ood_ip_camera_street_3000,3000,1.0,0.5503333333333333,0.0,0.0015276611618003644,0.001572571694504754,0.001572571694504754
ood_predictive_maintenance_9000,8945,1.0,1.0,0.0,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813
ood_stream_consumer_3000,3000,1.0,0.9876666666666667,0.0,0.001562102154378353,0.001572571694504754,0.001572571694504754
aux_select_3000,3000,1.0,1.0,0.0,0.0019148001008599813,0.0019148001008599813,0.0019148001008599813
