strategy,adapter,phase,role,row_count,predict_shape,predict_dtype,finite_rate
reset_at_split_boundary,LR_Minimal_Interface,predict_shape_smoke,attack_eval,1050,[1050],int32,1.0
reset_at_split_boundary,LR_Minimal_Interface,predict_shape_smoke,attack_support,1050,[1050],int32,1.0
reset_at_split_boundary,LR_Minimal_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int32,1.0
reset_at_split_boundary,LR_Minimal_Interface,predict_shape_smoke,id_benign_train,700,[700],int32,1.0
reset_at_split_boundary,LR_Minimal_Interface,predict_shape_smoke,ood_benign_val,700,[700],int32,1.0
reset_at_split_boundary,HistGB_Minimal_Interface,predict_shape_smoke,attack_eval,1050,[1050],int32,1.0
reset_at_split_boundary,HistGB_Minimal_Interface,predict_shape_smoke,attack_support,1050,[1050],int32,1.0
reset_at_split_boundary,HistGB_Minimal_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int32,1.0
reset_at_split_boundary,HistGB_Minimal_Interface,predict_shape_smoke,id_benign_train,700,[700],int32,1.0
reset_at_split_boundary,HistGB_Minimal_Interface,predict_shape_smoke,ood_benign_val,700,[700],int32,1.0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,predict_shape_smoke,attack_eval,1050,[1050],int8,1.0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,predict_shape_smoke,attack_support,1050,[1050],int8,1.0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int8,1.0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,predict_shape_smoke,id_benign_train,700,[700],int8,1.0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,predict_shape_smoke,ood_benign_val,700,[700],int8,1.0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,attack_eval,1050,[1050],int8,1.0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,attack_support,1050,[1050],int8,1.0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int8,1.0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,id_benign_train,700,[700],int8,1.0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,ood_benign_val,700,[700],int8,1.0
train_state_then_eval_online,LR_Minimal_Interface,predict_shape_smoke,attack_eval,1050,[1050],int32,1.0
train_state_then_eval_online,LR_Minimal_Interface,predict_shape_smoke,attack_support,1050,[1050],int32,1.0
train_state_then_eval_online,LR_Minimal_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int32,1.0
train_state_then_eval_online,LR_Minimal_Interface,predict_shape_smoke,id_benign_train,700,[700],int32,1.0
train_state_then_eval_online,LR_Minimal_Interface,predict_shape_smoke,ood_benign_val,700,[700],int32,1.0
train_state_then_eval_online,HistGB_Minimal_Interface,predict_shape_smoke,attack_eval,1050,[1050],int32,1.0
train_state_then_eval_online,HistGB_Minimal_Interface,predict_shape_smoke,attack_support,1050,[1050],int32,1.0
train_state_then_eval_online,HistGB_Minimal_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int32,1.0
train_state_then_eval_online,HistGB_Minimal_Interface,predict_shape_smoke,id_benign_train,700,[700],int32,1.0
train_state_then_eval_online,HistGB_Minimal_Interface,predict_shape_smoke,ood_benign_val,700,[700],int32,1.0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,predict_shape_smoke,attack_eval,1050,[1050],int8,1.0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,predict_shape_smoke,attack_support,1050,[1050],int8,1.0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int8,1.0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,predict_shape_smoke,id_benign_train,700,[700],int8,1.0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,predict_shape_smoke,ood_benign_val,700,[700],int8,1.0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,attack_eval,1050,[1050],int8,1.0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,attack_support,1050,[1050],int8,1.0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,final_ood_benign_eval,700,[700],int8,1.0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,id_benign_train,700,[700],int8,1.0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,predict_shape_smoke,ood_benign_val,700,[700],int8,1.0
