base_detector,split,base_score_available,gda_score_available,same_row_ids,n_rows,n_gda_seed_recoveries,alignment_status,note
dA,final_ood_eval,True,True,True,10000,10,passed,GDA scores were recovered on the same current low-OOD final evaluation row ids used by the base score caches.
dA,attack_eval,True,True,True,1375,10,passed,GDA scores were recovered on the same current low-OOD final evaluation row ids used by the base score caches.
Transformer,final_ood_eval,True,True,True,10000,10,passed,GDA scores were recovered on the same current low-OOD final evaluation row ids used by the base score caches.
Transformer,attack_eval,True,True,True,1375,10,passed,GDA scores were recovered on the same current low-OOD final evaluation row ids used by the base score caches.
