base_detector,seed,seed_group,budget,both_high_attack,both_high_ood,base_low_gda_high_attack,base_low_gda_high_ood,base_high_gda_low_attack,base_high_gda_low_ood,both_low_attack,both_low_ood
dA,42,main_paired_42_46,32,2,25,1273,13,2,83,98,9879
Transformer,42,main_paired_42_46,32,2,25,1273,13,2,84,98,9878
dA,43,main_paired_42_46,32,2,16,1266,31,2,92,105,9861
Transformer,43,main_paired_42_46,32,2,16,1266,31,2,93,105,9860
dA,44,main_paired_42_46,32,2,24,1277,34,2,84,94,9858
Transformer,44,main_paired_42_46,32,2,24,1277,34,2,85,94,9857
dA,45,main_paired_42_46,32,4,0,1371,21,0,108,0,9871
Transformer,45,main_paired_42_46,32,4,0,1371,21,0,109,0,9870
dA,46,main_paired_42_46,32,2,2,1251,49,2,106,120,9843
Transformer,46,main_paired_42_46,32,2,2,1251,49,2,107,120,9842
dA,47,heldout_support_47_51,32,4,0,1366,19,0,108,5,9873
Transformer,47,heldout_support_47_51,32,4,0,1366,19,0,109,5,9872
dA,48,heldout_support_47_51,32,2,1,1352,42,2,107,19,9850
Transformer,48,heldout_support_47_51,32,2,1,1352,42,2,108,19,9849
dA,49,heldout_support_47_51,32,4,0,1366,45,0,108,5,9847
Transformer,49,heldout_support_47_51,32,4,0,1366,45,0,109,5,9846
dA,50,heldout_support_47_51,32,4,0,1371,31,0,108,0,9861
Transformer,50,heldout_support_47_51,32,4,0,1371,31,0,109,0,9860
dA,51,heldout_support_47_51,32,4,1,1349,82,0,107,22,9810
Transformer,51,heldout_support_47_51,32,4,1,1349,82,0,108,22,9809
