sample_space,split,row_id,label,seed,seed_group,positive_budget,gda_score,gda_threshold,gda_high
ood_benign,final_ood_eval,10000,OOD_benign,42,main_paired_42_46,32,-9.683185392302985,-3.4927500915454304,False
ood_benign,final_ood_eval,10001,OOD_benign,42,main_paired_42_46,32,-8.343139806303656,-3.4927500915454304,False
ood_benign,final_ood_eval,10002,OOD_benign,42,main_paired_42_46,32,-9.701518473108846,-3.4927500915454304,False
ood_benign,final_ood_eval,10003,OOD_benign,42,main_paired_42_46,32,-9.06259812906056,-3.4927500915454304,False
ood_benign,final_ood_eval,10004,OOD_benign,42,main_paired_42_46,32,-8.474054326227376,-3.4927500915454304,False
ood_benign,final_ood_eval,10005,OOD_benign,42,main_paired_42_46,32,-9.173141144095313,-3.4927500915454304,False
ood_benign,final_ood_eval,10006,OOD_benign,42,main_paired_42_46,32,-7.86658540589659,-3.4927500915454304,False
ood_benign,final_ood_eval,10007,OOD_benign,42,main_paired_42_46,32,-8.070470743755326,-3.4927500915454304,False
ood_benign,final_ood_eval,10008,OOD_benign,42,main_paired_42_46,32,-8.09736492108742,-3.4927500915454304,False
ood_benign,final_ood_eval,10009,OOD_benign,42,main_paired_42_46,32,-8.036804880203942,-3.4927500915454304,False
ood_benign,final_ood_eval,10010,OOD_benign,42,main_paired_42_46,32,-7.902416412232477,-3.4927500915454304,False
ood_benign,final_ood_eval,10011,OOD_benign,42,main_paired_42_46,32,-7.723628767905616,-3.4927500915454304,False
ood_benign,final_ood_eval,10012,OOD_benign,42,main_paired_42_46,32,-11.030803448533293,-3.4927500915454304,False
ood_benign,final_ood_eval,10013,OOD_benign,42,main_paired_42_46,32,-8.74463769026272,-3.4927500915454304,False
ood_benign,final_ood_eval,10014,OOD_benign,42,main_paired_42_46,32,-4.067538612195616,-3.4927500915454304,False
ood_benign,final_ood_eval,10015,OOD_benign,42,main_paired_42_46,32,-2.646760120219777,-3.4927500915454304,True
ood_benign,final_ood_eval,10016,OOD_benign,42,main_paired_42_46,32,-4.984104675864243,-3.4927500915454304,False
ood_benign,final_ood_eval,10017,OOD_benign,42,main_paired_42_46,32,-6.273591826330334,-3.4927500915454304,False
ood_benign,final_ood_eval,10018,OOD_benign,42,main_paired_42_46,32,-5.894175404815461,-3.4927500915454304,False
ood_benign,final_ood_eval,10019,OOD_benign,42,main_paired_42_46,32,-10.359883174395558,-3.4927500915454304,False
ood_benign,final_ood_eval,10020,OOD_benign,42,main_paired_42_46,32,-9.422030943135622,-3.4927500915454304,False
ood_benign,final_ood_eval,10021,OOD_benign,42,main_paired_42_46,32,-9.00068918587818,-3.4927500915454304,False
ood_benign,final_ood_eval,10022,OOD_benign,42,main_paired_42_46,32,-7.494437802454799,-3.4927500915454304,False
ood_benign,final_ood_eval,10023,OOD_benign,42,main_paired_42_46,32,-7.515772104868925,-3.4927500915454304,False
ood_benign,final_ood_eval,10024,OOD_benign,42,main_paired_42_46,32,-7.510641014330145,-3.4927500915454304,False
ood_benign,final_ood_eval,10025,OOD_benign,42,main_paired_42_46,32,-7.457075549542254,-3.4927500915454304,False
ood_benign,final_ood_eval,10026,OOD_benign,42,main_paired_42_46,32,-7.345410414910393,-3.4927500915454304,False
ood_benign,final_ood_eval,10027,OOD_benign,42,main_paired_42_46,32,-7.190699723663947,-3.4927500915454304,False
ood_benign,final_ood_eval,10028,OOD_benign,42,main_paired_42_46,32,-9.604326514517645,-3.4927500915454304,False
ood_benign,final_ood_eval,10029,OOD_benign,42,main_paired_42_46,32,-9.16337986710016,-3.4927500915454304,False
ood_benign,final_ood_eval,10030,OOD_benign,42,main_paired_42_46,32,-9.07506084082711,-3.4927500915454304,False
ood_benign,final_ood_eval,10031,OOD_benign,42,main_paired_42_46,32,-9.203505137659915,-3.4927500915454304,False
ood_benign,final_ood_eval,10032,OOD_benign,42,main_paired_42_46,32,-9.928774020287863,-3.4927500915454304,False
ood_benign,final_ood_eval,10033,OOD_benign,42,main_paired_42_46,32,-7.768275969972889,-3.4927500915454304,False
ood_benign,final_ood_eval,10034,OOD_benign,42,main_paired_42_46,32,-8.29619765580988,-3.4927500915454304,False
ood_benign,final_ood_eval,10035,OOD_benign,42,main_paired_42_46,32,-7.657430549807632,-3.4927500915454304,False
ood_benign,final_ood_eval,10036,OOD_benign,42,main_paired_42_46,32,-7.676007699348617,-3.4927500915454304,False
ood_benign,final_ood_eval,10037,OOD_benign,42,main_paired_42_46,32,-7.6631745034255205,-3.4927500915454304,False
ood_benign,final_ood_eval,10038,OOD_benign,42,main_paired_42_46,32,-7.601200394177454,-3.4927500915454304,False
ood_benign,final_ood_eval,10039,OOD_benign,42,main_paired_42_46,32,-7.492382790632286,-3.4927500915454304,False
ood_benign,final_ood_eval,10040,OOD_benign,42,main_paired_42_46,32,-7.3343947441697,-3.4927500915454304,False
ood_benign,final_ood_eval,10041,OOD_benign,42,main_paired_42_46,32,-9.878821865905099,-3.4927500915454304,False
ood_benign,final_ood_eval,10042,OOD_benign,42,main_paired_42_46,32,-8.653894294206372,-3.4927500915454304,False
ood_benign,final_ood_eval,10043,OOD_benign,42,main_paired_42_46,32,-9.826486967966403,-3.4927500915454304,False
ood_benign,final_ood_eval,10044,OOD_benign,42,main_paired_42_46,32,-8.848176796954316,-3.4927500915454304,False
ood_benign,final_ood_eval,10045,OOD_benign,42,main_paired_42_46,32,-9.834421750539567,-3.4927500915454304,False
ood_benign,final_ood_eval,10046,OOD_benign,42,main_paired_42_46,32,-9.161921764757995,-3.4927500915454304,False
ood_benign,final_ood_eval,10047,OOD_benign,42,main_paired_42_46,32,-8.902617444884447,-3.4927500915454304,False
ood_benign,final_ood_eval,10048,OOD_benign,42,main_paired_42_46,32,-9.266592525240428,-3.4927500915454304,False
ood_benign,final_ood_eval,10049,OOD_benign,42,main_paired_42_46,32,-8.014466348495745,-3.4927500915454304,False
ood_benign,final_ood_eval,10050,OOD_benign,42,main_paired_42_46,32,-8.102777272993423,-3.4927500915454304,False
ood_benign,final_ood_eval,10051,OOD_benign,42,main_paired_42_46,32,-8.093383865259119,-3.4927500915454304,False
ood_benign,final_ood_eval,10052,OOD_benign,42,main_paired_42_46,32,-8.01462371017509,-3.4927500915454304,False
ood_benign,final_ood_eval,10053,OOD_benign,42,main_paired_42_46,32,-7.88169797741203,-3.4927500915454304,False
ood_benign,final_ood_eval,10054,OOD_benign,42,main_paired_42_46,32,-7.708214476391497,-3.4927500915454304,False
ood_benign,final_ood_eval,10055,OOD_benign,42,main_paired_42_46,32,-9.559505611089158,-3.4927500915454304,False
ood_benign,final_ood_eval,10056,OOD_benign,42,main_paired_42_46,32,-9.39303544529623,-3.4927500915454304,False
ood_benign,final_ood_eval,10057,OOD_benign,42,main_paired_42_46,32,-9.092306140162421,-3.4927500915454304,False
ood_benign,final_ood_eval,10058,OOD_benign,42,main_paired_42_46,32,-7.989046368204605,-3.4927500915454304,False
ood_benign,final_ood_eval,10059,OOD_benign,42,main_paired_42_46,32,-8.354333834813042,-3.4927500915454304,False
