base_detector,seed_group,budget,both_high_attack,both_high_ood,base_low_gda_high_attack,base_low_gda_high_ood,base_high_gda_low_attack,base_high_gda_low_ood,both_low_attack,both_low_ood
Transformer,heldout_support_47_51,32,3.6,0.4,1360.8,43.8,0.4,108.6,10.2,9847.2
Transformer,main_paired_42_46,32,2.4,13.4,1287.6,29.6,1.6,95.6,83.4,9861.4
dA,heldout_support_47_51,32,3.6,0.4,1360.8,43.8,0.4,107.6,10.2,9848.2
dA,main_paired_42_46,32,2.4,13.4,1287.6,29.6,1.6,94.6,83.4,9862.4
