base_detector,strategy,budget,seed,seed_group,attack_high_detection,attack_review_rate,attack_total_captured,OOD_high_alarm,OOD_review_rate,OOD_total_burden,high_alert_count_attack,high_alert_count_ood,review_count_attack,review_count_ood,feasible_high_alarm,feasible_total_burden,high_alert_attack_fraction,review_burden_ratio
dA,base_only,32,42,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,42,main_paired_42_46,0.9272727272727272,0.0,0.9272727272727272,0.0038,0.0,0.0038,1275,38,0,0,True,True,0.9710586443259711,0.0
dA,OR_policy,32,42,main_paired_42_46,0.9287272727272727,0.0,0.9287272727272727,0.0121,0.0,0.0121,1277,121,0,0,False,True,0.913447782546495,0.0
dA,AND_policy,32,42,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0025,0.0,0.0025,2,25,0,0,True,True,0.07407407407407407,0.0
dA,mode_gated_arbitration,32,42,main_paired_42_46,0.9272727272727272,0.0014545454545454545,0.9287272727272727,0.0038,0.0083,0.0121,1275,38,2,83,True,True,0.9710586443259711,0.0083
Transformer,base_only,32,42,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,42,main_paired_42_46,0.9272727272727272,0.0,0.9272727272727272,0.0038,0.0,0.0038,1275,38,0,0,True,True,0.9710586443259711,0.0
Transformer,OR_policy,32,42,main_paired_42_46,0.9287272727272727,0.0,0.9287272727272727,0.0122,0.0,0.0122,1277,122,0,0,False,True,0.9127948534667619,0.0
Transformer,AND_policy,32,42,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0025,0.0,0.0025,2,25,0,0,True,True,0.07407407407407407,0.0
Transformer,mode_gated_arbitration,32,42,main_paired_42_46,0.9272727272727272,0.0014545454545454545,0.9287272727272727,0.0038,0.0084,0.0122,1275,38,2,84,True,True,0.9710586443259711,0.0084
dA,base_only,32,43,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,43,main_paired_42_46,0.9221818181818182,0.0,0.9221818181818182,0.0047,0.0,0.0047,1268,47,0,0,True,True,0.9642585551330799,0.0
dA,OR_policy,32,43,main_paired_42_46,0.9236363636363636,0.0,0.9236363636363636,0.0139,0.0,0.0139,1270,139,0,0,False,True,0.9013484740951029,0.0
dA,AND_policy,32,43,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0016,0.0,0.0016,2,16,0,0,True,True,0.1111111111111111,0.0
dA,mode_gated_arbitration,32,43,main_paired_42_46,0.9221818181818182,0.0014545454545454545,0.9236363636363636,0.0047,0.0092,0.0139,1268,47,2,92,True,True,0.9642585551330799,0.0092
Transformer,base_only,32,43,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,43,main_paired_42_46,0.9221818181818182,0.0,0.9221818181818182,0.0047,0.0,0.0047,1268,47,0,0,True,True,0.9642585551330799,0.0
Transformer,OR_policy,32,43,main_paired_42_46,0.9236363636363636,0.0,0.9236363636363636,0.014,0.0,0.014,1270,140,0,0,False,True,0.900709219858156,0.0
Transformer,AND_policy,32,43,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0016,0.0,0.0016,2,16,0,0,True,True,0.1111111111111111,0.0
Transformer,mode_gated_arbitration,32,43,main_paired_42_46,0.9221818181818182,0.0014545454545454545,0.9236363636363636,0.0047,0.0093,0.014,1268,47,2,93,True,True,0.9642585551330799,0.0093
dA,base_only,32,44,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,44,main_paired_42_46,0.9301818181818182,0.0,0.9301818181818182,0.0058,0.0,0.0058,1279,58,0,0,True,True,0.9566192969334331,0.0
dA,OR_policy,32,44,main_paired_42_46,0.9316363636363636,0.0,0.9316363636363636,0.0142,0.0,0.0142,1281,142,0,0,False,True,0.9002108222066058,0.0
dA,AND_policy,32,44,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0024,0.0,0.0024,2,24,0,0,True,True,0.07692307692307693,0.0
dA,mode_gated_arbitration,32,44,main_paired_42_46,0.9301818181818182,0.0014545454545454545,0.9316363636363636,0.0058,0.0084,0.0142,1279,58,2,84,True,True,0.9566192969334331,0.0084
Transformer,base_only,32,44,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,44,main_paired_42_46,0.9301818181818182,0.0,0.9301818181818182,0.0058,0.0,0.0058,1279,58,0,0,True,True,0.9566192969334331,0.0
Transformer,OR_policy,32,44,main_paired_42_46,0.9316363636363636,0.0,0.9316363636363636,0.0143,0.0,0.0143,1281,143,0,0,False,True,0.8995786516853933,0.0
Transformer,AND_policy,32,44,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0024,0.0,0.0024,2,24,0,0,True,True,0.07692307692307693,0.0
Transformer,mode_gated_arbitration,32,44,main_paired_42_46,0.9301818181818182,0.0014545454545454545,0.9316363636363636,0.0058,0.0085,0.0143,1279,58,2,85,True,True,0.9566192969334331,0.0085
dA,base_only,32,45,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,45,main_paired_42_46,1.0,0.0,1.0,0.0021,0.0,0.0021,1375,21,0,0,True,True,0.9849570200573066,0.0
dA,OR_policy,32,45,main_paired_42_46,1.0,0.0,1.0,0.0129,0.0,0.0129,1375,129,0,0,False,True,0.9142287234042553,0.0
dA,AND_policy,32,45,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
dA,mode_gated_arbitration,32,45,main_paired_42_46,1.0,0.0,1.0,0.0021,0.0108,0.0129,1375,21,0,108,True,True,0.9849570200573066,0.0108
Transformer,base_only,32,45,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,45,main_paired_42_46,1.0,0.0,1.0,0.0021,0.0,0.0021,1375,21,0,0,True,True,0.9849570200573066,0.0
Transformer,OR_policy,32,45,main_paired_42_46,1.0,0.0,1.0,0.013,0.0,0.013,1375,130,0,0,False,True,0.9136212624584718,0.0
Transformer,AND_policy,32,45,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
Transformer,mode_gated_arbitration,32,45,main_paired_42_46,1.0,0.0,1.0,0.0021,0.0109,0.013,1375,21,0,109,True,True,0.9849570200573066,0.0109
dA,base_only,32,46,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,46,main_paired_42_46,0.9112727272727272,0.0,0.9112727272727272,0.0051,0.0,0.0051,1253,51,0,0,True,True,0.9608895705521472,0.0
dA,OR_policy,32,46,main_paired_42_46,0.9127272727272727,0.0,0.9127272727272727,0.0157,0.0,0.0157,1255,157,0,0,False,True,0.8888101983002833,0.0
dA,AND_policy,32,46,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0002,0.0,0.0002,2,2,0,0,True,True,0.5,0.0
dA,mode_gated_arbitration,32,46,main_paired_42_46,0.9112727272727272,0.0014545454545454545,0.9127272727272727,0.0051,0.0106,0.0157,1253,51,2,106,True,True,0.9608895705521472,0.0106
Transformer,base_only,32,46,main_paired_42_46,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,46,main_paired_42_46,0.9112727272727272,0.0,0.9112727272727272,0.0051,0.0,0.0051,1253,51,0,0,True,True,0.9608895705521472,0.0
Transformer,OR_policy,32,46,main_paired_42_46,0.9127272727272727,0.0,0.9127272727272727,0.0158,0.0,0.0158,1255,158,0,0,False,True,0.8881811748053786,0.0
Transformer,AND_policy,32,46,main_paired_42_46,0.0014545454545454545,0.0,0.0014545454545454545,0.0002,0.0,0.0002,2,2,0,0,True,True,0.5,0.0
Transformer,mode_gated_arbitration,32,46,main_paired_42_46,0.9112727272727272,0.0014545454545454545,0.9127272727272727,0.0051,0.0107,0.0158,1253,51,2,107,True,True,0.9608895705521472,0.0107
dA,base_only,32,47,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0019,0.0,0.0019,1370,19,0,0,True,True,0.986321094312455,0.0
dA,OR_policy,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0127,0.0,0.0127,1370,127,0,0,False,True,0.9151636606546426,0.0
dA,AND_policy,32,47,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
dA,mode_gated_arbitration,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0019,0.0108,0.0127,1370,19,0,108,True,True,0.986321094312455,0.0108
Transformer,base_only,32,47,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,4,109,0,0,False,True,0.035398230088495575,0.0
Transformer,gda_only,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0019,0.0,0.0019,1370,19,0,0,True,True,0.986321094312455,0.0
Transformer,OR_policy,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0128,0.0,0.0128,1370,128,0,0,False,True,0.9145527369826435,0.0
Transformer,AND_policy,32,47,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0,0.0,0.0,4,0,0,0,True,True,1.0,0.0
Transformer,mode_gated_arbitration,32,47,heldout_support_47_51,0.9963636363636363,0.0,0.9963636363636363,0.0019,0.0109,0.0128,1370,19,0,109,True,True,0.986321094312455,0.0109
dA,base_only,32,48,heldout_support_47_51,0.002909090909090909,0.0,0.002909090909090909,0.0108,0.0,0.0108,4,108,0,0,False,True,0.03571428571428571,0.0
dA,gda_only,32,48,heldout_support_47_51,0.9847272727272727,0.0,0.9847272727272727,0.0043,0.0,0.0043,1354,43,0,0,True,True,0.9692197566213314,0.0
