base_detector,strategy,budget,seed_group,n_seeds,attack_high_detection_mean,attack_review_rate_mean,attack_total_captured_mean,OOD_high_alarm_mean,OOD_review_rate_mean,OOD_total_burden_mean,high_alert_attack_fraction_mean,review_burden_ratio_mean,attack_high_detection_min,attack_review_rate_min,attack_total_captured_min,OOD_high_alarm_min,OOD_review_rate_min,OOD_total_burden_min,high_alert_attack_fraction_min,review_burden_ratio_min,attack_high_detection_max,attack_review_rate_max,attack_total_captured_max,OOD_high_alarm_max,OOD_review_rate_max,OOD_total_burden_max,high_alert_attack_fraction_max,review_burden_ratio_max,feasible_high_alarm_rate,feasible_total_burden_rate
Transformer,AND_policy,32,heldout_support_47_51,5,0.002618181818181818,0.0,0.002618181818181818,4e-05,0.0,4e-05,0.8933333333333333,0.0,0.0014545454545454545,0.0,0.0014545454545454545,0.0,0.0,0.0,0.6666666666666666,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0001,0.0,0.0001,1.0,0.0,1.0,1.0
Transformer,AND_policy,32,main_paired_42_46,5,0.0017454545454545453,0.0,0.0017454545454545453,0.0013399999999999998,0.0,0.0013399999999999998,0.35242165242165246,0.0,0.0014545454545454545,0.0,0.0014545454545454545,0.0,0.0,0.0,0.07407407407407407,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0025,0.0,0.0025,1.0,0.0,1.0,1.0
Transformer,OR_policy,32,heldout_support_47_51,5,0.9925818181818181,0.0,0.9925818181818181,0.015279999999999998,0.0,0.015279999999999998,0.8994379786155442,0.0,0.984,0.0,0.984,0.0128,0.0,0.0128,0.8762953367875648,0.0,1.0,0.0,1.0,0.0191,0.0,0.0191,0.9145527369826435,0.0,0.0,1.0
Transformer,OR_policy,32,main_paired_42_46,5,0.9393454545454546,0.0,0.9393454545454546,0.01386,0.0,0.01386,0.9029770324548323,0.0,0.9127272727272727,0.0,0.9127272727272727,0.0122,0.0,0.0122,0.8881811748053786,0.0,1.0,0.0,1.0,0.0158,0.0,0.0158,0.9136212624584718,0.0,0.0,1.0
Transformer,base_only,32,heldout_support_47_51,5,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.0,1.0
Transformer,base_only,32,main_paired_42_46,5,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.002909090909090909,0.0,0.002909090909090909,0.0109,0.0,0.0109,0.035398230088495575,0.0,0.0,1.0
Transformer,gda_only,32,heldout_support_47_51,5,0.9922909090909091,0.0,0.9922909090909091,0.00442,0.0,0.00442,0.9687781847483761,0.0,0.984,0.0,0.984,0.0019,0.0,0.0019,0.942200557103064,0.0,1.0,0.0,1.0,0.0083,0.0,0.0083,0.986321094312455,0.0,1.0,1.0
Transformer,gda_only,32,main_paired_42_46,5,0.9381818181818182,0.0,0.9381818181818182,0.0043,0.0,0.0043,0.9675566174003876,0.0,0.9112727272727272,0.0,0.9112727272727272,0.0021,0.0,0.0021,0.9566192969334331,0.0,1.0,0.0,1.0,0.0058,0.0,0.0058,0.9849570200573066,0.0,1.0,1.0
Transformer,mode_gated_arbitration,32,heldout_support_47_51,5,0.9922909090909091,0.0002909090909090909,0.9925818181818181,0.00442,0.01086,0.015279999999999998,0.9687781847483761,0.01086,0.984,0.0,0.984,0.0019,0.0108,0.0128,0.942200557103064,0.0108,1.0,0.0014545454545454545,1.0,0.0083,0.0109,0.0191,0.986321094312455,0.0109,1.0,1.0
Transformer,mode_gated_arbitration,32,main_paired_42_46,5,0.9381818181818182,0.0011636363636363637,0.9393454545454546,0.0043,0.009559999999999999,0.01386,0.9675566174003876,0.009559999999999999,0.9112727272727272,0.0,0.9127272727272727,0.0021,0.0084,0.0122,0.9566192969334331,0.0084,1.0,0.0014545454545454545,1.0,0.0058,0.0109,0.0158,0.9849570200573066,0.0109,1.0,1.0
