variant,role,seeds,rows,hard_alarm_rate_mean,hard_alarm_rate_min,hard_alarm_rate_max,hard_alarm_rate_std,conflict_review_rate_mean,conflict_review_rate_min,conflict_review_rate_max,conflict_review_rate_std,raw_alarm_rate_mean,raw_alarm_rate_min,raw_alarm_rate_max,raw_alarm_rate_std
baseline_cap20000,future_query,5,228649,0.9716517456888069,0.901578401829879,0.9928930369255934,0.035224704692809715,0.027417570162126183,0.0061491631277635,0.0975031598651207,0.035232775900742,0.9990693158509331,0.9987929096562854,0.9993177315448568,0.0001678290720580878
baseline_cap20000,id_calib,5,51497,0.0,0.0,0.0,0.0,0.00100200011651158,0.000835000097093,0.0011456978076392,0.00011754273802684368,0.00100200011651158,0.000835000097093,0.0011456978076392,0.00011754273802684368
baseline_cap20000,ood_stress,5,79950,0.00017761100687921998,0.0001500938086303,0.0002626641651031,4.289287854779504e-05,0.00444777986241396,0.0038148843026891,0.0054033771106941,0.0005553583601220792,0.004625390869293261,0.0039774859287054,0.0056660412757973,0.0005926858007035223
baseline_cap20000,ood_val,5,12205,0.0,0.0,0.0,0.0,0.00929127406800484,0.007865628840639,0.0099959033183121,0.000764401723207912,0.00929127406800484,0.007865628840639,0.0099959033183121,0.000764401723207912
baseline_cap20000,same_file_query,5,67749,0.9979128843230158,0.9965755952117374,0.9995719494014672,0.000995623578308572,0.0020871156769841004,0.0004280505985328,0.0034244047882625,0.0009956235783085523,1.0,1.0,1.0,0.0
baseline_cap20000,sealed_final_attack,5,110104,0.9943962072222625,0.9921801206132383,0.9957494732253144,0.0013006062930857726,0.00405616508028768,0.0027701082612802,0.0061850613964978,0.001244014257649917,0.9984523723025504,0.9983651820097362,0.9985195814865944,5.930693786714364e-05
baseline_cap20000,sealed_final_ood,5,154900,0.0025913492575855,0.0018140735958683,0.0034021949644932,0.0006384186647022369,0.07332601678502257,0.0370303421562298,0.1046610716591349,0.029368131862433543,0.0759173660426081,0.040296965784377,0.1080632666236281,0.029460773909149043
baseline_cap20000,support_val,5,69,0.982608695652174,0.9710144927536232,0.9855072463768116,0.0057971014492753875,0.01739130434782608,0.0144927536231884,0.0289855072463768,0.00579710144927536,1.0,1.0,1.0,0.0
device_time_balanced,future_query,5,228649,0.9419118386697516,0.8983420001836877,0.9883183394635444,0.036526533446608334,0.05719771352597206,0.0108856806721218,0.1007745496372168,0.03633554855321739,0.9991095521957236,0.9985829809008568,0.9993745872494522,0.00027644771224862437
device_time_balanced,id_calib,5,51497,0.0,0.0,0.0,0.0,0.001308814105676,0.0009126745247295,0.001670000194186,0.00024365515880706012,0.001308814105676,0.0009126745247295,0.001670000194186,0.00024365515880706012
