split,seed,role,group_field,group_value,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,raw_alarm_count,review_count,hard_count,attack_score_mean,attack_score_p95,variant
main,42,support_val,source_group,processed/iotsim-city-power-1.csv,23,1.0,0.0,1.0,23,0,23,0.9986300722483455,0.999507671385526,baseline_cap20000
main,42,support_val,source_group,processed/iotsim-combined-cycle-10.csv,6,1.0,0.1666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776,baseline_cap20000
main,42,support_val,source_group,processed/iotsim-ip-camera-museum-1.csv,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725217,baseline_cap20000
main,42,support_val,device_family,city-power,23,1.0,0.0,1.0,23,0,23,0.9986300722483455,0.999507671385526,baseline_cap20000
main,42,support_val,device_family,combined-cycle,6,1.0,0.1666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776,baseline_cap20000
main,42,support_val,device_family,ip-camera-museum,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725217,baseline_cap20000
main,42,support_val,time_block,q1,17,1.0,0.0,1.0,17,0,17,0.9983954781765282,0.9995032696754405,baseline_cap20000
main,42,support_val,time_block,q2,19,1.0,0.0526315789473684,0.9473684210526316,19,1,18,0.9370977958797444,0.9994563224990892,baseline_cap20000
main,42,support_val,time_block,q3,13,1.0,0.0,1.0,13,0,13,0.9993938224950544,0.9995104453803242,baseline_cap20000
main,42,support_val,time_block,q4,20,1.0,0.0,1.0,20,0,20,0.98231495928268,0.9995146063725217,baseline_cap20000
main,42,support_val,attack_label,File Download,3,1.0,0.3333333333333333,0.6666666666666666,3,1,2,0.6105016577400538,0.9568148896322728,baseline_cap20000
main,42,support_val,attack_label,Ingress Tool Transfer,3,1.0,0.0,1.0,3,0,3,0.9972188649631858,0.9980561662151944,baseline_cap20000
main,42,support_val,attack_label,Merlin C&C Communication,5,1.0,0.0,1.0,5,0,5,0.9981892997279552,0.9990090137328016,baseline_cap20000
main,42,support_val,attack_label,Merlin ICMP Flooding,8,1.0,0.0,1.0,8,0,8,0.998163035529831,0.9995032696754405,baseline_cap20000
main,42,support_val,attack_label,Merlin TCP Flooding,11,1.0,0.0,1.0,11,0,11,0.9985315858512752,0.9994563224990892,baseline_cap20000
main,42,support_val,attack_label,Merlin UDP Flooding,6,1.0,0.0,1.0,6,0,6,0.9990535758939916,0.999310832359818,baseline_cap20000
main,42,support_val,attack_label,Mirai C&C Communication,2,1.0,0.0,1.0,2,0,2,0.8275924068065297,0.9377923988683536,baseline_cap20000
main,42,support_val,attack_label,Mirai GRE Flooding,10,1.0,0.0,1.0,10,0,10,0.999484236811312,0.9995146063725217,baseline_cap20000
main,42,support_val,attack_label,Mirai TCP Flooding,10,1.0,0.0,1.0,10,0,10,0.9993807311122336,0.9995146063725217,baseline_cap20000
main,42,support_val,attack_label,Mirai UDP Flooding,11,1.0,0.0,1.0,11,0,11,0.999507671385526,0.999507671385526,baseline_cap20000
main,42,support_val,attack_family,File Download,3,1.0,0.3333333333333333,0.6666666666666666,3,1,2,0.6105016577400538,0.9568148896322728,baseline_cap20000
main,42,support_val,attack_family,Ingress Tool,3,1.0,0.0,1.0,3,0,3,0.9972188649631858,0.9980561662151944,baseline_cap20000
main,42,support_val,attack_family,Merlin C&C,5,1.0,0.0,1.0,5,0,5,0.9981892997279552,0.9990090137328016,baseline_cap20000
main,42,support_val,attack_family,Merlin ICMP,8,1.0,0.0,1.0,8,0,8,0.998163035529831,0.9995032696754405,baseline_cap20000
main,42,support_val,attack_family,Merlin TCP,11,1.0,0.0,1.0,11,0,11,0.9985315858512752,0.9994563224990892,baseline_cap20000
main,42,support_val,attack_family,Merlin UDP,6,1.0,0.0,1.0,6,0,6,0.9990535758939916,0.999310832359818,baseline_cap20000
main,42,support_val,attack_family,Mirai C&C,2,1.0,0.0,1.0,2,0,2,0.8275924068065297,0.9377923988683536,baseline_cap20000
main,42,support_val,attack_family,Mirai GRE,10,1.0,0.0,1.0,10,0,10,0.999484236811312,0.9995146063725217,baseline_cap20000
main,42,support_val,attack_family,Mirai TCP,10,1.0,0.0,1.0,10,0,10,0.9993807311122336,0.9995146063725217,baseline_cap20000
main,42,support_val,attack_family,Mirai UDP,11,1.0,0.0,1.0,11,0,11,0.999507671385526,0.999507671385526,baseline_cap20000
main,42,support_val,support_seen,seen,69,1.0,0.0144927536231884,0.9855072463768116,69,1,68,0.977043480127615,0.9995146063725217,baseline_cap20000
main,42,same_file_query,source_group,processed/iotsim-combined-cycle-10.csv,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744292,baseline_cap20000
main,42,same_file_query,source_group,processed/iotsim-ip-camera-museum-1.csv,65263,1.0,0.0018080688904892,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725217,baseline_cap20000
main,42,same_file_query,device_family,combined-cycle,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744292,baseline_cap20000
main,42,same_file_query,device_family,ip-camera-museum,65263,1.0,0.0018080688904892,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725217,baseline_cap20000
main,42,same_file_query,time_block,q1,19977,1.0,0.0037042598988837,0.9962957401011164,19977,74,19903,0.9797494929009222,0.9995032696754405,baseline_cap20000
main,42,same_file_query,time_block,q2,11666,1.0,0.0001714383679067,0.9998285616320932,11666,2,11664,0.9654342416599542,0.9984591025484016,baseline_cap20000
main,42,same_file_query,time_block,q3,4686,1.0,0.0,1.0,4686,0,4686,0.999507671385526,0.999507671385526,baseline_cap20000
main,42,same_file_query,time_block,q4,31420,1.0,0.0013367281985996,0.9986632718014004,31420,42,31378,0.9983873004724256,0.9995146063725217,baseline_cap20000
main,42,same_file_query,attack_label,File Download,105,1.0,0.0,1.0,105,0,105,0.8995963025556171,0.9522998752895931,baseline_cap20000
main,42,same_file_query,attack_label,Ingress Tool Transfer,2381,1.0,0.0,1.0,2381,0,2381,0.8779819378518482,0.9902553656744292,baseline_cap20000
main,42,same_file_query,attack_label,Merlin C&C Communication,6827,1.0,0.0109857917093891,0.9890142082906108,6827,75,6752,0.930052028352464,0.998595710972394,baseline_cap20000
main,42,same_file_query,attack_label,Merlin ICMP Flooding,7038,1.0,0.0,1.0,7038,0,7038,0.999477044618959,0.9995032696754405,baseline_cap20000
main,42,same_file_query,attack_label,Merlin TCP Flooding,12000,1.0,8.333333333333333e-05,0.9999166666666668,12000,1,11999,0.998195818023637,0.9991908942387142,baseline_cap20000
main,42,same_file_query,attack_label,Merlin UDP Flooding,3292,1.0,0.0,1.0,3292,0,3292,0.9988288041370018,0.9989697782858876,baseline_cap20000
main,42,same_file_query,attack_label,Mirai C&C Communication,106,1.0,0.3962264150943396,0.6037735849056604,106,42,64,0.6728049248578832,0.9824505909349266,baseline_cap20000
main,42,same_file_query,attack_label,Mirai GRE Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.9995146063725214,0.9995146063725217,baseline_cap20000
main,42,same_file_query,attack_label,Mirai TCP Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.9994531061520564,0.9995146063725217,baseline_cap20000
main,42,same_file_query,attack_label,Mirai UDP Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.999507671385526,0.999507671385526,baseline_cap20000
main,42,same_file_query,attack_family,File Download,105,1.0,0.0,1.0,105,0,105,0.8995963025556171,0.9522998752895931,baseline_cap20000
main,42,same_file_query,attack_family,Ingress Tool,2381,1.0,0.0,1.0,2381,0,2381,0.8779819378518482,0.9902553656744292,baseline_cap20000
main,42,same_file_query,attack_family,Merlin C&C,6827,1.0,0.0109857917093891,0.9890142082906108,6827,75,6752,0.930052028352464,0.998595710972394,baseline_cap20000
main,42,same_file_query,attack_family,Merlin ICMP,7038,1.0,0.0,1.0,7038,0,7038,0.999477044618959,0.9995032696754405,baseline_cap20000
main,42,same_file_query,attack_family,Merlin TCP,12000,1.0,8.333333333333333e-05,0.9999166666666668,12000,1,11999,0.998195818023637,0.9991908942387142,baseline_cap20000
main,42,same_file_query,attack_family,Merlin UDP,3292,1.0,0.0,1.0,3292,0,3292,0.9988288041370018,0.9989697782858876,baseline_cap20000
main,42,same_file_query,attack_family,Mirai C&C,106,1.0,0.3962264150943396,0.6037735849056604,106,42,64,0.6728049248578832,0.9824505909349266,baseline_cap20000
main,42,same_file_query,attack_family,Mirai GRE,12000,1.0,0.0,1.0,12000,0,12000,0.9995146063725214,0.9995146063725217,baseline_cap20000
main,42,same_file_query,attack_family,Mirai TCP,12000,1.0,0.0,1.0,12000,0,12000,0.9994531061520564,0.9995146063725217,baseline_cap20000
main,42,same_file_query,attack_family,Mirai UDP,12000,1.0,0.0,1.0,12000,0,12000,0.999507671385526,0.999507671385526,baseline_cap20000
main,42,same_file_query,support_seen,seen,67749,1.0,0.0017417231250645,0.9982582768749354,67749,118,67631,0.9872947705773212,0.9995146063725217,baseline_cap20000
main,42,future_query,source_group,processed/iotsim-combined-cycle-1.csv,88575,0.9980468529494778,0.0088060965283657,0.989240756421112,88402,780,87622,0.9048887625618844,0.9995146063725217,baseline_cap20000
main,42,future_query,source_group,processed/iotsim-combined-cycle-10.csv,24154,0.997888548480583,0.0101018464850542,0.9877867019955286,24103,244,23859,0.7065272244387544,0.9971345713568848,baseline_cap20000
main,42,future_query,source_group,processed/iotsim-domotic-monitor-1.csv,91812,0.9994336252341742,0.0041388925194963,0.9952947327146778,91760,380,91380,0.9208421561458306,0.999507671385526,baseline_cap20000
main,42,future_query,source_group,processed/iotsim-ip-camera-museum-1.csv,24108,1.0,8.296001327360213e-05,0.9999170399867264,24108,2,24106,0.9928226221373254,0.997771132370773,baseline_cap20000
main,42,future_query,device_family,combined-cycle,112729,0.9980129336727904,0.0090837317815291,0.9889292018912612,112505,1024,111481,0.8623866150060108,0.9995146063725217,baseline_cap20000
main,42,future_query,device_family,domotic-monitor,91812,0.9994336252341742,0.0041388925194963,0.9952947327146778,91760,380,91380,0.9208421561458306,0.999507671385526,baseline_cap20000
main,42,future_query,device_family,ip-camera-museum,24108,1.0,8.296001327360213e-05,0.9999170399867264,24108,2,24106,0.9928226221373254,0.997771132370773,baseline_cap20000
main,42,future_query,time_block,q1,62514,1.0,0.0077742585660811,0.9922257414339188,62514,486,62028,0.9211286254057464,0.9991252335368022,baseline_cap20000
main,42,future_query,time_block,q2,48836,0.9994880825620444,0.0125317388811532,0.9869563436808912,48811,612,48199,0.8316024865103486,0.997771132370773,baseline_cap20000
main,42,future_query,time_block,q3,46976,0.9983395776566758,0.0040446185286103,0.9942949591280654,46898,190,46708,0.8593057154658508,0.9981130947821744,baseline_cap20000
main,42,future_query,time_block,q4,70323,0.9975399229270652,0.0016779716451232,0.995861951281942,70150,118,70032,0.9546377334300616,0.9995146063725217,baseline_cap20000
main,42,future_query,attack_label,C&C Communication,172,0.75,0.3604651162790697,0.3895348837209302,129,62,67,0.3310604672954685,0.9825886194944994,baseline_cap20000
main,42,future_query,attack_label,CoAP Amplification,12000,1.0,0.0,1.0,12000,0,12000,0.7701650761506458,0.9776879867765992,baseline_cap20000
main,42,future_query,attack_label,File Download,1187,1.0,0.0016849199663016,0.9983150800336984,1187,2,1185,0.9824774788862968,0.9987039050283189,baseline_cap20000
main,42,future_query,attack_label,Ingress Tool Transfer,3786,1.0,0.0055467511885895,0.9944532488114104,3786,21,3765,0.981492828334544,0.995507976324867,baseline_cap20000
main,42,future_query,attack_label,Merlin C&C Communication,9933,1.0,0.0246652572233967,0.9753347427766031,9933,245,9688,0.912629233422765,0.993246894442084,baseline_cap20000
main,42,future_query,attack_label,Merlin ICMP Flooding,18835,1.0,0.0,1.0,18835,0,18835,0.998423052992404,0.9994955729730842,baseline_cap20000
main,42,future_query,attack_label,Merlin TCP Flooding,24000,1.0,0.0,1.0,24000,0,24000,0.9958497729012308,0.9985402483329834,baseline_cap20000
main,42,future_query,attack_label,Merlin UDP Flooding,10000,1.0,0.0,1.0,10000,0,10000,0.9989784180424728,0.9990017220847772,baseline_cap20000
main,42,future_query,attack_label,Mirai C&C Communication,358,0.5167597765363129,0.329608938547486,0.1871508379888268,185,118,67,0.1912320950554078,0.8216738441961527,baseline_cap20000
main,42,future_query,attack_label,Mirai GRE Flooding,24000,1.0,0.0,1.0,24000,0,24000,0.9994387078467364,0.9994395194661696,baseline_cap20000
main,42,future_query,attack_label,Mirai TCP Flooding,24000,1.0,0.0,1.0,24000,0,24000,0.99944712622984,0.9995146063725217,baseline_cap20000
main,42,future_query,attack_label,Mirai UDP Flooding,24000,1.0,0.0,1.0,24000,0,24000,0.8802075586691886,0.999507671385526,baseline_cap20000
main,42,future_query,attack_label,Reporting,136,0.8014705882352942,0.1176470588235294,0.6838235294117647,109,16,93,0.5680767348156738,0.984201680648447,baseline_cap20000
main,42,future_query,attack_label,TCP Scan,36000,0.9990833333333332,0.0113611111111111,0.9877222222222222,35967,409,35558,0.7986454779431224,0.9976767788193373,baseline_cap20000
main,42,future_query,attack_label,Telnet Brute Force,36000,1.0,0.0032222222222222,0.9967777777777778,36000,116,35884,0.8077773158440119,0.9977371488467792,baseline_cap20000
main,42,future_query,attack_label,UDP Scan,4242,1.0,0.0983026874115983,0.9016973125884016,4242,417,3825,0.6314115914452044,0.969336807421564,baseline_cap20000
main,42,future_query,attack_family,C&C Communication,172,0.75,0.3604651162790697,0.3895348837209302,129,62,67,0.3310604672954685,0.9825886194944994,baseline_cap20000
main,42,future_query,attack_family,CoAP Amplification,12000,1.0,0.0,1.0,12000,0,12000,0.7701650761506458,0.9776879867765992,baseline_cap20000
main,42,future_query,attack_family,File Download,1187,1.0,0.0016849199663016,0.9983150800336984,1187,2,1185,0.9824774788862968,0.9987039050283189,baseline_cap20000
main,42,future_query,attack_family,Ingress Tool,3786,1.0,0.0055467511885895,0.9944532488114104,3786,21,3765,0.981492828334544,0.995507976324867,baseline_cap20000
main,42,future_query,attack_family,Merlin C&C,9933,1.0,0.0246652572233967,0.9753347427766031,9933,245,9688,0.912629233422765,0.993246894442084,baseline_cap20000
main,42,future_query,attack_family,Merlin ICMP,18835,1.0,0.0,1.0,18835,0,18835,0.998423052992404,0.9994955729730842,baseline_cap20000
main,42,future_query,attack_family,Merlin TCP,24000,1.0,0.0,1.0,24000,0,24000,0.9958497729012308,0.9985402483329834,baseline_cap20000
main,42,future_query,attack_family,Merlin UDP,10000,1.0,0.0,1.0,10000,0,10000,0.9989784180424728,0.9990017220847772,baseline_cap20000
main,42,future_query,attack_family,Mirai C&C,358,0.5167597765363129,0.329608938547486,0.1871508379888268,185,118,67,0.1912320950554078,0.8216738441961527,baseline_cap20000
main,42,future_query,attack_family,Mirai GRE,24000,1.0,0.0,1.0,24000,0,24000,0.9994387078467364,0.9994395194661696,baseline_cap20000
main,42,future_query,attack_family,Mirai TCP,24000,1.0,0.0,1.0,24000,0,24000,0.99944712622984,0.9995146063725217,baseline_cap20000
main,42,future_query,attack_family,Mirai UDP,24000,1.0,0.0,1.0,24000,0,24000,0.8802075586691886,0.999507671385526,baseline_cap20000
main,42,future_query,attack_family,Reporting,136,0.8014705882352942,0.1176470588235294,0.6838235294117647,109,16,93,0.5680767348156738,0.984201680648447,baseline_cap20000
