seed,role,role_type,is_report_only,n,raw_alarm_rate,hard_alarm_rate,review_rate,suppress_rate,high_ood_risk_rate,attack_margin_p50,ood_risk_p50,past_source_raw_alarm_rate_w32_p50,past_source_raw_alarm_rate_w32_p95
42,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
42,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.74475,0.0,0.25475,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
42,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.6561561561561562,0.0,0.34384384384384387,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
42,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.710960960960961,0.0,0.28903903903903905,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
42,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8690119760479041,0.0,0.12949101796407186,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
42,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
43,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
43,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.74475,0.0,0.25475,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
43,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.6561561561561562,0.0,0.34384384384384387,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
43,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.710960960960961,0.0,0.28903903903903905,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
43,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8690119760479041,0.0,0.12949101796407186,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
43,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
44,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
44,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.74475,0.0,0.25475,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
44,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.6561561561561562,0.0,0.34384384384384387,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
44,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.710960960960961,0.0,0.28903903903903905,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
44,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8690119760479041,0.0,0.12949101796407186,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
44,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
45,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
45,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.74475,0.0,0.25475,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
45,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.6561561561561562,0.0,0.34384384384384387,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
45,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.710960960960961,0.0,0.28903903903903905,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
45,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8690119760479041,0.0,0.12949101796407186,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
45,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
46,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
46,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.74475,0.0,0.25475,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
46,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.6561561561561562,0.0,0.34384384384384387,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
46,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.710960960960961,0.0,0.28903903903903905,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
46,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8690119760479041,0.0,0.12949101796407186,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
46,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
