component,fit_roles,selection_roles,score_replay_roles,uses_final_ood_for_fit_or_selection,uses_report_only_attack_for_fit_or_selection
bq_base_attack_scorer_and_ood_risk,id_fit|ood_train|phase_balanced_support_train|raw_alarm_subset_of_id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,dev_future_far|dev_future_mid|dev_future_near|final_ood_report_only|id_calib|ood_stress_val|ood_val|sealed_dev_heavy_query_report_only|sealed_heavy_future_far|sealed_heavy_future_mid|sealed_heavy_future_near|sealed_medium_attack_eval_report_only|support_val,False,False
issue27br_past_only_temporal_candidate_selection,none,id_calib|ood_val|ood_stress_val|support_val|dev_future_near|dev_future_mid|dev_future_far,dev_future_far|dev_future_mid|dev_future_near|final_ood_report_only|id_calib|ood_stress_val|ood_val|sealed_dev_heavy_query_report_only|sealed_heavy_future_far|sealed_heavy_future_mid|sealed_heavy_future_near|sealed_medium_attack_eval_report_only|support_val,False,False
