comparison,feature,auc_pos_higher,auc_abs,pos_group,neg_group,pos_n,neg_n
suppressed_report_attack_vs_suppressed_dev_ood,past_role_raw_alarm_rate_w8,0.637836185819071,0.637836185819071,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_role_raw_alarm_rate_w32,0.9419315403422982,0.9419315403422982,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_role_raw_alarm_rate_w128,0.9987597973647021,0.9987597973647021,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_raw_alarm_rate_w8,0.6888753056234719,0.6888753056234719,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_raw_alarm_rate_w32,0.9642122440643229,0.9642122440643229,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_raw_alarm_rate_w128,1.0,1.0,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_attack_margin_mean_w32,0.9996599920428693,0.9996599920428693,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_ood_risk_mean_w32,0.0023602809315745425,0.9976397190684254,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_d_attack_outer_min_mean_w32,0.09285434318844825,0.9071456568115518,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_d_benign_core_min_mean_w32,0.5434262767121704,0.5434262767121704,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_dev_ood,past_source_raw_alarm_run_before,0.9973695130920774,0.9973695130920774,report_only_attack_suppressed,dev_ood_suppressed,10355,8180
suppressed_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w8,0.7836835599505563,0.7836835599505563,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w32,0.9826946847960446,0.9826946847960446,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w128,1.0,1.0,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w8,0.8621755253399258,0.8621755253399258,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w32,1.0,1.0,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w128,1.0,1.0,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_attack_margin_mean_w32,1.0,1.0,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_ood_risk_mean_w32,0.029910966618301234,0.9700890333816987,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_d_attack_outer_min_mean_w32,0.4415362182687642,0.5584637817312358,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_d_benign_core_min_mean_w32,0.9460475732032022,0.9460475732032022,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
suppressed_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_run_before,0.9987462987312579,0.9987462987312579,report_only_attack_suppressed,report_only_ood_suppressed,10355,4045
hard_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w8,0.7793566249983144,0.7793566249983144,report_only_attack_hard,report_only_ood_suppressed,40785,4045
hard_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w32,0.9807917487054503,0.9807917487054503,report_only_attack_hard,report_only_ood_suppressed,40785,4045
hard_report_attack_vs_suppressed_final_ood,past_role_raw_alarm_rate_w128,0.9993874083897092,0.9993874083897092,report_only_attack_hard,report_only_ood_suppressed,40785,4045
hard_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w8,0.8583282833357049,0.8583282833357049,report_only_attack_hard,report_only_ood_suppressed,40785,4045
hard_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w32,0.9979726513646812,0.9979726513646812,report_only_attack_hard,report_only_ood_suppressed,40785,4045
hard_report_attack_vs_suppressed_final_ood,past_source_raw_alarm_rate_w128,0.9986531319153333,0.9986531319153333,report_only_attack_hard,report_only_ood_suppressed,40785,4045
