seed,role,role_type,n_suppressed,past_source_raw_alarm_rate_w32_p50,past_source_raw_alarm_rate_w32_p95,past_source_attack_margin_mean_w32_p50,past_source_attack_margin_mean_w32_p95,past_source_d_attack_outer_min_mean_w32_p50,past_source_d_attack_outer_min_mean_w32_p95,past_source_raw_alarm_run_before_p50,past_source_raw_alarm_run_before_p95
42,final_ood_report_only,report_only_benign_ood,809,0.53125,0.875,0.12657931383988474,0.24270844091749136,3.9378199465572834,85.90301707535981,4.0,15.0
43,final_ood_report_only,report_only_benign_ood,809,0.53125,0.875,0.12657931383988474,0.24270844091749136,3.9378199465572834,85.90301707535981,4.0,15.0
44,final_ood_report_only,report_only_benign_ood,809,0.53125,0.875,0.12657931383988474,0.24270844091749136,3.9378199465572834,85.90301707535981,4.0,15.0
45,final_ood_report_only,report_only_benign_ood,809,0.53125,0.875,0.12657931383988474,0.24270844091749136,3.9378199465572834,85.90301707535981,4.0,15.0
46,final_ood_report_only,report_only_benign_ood,809,0.53125,0.875,0.12657931383988474,0.24270844091749136,3.9378199465572834,85.90301707535981,4.0,15.0
42,id_calib,dev_benign_ood,6,0.0,0.12637362637362637,-0.0566122651161364,-0.04311886609613461,0.6244009799723114,0.6720939056995587,0.0,0.75
43,id_calib,dev_benign_ood,6,0.0,0.12637362637362637,-0.0566122651161364,-0.04311886609613461,0.6244009799723114,0.6720939056995587,0.0,0.75
44,id_calib,dev_benign_ood,6,0.0,0.12637362637362637,-0.0566122651161364,-0.04311886609613461,0.6244009799723114,0.6720939056995587,0.0,0.75
45,id_calib,dev_benign_ood,6,0.0,0.12637362637362637,-0.0566122651161364,-0.04311886609613461,0.6244009799723114,0.6720939056995587,0.0,0.75
46,id_calib,dev_benign_ood,6,0.0,0.12637362637362637,-0.0566122651161364,-0.04311886609613461,0.6244009799723114,0.6720939056995587,0.0,0.75
42,ood_stress_val,dev_benign_ood,778,0.875,1.0,0.2022435770263251,0.2711083024732679,24131.830613932572,45029.395847979446,14.0,36.14999999999998
43,ood_stress_val,dev_benign_ood,778,0.875,1.0,0.2022435770263251,0.2711083024732679,24131.830613932572,45029.395847979446,14.0,36.14999999999998
44,ood_stress_val,dev_benign_ood,778,0.875,1.0,0.2022435770263251,0.2711083024732679,24131.830613932572,45029.395847979446,14.0,36.14999999999998
45,ood_stress_val,dev_benign_ood,778,0.875,1.0,0.2022435770263251,0.2711083024732679,24131.830613932572,45029.395847979446,14.0,36.14999999999998
46,ood_stress_val,dev_benign_ood,778,0.875,1.0,0.2022435770263251,0.2711083024732679,24131.830613932572,45029.395847979446,14.0,36.14999999999998
42,ood_val,dev_benign_ood,852,0.875,1.0,0.11614358165883698,0.1471226102064691,8542.08958966937,22083.55978439265,11.0,37.44999999999993
43,ood_val,dev_benign_ood,852,0.875,1.0,0.11614358165883698,0.1471226102064691,8542.08958966937,22083.55978439265,11.0,37.44999999999993
44,ood_val,dev_benign_ood,852,0.875,1.0,0.11614358165883698,0.1471226102064691,8542.08958966937,22083.55978439265,11.0,37.44999999999993
45,ood_val,dev_benign_ood,852,0.875,1.0,0.11614358165883698,0.1471226102064691,8542.08958966937,22083.55978439265,11.0,37.44999999999993
46,ood_val,dev_benign_ood,852,0.875,1.0,0.11614358165883698,0.1471226102064691,8542.08958966937,22083.55978439265,11.0,37.44999999999993
42,sealed_dev_heavy_query_report_only,report_only_attack,1035,1.0,1.0,0.6967941691012349,0.7799183214690738,3.100960113108158,61.50783971166237,818.0,1854.6
43,sealed_dev_heavy_query_report_only,report_only_attack,1035,1.0,1.0,0.6967941691012349,0.7799183214690738,3.100960113108158,61.50783971166237,818.0,1854.6
44,sealed_dev_heavy_query_report_only,report_only_attack,1035,1.0,1.0,0.6967941691012349,0.7799183214690738,3.100960113108158,61.50783971166237,818.0,1854.6
45,sealed_dev_heavy_query_report_only,report_only_attack,1035,1.0,1.0,0.6967941691012349,0.7799183214690738,3.100960113108158,61.50783971166237,818.0,1854.6
46,sealed_dev_heavy_query_report_only,report_only_attack,1035,1.0,1.0,0.6967941691012349,0.7799183214690738,3.100960113108158,61.50783971166237,818.0,1854.6
42,sealed_heavy_future_far,report_only_attack,466,1.0,1.0,0.6834873955984657,0.7885625274963769,1.637086615897715,70.12151564017404,289.5,612.75
43,sealed_heavy_future_far,report_only_attack,466,1.0,1.0,0.6834873955984657,0.7885625274963769,1.637086615897715,70.12151564017404,289.5,612.75
44,sealed_heavy_future_far,report_only_attack,466,1.0,1.0,0.6834873955984657,0.7885625274963769,1.637086615897715,70.12151564017404,289.5,612.75
45,sealed_heavy_future_far,report_only_attack,466,1.0,1.0,0.6834873955984657,0.7885625274963769,1.637086615897715,70.12151564017404,289.5,612.75
46,sealed_heavy_future_far,report_only_attack,466,1.0,1.0,0.6834873955984657,0.7885625274963769,1.637086615897715,70.12151564017404,289.5,612.75
42,sealed_heavy_future_mid,report_only_attack,389,1.0,1.0,0.7077915921942104,0.7799183214690739,5.99133921880275,40.571767905727015,523.0,653.0
43,sealed_heavy_future_mid,report_only_attack,389,1.0,1.0,0.7077915921942104,0.7799183214690739,5.99133921880275,40.571767905727015,523.0,653.0
44,sealed_heavy_future_mid,report_only_attack,389,1.0,1.0,0.7077915921942104,0.7799183214690739,5.99133921880275,40.571767905727015,523.0,653.0
45,sealed_heavy_future_mid,report_only_attack,389,1.0,1.0,0.7077915921942104,0.7799183214690739,5.99133921880275,40.571767905727015,523.0,653.0
46,sealed_heavy_future_mid,report_only_attack,389,1.0,1.0,0.7077915921942104,0.7799183214690739,5.99133921880275,40.571767905727015,523.0,653.0
42,sealed_heavy_future_near,report_only_attack,180,1.0,1.0,0.6458699622243975,0.7791748730411442,1.3731375681236386,62.798873565532254,380.5,658.05
43,sealed_heavy_future_near,report_only_attack,180,1.0,1.0,0.6458699622243975,0.7791748730411442,1.3731375681236386,62.798873565532254,380.5,658.05
44,sealed_heavy_future_near,report_only_attack,180,1.0,1.0,0.6458699622243975,0.7791748730411442,1.3731375681236386,62.798873565532254,380.5,658.05
45,sealed_heavy_future_near,report_only_attack,180,1.0,1.0,0.6458699622243975,0.7791748730411442,1.3731375681236386,62.798873565532254,380.5,658.05
46,sealed_heavy_future_near,report_only_attack,180,1.0,1.0,0.6458699622243975,0.7791748730411442,1.3731375681236386,62.798873565532254,380.5,658.05
42,sealed_medium_attack_eval_report_only,report_only_attack,1,0.96875,0.96875,0.8063898882360376,0.8063898882360376,0.45697536785155535,0.45697536785155535,24.0,24.0
43,sealed_medium_attack_eval_report_only,report_only_attack,1,0.96875,0.96875,0.8063898882360376,0.8063898882360376,0.45697536785155535,0.45697536785155535,24.0,24.0
44,sealed_medium_attack_eval_report_only,report_only_attack,1,0.96875,0.96875,0.8063898882360376,0.8063898882360376,0.45697536785155535,0.45697536785155535,24.0,24.0
45,sealed_medium_attack_eval_report_only,report_only_attack,1,0.96875,0.96875,0.8063898882360376,0.8063898882360376,0.45697536785155535,0.45697536785155535,24.0,24.0
46,sealed_medium_attack_eval_report_only,report_only_attack,1,0.96875,0.96875,0.8063898882360376,0.8063898882360376,0.45697536785155535,0.45697536785155535,24.0,24.0
