evaluation_role,dataset,holdout,adapter,seed_group,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate
consistency,harder_holdout,chrono_late_train_early_eval,A0_lr_baseline,heldout_47_51,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A0_lr_baseline,main_42_46,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,heldout_47_51,0.9697759081455144,0.965323992994746,0.9567425569176884,0.0036,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,main_42_46,0.9693983636806331,0.9645650904845301,0.9564506713368359,0.0036,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A2_linear_svm_margin,heldout_47_51,0.7478566211090479,0.6479276123759486,0.5738470519556333,0.0108,0.8
consistency,harder_holdout,chrono_late_train_early_eval,A2_linear_svm_margin,main_42_46,0.7863186334474473,0.7172796263864565,0.6510215995329831,0.0097,1.0
consistency,harder_holdout,holdout_bin_2,A0_lr_baseline,heldout_47_51,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,A0_lr_baseline,main_42_46,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0057,1.0
consistency,harder_holdout,holdout_bin_2,A1_low_fpr_weighted_lr,heldout_47_51,0.9793224281645617,0.9784866468842729,0.9756676557863502,0.0045,1.0
consistency,harder_holdout,holdout_bin_2,A1_low_fpr_weighted_lr,main_42_46,0.9801321145788288,0.9784866468842729,0.9759643916913946,0.0045,1.0
consistency,harder_holdout,holdout_bin_2,A2_linear_svm_margin,heldout_47_51,0.8691088976037458,0.7928783382789317,0.7267062314540059,0.0045,1.0
consistency,harder_holdout,holdout_bin_2,A2_linear_svm_margin,main_42_46,0.8718018877771648,0.7942136498516321,0.7068249258160237,0.0047,1.0
consistency,primary_lowood,primary_lowood,A0_lr_baseline,heldout_47_51,0.9670278666057561,0.9512727272727272,0.9476363636363636,0.0037,1.0
