seed,role,n,threshold,fraction_above_threshold,threshold_quantile_position,min,p01,p05,p10,median,p90,p95,p99,max,mean,std
42,id_benign_train,3000,0.9646046669570204,0.0,1.0,0.003348333899800144,0.0036518813755259385,0.003701451966838716,0.0037056465928457113,0.0037056465928457113,0.004129520150835012,0.0073449388700172705,0.02145627006433648,0.22477270522205647,0.004588530856362211,0.007041033351891199
42,ood_benign_val,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003657598403799193,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.040625671196640775,0.8235044416220139,0.9374296189892745,0.9568505934827817,0.9646046669570204,0.24240817799724665,0.33655992334374846
42,final_ood_benign_eval,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003448164689010625,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.006069604571675124,0.7207814708500928,0.8864893390216888,0.9534341019874214,0.9646046669570204,0.24878484395418562,0.32814150505212136
42,attack_support_train_v2,128,0.9646046669570204,0.0,1.0,0.5080580573821338,0.6372471095859922,0.8045633375748664,0.8594160599288038,0.9267600932497284,0.946417606902823,0.95476120353966,0.9633946598459092,0.9642558081232995,0.9078340842310995,0.060859040126546464
42,attack_support_val_v2,64,0.9646046669570204,0.0,1.0,0.0231659704548869,0.03157576286090628,0.7056603925665071,0.8295841552635965,0.9261416541581918,0.943094439707736,0.9508292611085472,0.9543328306385935,0.9558630983419408,0.8729397247326012,0.18242491196284177
42,attack_eval_v2_report_only,4308,0.9646046669570204,0.0009285051067780873,0.9990714948932219,0.041497799705965725,0.1598067170968942,0.6819960194180166,0.8324493151906485,0.9234972888064006,0.9308126247229501,0.9375531609397884,0.9473220876026962,0.9669737752807213,0.8679047582676814,0.16211739569303796
42,new_heldout_attack_eval_probe,6000,0.9646046669570204,0.0,1.0,0.003966538564534285,0.02549499756859246,0.03784179358901926,0.045080411128657245,0.045080411128657245,0.905284473638478,0.9251470654539017,0.9280400707250362,0.939114364660062,0.17585571875222358,0.30872396882952696
43,id_benign_train,3000,0.9646046669570204,0.0,1.0,0.003348333899800144,0.0036518813755259385,0.003701451966838716,0.0037056465928457113,0.0037056465928457113,0.004129520150835012,0.0073449388700172705,0.02145627006433648,0.22477270522205647,0.004588530856362211,0.007041033351891199
43,ood_benign_val,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003657598403799193,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.040625671196640775,0.8235044416220139,0.9374296189892745,0.9568505934827817,0.9646046669570204,0.24240817799724665,0.33655992334374846
43,final_ood_benign_eval,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003448164689010625,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.006069604571675124,0.7207814708500928,0.8864893390216888,0.9534341019874214,0.9646046669570204,0.24878484395418562,0.32814150505212136
43,attack_support_train_v2,128,0.9646046669570204,0.0,1.0,0.5080580573821338,0.6372471095859922,0.8045633375748664,0.8594160599288038,0.9267600932497284,0.946417606902823,0.95476120353966,0.9633946598459092,0.9642558081232995,0.9078340842310995,0.060859040126546464
43,attack_support_val_v2,64,0.9646046669570204,0.0,1.0,0.0231659704548869,0.03157576286090628,0.7056603925665071,0.8295841552635965,0.9261416541581918,0.943094439707736,0.9508292611085472,0.9543328306385935,0.9558630983419408,0.8729397247326012,0.18242491196284177
43,attack_eval_v2_report_only,4308,0.9646046669570204,0.0009285051067780873,0.9990714948932219,0.041497799705965725,0.1598067170968942,0.6819960194180166,0.8324493151906485,0.9234972888064006,0.9308126247229501,0.9375531609397884,0.9473220876026962,0.9669737752807213,0.8679047582676814,0.16211739569303796
43,new_heldout_attack_eval_probe,6000,0.9646046669570204,0.0,1.0,0.003966538564534285,0.02549499756859246,0.03784179358901926,0.045080411128657245,0.045080411128657245,0.905284473638478,0.9251470654539017,0.9280400707250362,0.939114364660062,0.17585571875222358,0.30872396882952696
44,id_benign_train,3000,0.9646046669570204,0.0,1.0,0.003348333899800144,0.0036518813755259385,0.003701451966838716,0.0037056465928457113,0.0037056465928457113,0.004129520150835012,0.0073449388700172705,0.02145627006433648,0.22477270522205647,0.004588530856362211,0.007041033351891199
44,ood_benign_val,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003657598403799193,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.040625671196640775,0.8235044416220139,0.9374296189892745,0.9568505934827817,0.9646046669570204,0.24240817799724665,0.33655992334374846
44,final_ood_benign_eval,3000,0.9646046669570204,0.0003333333333333333,1.0,0.003448164689010625,0.003657598403799193,0.0037086138822440685,0.0037086138822440685,0.006069604571675124,0.7207814708500928,0.8864893390216888,0.9534341019874214,0.9646046669570204,0.24878484395418562,0.32814150505212136
44,attack_support_train_v2,128,0.9646046669570204,0.0,1.0,0.5080580573821338,0.6372471095859922,0.8045633375748664,0.8594160599288038,0.9267600932497284,0.946417606902823,0.95476120353966,0.9633946598459092,0.9642558081232995,0.9078340842310995,0.060859040126546464
44,attack_support_val_v2,64,0.9646046669570204,0.0,1.0,0.0231659704548869,0.03157576286090628,0.7056603925665071,0.8295841552635965,0.9261416541581918,0.943094439707736,0.9508292611085472,0.9543328306385935,0.9558630983419408,0.8729397247326012,0.18242491196284177
44,attack_eval_v2_report_only,4308,0.9646046669570204,0.0009285051067780873,0.9990714948932219,0.041497799705965725,0.1598067170968942,0.6819960194180166,0.8324493151906485,0.9234972888064006,0.9308126247229501,0.9375531609397884,0.9473220876026962,0.9669737752807213,0.8679047582676814,0.16211739569303796
44,new_heldout_attack_eval_probe,6000,0.9646046669570204,0.0,1.0,0.003966538564534285,0.02549499756859246,0.03784179358901926,0.045080411128657245,0.045080411128657245,0.905284473638478,0.9251470654539017,0.9280400707250362,0.939114364660062,0.17585571875222358,0.30872396882952696
