pair,n_a,n_b,max_feature_auc_abs,median_feature_auc_abs,features_auc_gt_0_9,features_auc_gt_0_95,top_feature_index,top_feature_auc_abs,reference_role,target_role,target_n,distance_min,distance_median,distance_p90,distance_p95,distance_p99,distance_max
id_vs_new_heldout,3000,6000,0.9924569444444444,0.8478524722222223,20,20,6,0.9924569444444444,,,,,,,,,
ood_vs_new_heldout,3000,6000,0.9966986111111114,0.84373125,29,22,24,0.9966986111111114,,,,,,,,,
support_train_vs_new_heldout,128,6000,0.9754140625000001,0.8394544270833333,24,19,9,0.9754140625000001,,,,,,,,,
support_val_vs_new_heldout,64,6000,0.9794375,0.8369453125,21,19,6,0.9794375,,,,,,,,,
support_train_vs_support_val,128,64,0.5933837890625,0.527099609375,0,0,89,0.5933837890625,,,,,,,,,
,,,,,,,,,attack_support_train_v2,attack_support_val_v2,64,0.011553416028618813,2.4976284503936768,4.240790367126465,5.118480205535889,5.902219772338867,6.029938220977783
,,,,,,,,,attack_support_train_v2,new_heldout_attack_eval_probe,6000,3.989505785284564e-06,4144.3154296875,7080.2080078125,8179.16064453125,9138.5205078125,10175.4609375
,,,,,,,,,attack_support_train_v2,id_benign_train,3000,0.1046307384967804,14.5128812789917,30.619298934936523,52.35823059082031,254.70846557617188,1369.90869140625
,,,,,,,,,attack_support_train_v2,ood_benign_val,3000,0.0650964304804802,11.610420227050781,1222.8328857421875,2161.5322265625,4685.01611328125,8841.0244140625
,,,,,,,,,attack_support_val_v2,attack_support_val_v2,64,0.0,1.6858739115832577e-07,3.769728778024728e-07,4.129530850605079e-07,4.76837158203125e-07,4.76837158203125e-07
,,,,,,,,,attack_support_val_v2,new_heldout_attack_eval_probe,6000,2.384185791015625e-07,3892.2041015625,6405.521484375,7324.30712890625,8136.32763671875,9104.4326171875
,,,,,,,,,attack_support_val_v2,id_benign_train,3000,0.2949664294719696,14.653621673583984,40.34531784057617,71.78402709960938,444.5409851074219,1262.232177734375
,,,,,,,,,attack_support_val_v2,ood_benign_val,3000,0.22588181495666504,17.35202407836914,2039.7120361328125,7865.3388671875,885175.8125,2579478.75
