artifact,path,expected_sha256,actual_sha256,hash_match
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,True
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,True
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,True
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,True
feature_schema_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,True
state_transition_log_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,True
issue27af_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27af_gotham_kitsune115_larger_materialization_and_fast_frontend_plan_2026-06-02\kitsune115_materialization_data_certificate_medium.json,,0ccc5352e07766ced4381073e322719a10762dee46a161ee387567feccee7928,True
new_heldout_X,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_X.npy,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c,True
new_heldout_sidecar,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_sidecar.csv.gz,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783,True
issue27ap_by_seed,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27ap_new_heldout_attack_probe_and_v2_diagnostic_retest_2026-06-03\new_heldout_v2_histgb_retest_by_seed.csv,,31c13f4ceaa22e02fe804e367acc2b0af63af1418295624be04220d9de925241,True
issue27ao_support_train_indices,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27ao_repair_support_eval_contract_v2_before_head_repair_2026-06-03\contract_v2_support_train_indices.csv,,e8db6f5a84d3955b7b7c78bc03067999454816873fbd03434d98b6d792c9ab2b,True
issue27ao_support_val_indices,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27ao_repair_support_eval_contract_v2_before_head_repair_2026-06-03\contract_v2_support_val_indices.csv,,c4b13ddfff4c3d644382ab201929aa43a0f80d65d337292613fe4b70366397a0,True
