base_detector,seed,seed_group,split,base_only_high_count,base_only_high_attack_count,base_only_high_ood_count,attack_fraction,ood_fraction
dA,42,main_paired_42_46,combined_final_ood_and_attack_eval,85,2,83,0.023529411764705882,0.9764705882352941
dA,43,main_paired_42_46,combined_final_ood_and_attack_eval,94,2,92,0.02127659574468085,0.9787234042553191
dA,44,main_paired_42_46,combined_final_ood_and_attack_eval,86,2,84,0.023255813953488372,0.9767441860465116
dA,45,main_paired_42_46,combined_final_ood_and_attack_eval,108,0,108,0.0,1.0
dA,46,main_paired_42_46,combined_final_ood_and_attack_eval,108,2,106,0.018518518518518517,0.9814814814814815
dA,47,heldout_support_47_51,combined_final_ood_and_attack_eval,108,0,108,0.0,1.0
dA,48,heldout_support_47_51,combined_final_ood_and_attack_eval,109,2,107,0.01834862385321101,0.981651376146789
dA,49,heldout_support_47_51,combined_final_ood_and_attack_eval,108,0,108,0.0,1.0
dA,50,heldout_support_47_51,combined_final_ood_and_attack_eval,108,0,108,0.0,1.0
dA,51,heldout_support_47_51,combined_final_ood_and_attack_eval,107,0,107,0.0,1.0
Transformer,42,main_paired_42_46,combined_final_ood_and_attack_eval,86,2,84,0.023255813953488372,0.9767441860465116
Transformer,43,main_paired_42_46,combined_final_ood_and_attack_eval,95,2,93,0.021052631578947368,0.9789473684210527
Transformer,44,main_paired_42_46,combined_final_ood_and_attack_eval,87,2,85,0.022988505747126436,0.9770114942528736
Transformer,45,main_paired_42_46,combined_final_ood_and_attack_eval,109,0,109,0.0,1.0
Transformer,46,main_paired_42_46,combined_final_ood_and_attack_eval,109,2,107,0.01834862385321101,0.981651376146789
Transformer,47,heldout_support_47_51,combined_final_ood_and_attack_eval,109,0,109,0.0,1.0
Transformer,48,heldout_support_47_51,combined_final_ood_and_attack_eval,110,2,108,0.01818181818181818,0.9818181818181818
Transformer,49,heldout_support_47_51,combined_final_ood_and_attack_eval,109,0,109,0.0,1.0
Transformer,50,heldout_support_47_51,combined_final_ood_and_attack_eval,109,0,109,0.0,1.0
Transformer,51,heldout_support_47_51,combined_final_ood_and_attack_eval,108,0,108,0.0,1.0
