base_detector,seed,seed_group,review_policy,review_budget_target,review_budget_count_target,review_budget_used,attack_high_detection,OOD_high_alarm,high_alert_attack_count,high_alert_ood_count,high_alert_attack_fraction,attack_review_rate,OOD_review_rate,review_count_attack,review_count_ood,review_attack_fraction,incremental_attack_captured_by_review,incremental_ood_burden_by_review,attack_total_captured,OOD_total_burden,feasible_high_alarm,feasible_total_burden_1pct,feasible_total_burden_2pct,attack_captured_per_100_review,ood_review_per_attack_review
dA,42,main_paired_42_46,review_off,0.0,0,0,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0,0.0,0,0,,0.0,0.0,0.9272727272727272,0.0038,True,True,True,,
dA,42,main_paired_42_46,review_top_0.25pct,0.0025,25,25,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0,0.0025,0,25,0.0,0.0,0.0025,0.9272727272727272,0.0063,True,True,True,0.0,
dA,42,main_paired_42_46,review_top_0.5pct,0.005,50,50,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0014545454545454545,0.0048,2,48,0.04,0.0014545454545454545,0.0048,0.9287272727272727,0.0086,True,True,True,4.0,24.0
dA,42,main_paired_42_46,review_top_1pct,0.01,100,85,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0014545454545454545,0.0083,2,83,0.023529411764705882,0.0014545454545454545,0.0083,0.9287272727272727,0.0121,True,False,True,2.3529411764705883,41.5
dA,42,main_paired_42_46,review_top_2pct,0.02,200,85,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0014545454545454545,0.0083,2,83,0.023529411764705882,0.0014545454545454545,0.0083,0.9287272727272727,0.0121,True,False,True,2.3529411764705883,41.5
dA,42,main_paired_42_46,review_all,all,83,85,0.9272727272727272,0.0038,1275,38,0.9710586443259711,0.0014545454545454545,0.0083,2,83,0.023529411764705882,0.0014545454545454545,0.0083,0.9287272727272727,0.0121,True,False,True,2.3529411764705883,41.5
dA,43,main_paired_42_46,review_off,0.0,0,0,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0,0.0,0,0,,0.0,0.0,0.9221818181818182,0.0047,True,True,True,,
dA,43,main_paired_42_46,review_top_0.25pct,0.0025,25,25,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0,0.0025,0,25,0.0,0.0,0.0025,0.9221818181818182,0.0072,True,True,True,0.0,
dA,43,main_paired_42_46,review_top_0.5pct,0.005,50,50,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0014545454545454545,0.0048,2,48,0.04,0.0014545454545454545,0.0048,0.9236363636363636,0.0095,True,True,True,4.0,24.0
dA,43,main_paired_42_46,review_top_1pct,0.01,100,94,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0014545454545454545,0.0092,2,92,0.02127659574468085,0.0014545454545454545,0.0092,0.9236363636363636,0.0139,True,False,True,2.127659574468085,46.0
dA,43,main_paired_42_46,review_top_2pct,0.02,200,94,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0014545454545454545,0.0092,2,92,0.02127659574468085,0.0014545454545454545,0.0092,0.9236363636363636,0.0139,True,False,True,2.127659574468085,46.0
dA,43,main_paired_42_46,review_all,all,92,94,0.9221818181818182,0.0047,1268,47,0.9642585551330799,0.0014545454545454545,0.0092,2,92,0.02127659574468085,0.0014545454545454545,0.0092,0.9236363636363636,0.0139,True,False,True,2.127659574468085,46.0
dA,44,main_paired_42_46,review_off,0.0,0,0,0.9301818181818182,0.0058,1279,58,0.9566192969334331,0.0,0.0,0,0,,0.0,0.0,0.9301818181818182,0.0058,True,True,True,,
dA,44,main_paired_42_46,review_top_0.25pct,0.0025,25,25,0.9301818181818182,0.0058,1279,58,0.9566192969334331,0.0,0.0025,0,25,0.0,0.0,0.0025,0.9301818181818182,0.0083,True,True,True,0.0,
dA,44,main_paired_42_46,review_top_0.5pct,0.005,50,50,0.9301818181818182,0.0058,1279,58,0.9566192969334331,0.0014545454545454545,0.0048,2,48,0.04,0.0014545454545454545,0.0048,0.9316363636363636,0.0106,True,False,True,4.0,24.0
