candidate_rank_ascending,threshold,global_rows,baseline_global_hard,candidate_global_hard,baseline_global_recall,candidate_global_recall,global_recall_loss_pp,eligible_family_count,max_eligible_family_recall_loss_pp,global_gate_pass,all_family_gates_pass,admissible
0,0.065159872174263,4385,4385,4385,1,1,0,11,0,true,true,true
1,0.065159883194168905,4385,4385,4385,1,1,0,11,0,true,true,true
2,0.15963729500984128,4385,4385,4246,1,0.96830102622576963,3.1698973774230366,11,100,false,false,false
3,0.9942676357652217,4385,4385,4245,1,0.96807297605473208,3.1927023945267918,11,100,false,false,false
4,0.99906738652284566,4385,4385,4244,1,0.96784492588369442,3.2155074116305582,11,100,false,false,false
5,0.9991151539499088,4385,4385,4243,1,0.96761687571265675,3.2383124287343246,11,100,false,false,false
6,0.99924399027744981,4385,4385,4242,1,0.9673888255416192,3.2611174458380798,11,100,false,false,false
7,0.99927678232438777,4385,4385,4241,1,0.96716077537058154,3.2839224629418462,11,100,false,false,false
8,0.99940071957829113,4385,4385,4240,1,0.96693272519954387,3.3067274800456126,11,100,false,false,false
9,0.99952458904698638,4385,4385,4239,1,0.96670467502850632,3.3295324971493678,11,100,false,false,false
10,0.99955653128893029,4385,4385,4238,1,0.96647662485746866,3.3523375142531342,11,100,false,false,false
11,0.99963799352867955,4385,4385,4237,1,0.96624857468643099,3.3751425313569006,11,100,false,false,false
12,0.99965482440808362,4385,4385,4236,1,0.96602052451539344,3.3979475484606558,11,100,false,false,false
13,0.99968771188634042,4385,4385,4235,1,0.96579247434435578,3.4207525655644222,11,100,false,false,false
14,0.99970643837376827,4385,4385,4234,1,0.96556442417331811,3.4435575826681886,11,100,false,false,false
15,0.99975136355470284,4385,4385,4233,1,0.96533637400228045,3.4663625997719549,11,100,false,false,false
16,0.99976327663112474,4385,4385,4232,1,0.9651083238312429,3.4891676168757102,11,100,false,false,false
17,0.99977471610938962,4385,4385,4231,1,0.96488027366020523,3.5119726339794766,11,100,false,false,false
18,0.99979142989988523,4385,4385,4230,1,0.96465222348916757,3.5347776510832429,11,100,false,false,false
19,0.99979449990157354,4385,4385,4229,1,0.96442417331813002,3.5575826681869982,11,100,false,false,false
20,0.99980341256692107,4385,4385,4228,1,0.96419612314709235,3.5803876852907646,11,100,false,false,false
21,0.99981294498713869,4385,4385,4227,1,0.96396807297605469,3.6031927023945309,11,100,false,false,false
22,0.9998173165648141,4385,4385,4226,1,0.96374002280501714,3.6259977194982862,11,100,false,false,false
23,0.9998423036186036,4385,4385,4225,1,0.96351197263397947,3.6488027366020526,11,100,false,false,false
24,0.99985010422839382,4385,4385,4224,1,0.96328392246294181,3.6716077537058189,11,100,false,false,false
25,0.99985137002261948,4385,4385,4223,1,0.96305587229190426,3.6944127708095742,11,100,false,false,false
26,0.99985348777278427,4385,4385,4222,1,0.96282782212086659,3.7172177879133406,11,100,false,false,false
27,0.99986563988111388,4385,4385,4221,1,0.96259977194982893,3.7400228050171069,11,100,false,false,false
28,0.99987238479099949,4385,4385,4220,1,0.96237172177879138,3.7628278221208622,11,100,false,false,false
29,0.99989442713748344,4385,4385,4219,1,0.96214367160775371,3.7856328392246286,11,100,false,false,false
30,0.99990178745743019,4385,4385,4218,1,0.96191562143671605,3.8084378563283949,11,100,false,false,false
31,0.99991295473459119,4385,4385,4217,1,0.9616875712656785,3.8312428734321502,11,100,false,false,false
32,0.99991488352643454,4385,4385,4216,1,0.96145952109464083,3.8540478905359166,11,100,false,false,false
33,0.99992258515920296,4385,4385,4215,1,0.96123147092360317,3.8768529076396829,11,100,false,false,false
34,0.99992613114614404,4385,4385,4214,1,0.96100342075256562,3.8996579247434382,11,100,false,false,false
35,0.99993059188612265,4385,4385,4213,1,0.96077537058152795,3.9224629418472046,11,100,false,false,false
36,0.99993524059945882,4385,4385,4212,1,0.96054732041049029,3.9452679589509709,11,100,false,false,false
37,0.99993542502586064,4385,4385,4211,1,0.96031927023945263,3.9680729760547373,11,100,false,false,false
38,0.9999359847670255,4385,4385,4210,1,0.96009122006841507,3.9908779931584926,11,100,false,false,false
39,0.99993703437925396,4385,4385,4209,1,0.95986316989737741,4.0136830102622589,11,100,false,false,false
40,0.9999382362218534,4385,4385,4208,1,0.95963511972633975,4.0364880273660253,11,100,false,false,false
41,0.99994011994209453,4385,4385,4207,1,0.95940706955530219,4.059293044469781,11,100,false,false,false
42,0.99994180237693275,4385,4385,4206,1,0.95917901938426453,4.0820980615735465,11,100,false,false,false
43,0.99994458415129484,4385,4385,4205,1,0.95895096921322687,4.1049030786773137,11,100,false,false,false
44,0.99994725538288232,4385,4385,4204,1,0.95872291904218931,4.1277080957810686,11,100,false,false,false
45,0.99994913748111713,4385,4385,4203,1,0.95849486887115165,4.1505131128848349,11,100,false,false,false
46,0.99995259299675687,4385,4385,4202,1,0.95826681870011399,4.1733181299886013,11,100,false,false,false
47,0.9999579942858926,4385,4385,4201,1,0.95803876852907643,4.1961231470923561,11,100,false,false,false
48,0.99995923914107232,4385,4385,4200,1,0.95781071835803877,4.2189281641961234,11,100,false,false,false
49,0.99996110688022133,4385,4385,4199,1,0.95758266818700111,4.2417331812998889,11,100,false,false,false
50,0.99996223654662042,4385,4385,4198,1,0.95735461801596355,4.2645381984036446,11,100,false,false,false
