candidate_rank_ascending,threshold,attack_family,family_scope,rows,gate_eligible_rows_ge_15,baseline_hard,candidate_hard,baseline_recall,candidate_recall,recall_loss_pp,family_gate_pass
8,0.99940071957829113,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,3,1,0.10000000000000001,90,false
8,0.99940071957829113,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
8,0.99940071957829113,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
8,0.99940071957829113,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
8,0.99940071957829113,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,9,1,1,0,true
8,0.99940071957829113,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
8,0.99940071957829113,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
8,0.99940071957829113,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
8,0.99940071957829113,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1999,1,0.99950000000000006,0.049999999999994493,true
8,0.99940071957829113,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
9,0.99952458904698638,File Download,CKCZ_REPORT_FAMILY,15,true,15,10,1,0.66666666666666663,33.333333333333336,false
9,0.99952458904698638,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
9,0.99952458904698638,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,3,1,0.10000000000000001,90,false
9,0.99952458904698638,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
9,0.99952458904698638,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
9,0.99952458904698638,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
9,0.99952458904698638,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,9,1,1,0,true
9,0.99952458904698638,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
9,0.99952458904698638,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
9,0.99952458904698638,Mirai UDP Flooding,CKCZ_REPORT_FAMILY,60,true,60,54,1,0.90000000000000002,9.9999999999999982,false
9,0.99952458904698638,ToN-credential_bruteforce,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1998,1,0.999,0.10000000000000009,true
9,0.99952458904698638,ToN-reconnaissance_scan,CKBW_TON_FIT_STRATUM_EXACT_NO_MAPPING,2000,true,2000,1997,1,0.99850000000000005,0.14999999999999458,true
10,0.99955653128893029,File Download,CKCZ_REPORT_FAMILY,15,true,15,10,1,0.66666666666666663,33.333333333333336,false
10,0.99955653128893029,Ingress Tool Transfer,CKCZ_REPORT_FAMILY,18,true,18,18,1,1,0,true
10,0.99955653128893029,Merlin C&C Communication,CKCZ_REPORT_FAMILY,30,true,30,3,1,0.10000000000000001,90,false
10,0.99955653128893029,Merlin ICMP Flooding,CKCZ_REPORT_FAMILY,43,true,43,0,1,0,100,false
10,0.99955653128893029,Merlin TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
10,0.99955653128893029,Merlin UDP Flooding,CKCZ_REPORT_FAMILY,30,true,30,30,1,1,0,true
10,0.99955653128893029,Mirai C&C Communication,CKCZ_REPORT_FAMILY,9,false,9,8,1,0.88888888888888884,11.111111111111116,true
10,0.99955653128893029,Mirai GRE Flooding,CKCZ_REPORT_FAMILY,60,true,60,0,1,0,100,false
10,0.99955653128893029,Mirai TCP Flooding,CKCZ_REPORT_FAMILY,60,true,60,60,1,1,0,true
