seed,fit_mode,ood_weight,support_weight,fit_label,threshold,threshold_rule,threshold_source,support_recall_target,selection_feasible,uses_ood_gate,id_calib_alarm_at_threshold,ood_val_alarm_at_threshold_reported_not_gate,support_val_detection_at_threshold,pseudo_query_dev_detection_at_threshold
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.31566994385177616,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.182,0.890625,0.994140625
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.23174831067138577,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.22733333333333333,0.90625,0.9990234375
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.21113313869041014,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.38333333333333336,0.9375,0.9990234375
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.0791712214751878,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8273333333333334,0.984375,0.9990234375
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.31566994385177616,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.182,0.890625,0.994140625
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.23174831067138577,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.22733333333333333,0.90625,0.9990234375
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.21113313869041014,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.38333333333333336,0.9375,0.9990234375
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.0791712214751878,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8273333333333334,0.984375,0.9990234375
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.31566994385177616,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.182,0.890625,0.994140625
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.23174831067138577,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.22733333333333333,0.90625,0.9990234375
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.21113313869041014,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.38333333333333336,0.9375,0.9990234375
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.0791712214751878,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8273333333333334,0.984375,0.9990234375
45,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.31566994385177616,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.182,0.890625,0.994140625
45,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.23174831067138577,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.22733333333333333,0.90625,0.9990234375
45,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.21113313869041014,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.38333333333333336,0.9375,0.9990234375
45,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.0791712214751878,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8273333333333334,0.984375,0.9990234375
46,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.31566994385177616,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.182,0.890625,0.994140625
46,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.23174831067138577,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.22733333333333333,0.90625,0.9990234375
46,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.21113313869041014,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.38333333333333336,0.9375,0.9990234375
46,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,0.0791712214751878,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8273333333333334,0.984375,0.9990234375
42,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.3619734600150433,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.5746666666666667,0.890625,0.880859375
42,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.30311876001394483,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.6606666666666666,0.921875,0.880859375
42,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.2778972603627254,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.6606666666666666,0.921875,0.880859375
42,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.16322394108024255,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8346666666666667,0.984375,0.9990234375
43,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.3619734600150433,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.5746666666666667,0.890625,0.880859375
43,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.30311876001394483,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.6606666666666666,0.921875,0.880859375
43,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.2778972603627254,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.6606666666666666,0.921875,0.880859375
43,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.16322394108024255,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8346666666666667,0.984375,0.9990234375
44,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.3619734600150433,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.5746666666666667,0.890625,0.880859375
44,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.30311876001394483,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.6606666666666666,0.921875,0.880859375
44,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.2778972603627254,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.6606666666666666,0.921875,0.880859375
44,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.16322394108024255,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8346666666666667,0.984375,0.9990234375
45,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.3619734600150433,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.5746666666666667,0.890625,0.880859375
45,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.30311876001394483,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.6606666666666666,0.921875,0.880859375
45,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.2778972603627254,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.6606666666666666,0.921875,0.880859375
45,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.16322394108024255,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8346666666666667,0.984375,0.9990234375
46,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.3619734600150433,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0,0.5746666666666667,0.890625,0.880859375
46,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.30311876001394483,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0,0.6606666666666666,0.921875,0.880859375
46,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.2778972603627254,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0,0.6606666666666666,0.921875,0.880859375
46,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,0.16322394108024255,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.8346666666666667,0.984375,0.9990234375
42,id_support_only,0.0,4.0,id_support_only_w4,0.5546810022645599,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0016666666666666668,0.5606666666666666,0.890625,0.9990234375
42,id_support_only,0.0,4.0,id_support_only_w4,0.524975620497035,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0016666666666666668,0.5686666666666667,0.921875,0.9990234375
42,id_support_only,0.0,4.0,id_support_only_w4,0.47827345121567233,support_val_recall_0.95,support_val_attack_scores_only,0.95,True,False,0.0033333333333333335,0.5686666666666667,0.9375,0.9990234375
42,id_support_only,0.0,4.0,id_support_only_w4,0.4412194930404288,id_calib_alarm_0.01,id_calib_only_no_ood_gate,nan,True,False,0.01,0.5686666666666667,0.953125,0.9990234375
43,id_support_only,0.0,4.0,id_support_only_w4,0.5546810022645599,support_val_recall_0.9,support_val_attack_scores_only,0.9,True,False,0.0016666666666666668,0.5606666666666666,0.890625,0.9990234375
43,id_support_only,0.0,4.0,id_support_only_w4,0.524975620497035,support_val_recall_0.93,support_val_attack_scores_only,0.93,True,False,0.0016666666666666668,0.5686666666666667,0.921875,0.9990234375
