fit_label,threshold_rule,score_role,mean_rate,min_rate,max_rate,std_rate,n_seeds,is_report_only
id_support_only_w16,id_calib_alarm_0.01,dev_heavy_query_report_only,0.999,0.999,0.999,0.0,5,True
id_support_only_w16,id_calib_alarm_0.01,final_ood_benign_eval_report_only,0.43533333333333335,0.43533333333333335,0.43533333333333335,0.0,5,True
id_support_only_w16,id_calib_alarm_0.01,id_calib,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,5,False
id_support_only_w16,id_calib_alarm_0.01,medium_attack_eval_report_only,0.9924444444444445,0.9924444444444445,0.9924444444444445,0.0,5,True
id_support_only_w16,id_calib_alarm_0.01,ood_val_reported_not_gate,0.6693333333333333,0.6693333333333333,0.6693333333333333,0.0,5,False
id_support_only_w16,id_calib_alarm_0.01,pseudo_query_dev,0.9990234375,0.9990234375,0.9990234375,0.0,5,False
id_support_only_w16,id_calib_alarm_0.01,support_train,0.984375,0.984375,0.984375,0.0,5,False
id_support_only_w16,id_calib_alarm_0.01,support_val,0.9375,0.9375,0.9375,0.0,5,False
id_support_only_w16,support_val_recall_0.9,dev_heavy_query_report_only,0.999,0.999,0.999,0.0,5,True
id_support_only_w16,support_val_recall_0.9,final_ood_benign_eval_report_only,0.30266666666666664,0.30266666666666664,0.30266666666666664,0.0,5,True
id_support_only_w16,support_val_recall_0.9,id_calib,0.005,0.005,0.005,0.0,5,False
id_support_only_w16,support_val_recall_0.9,medium_attack_eval_report_only,0.9862222222222222,0.9862222222222222,0.9862222222222222,0.0,5,True
id_support_only_w16,support_val_recall_0.9,ood_val_reported_not_gate,0.5033333333333333,0.5033333333333333,0.5033333333333333,0.0,5,False
id_support_only_w16,support_val_recall_0.9,pseudo_query_dev,0.9970703125,0.9970703125,0.9970703125,0.0,5,False
id_support_only_w16,support_val_recall_0.9,support_train,0.96875,0.96875,0.96875,0.0,5,False
id_support_only_w16,support_val_recall_0.9,support_val,0.890625,0.890625,0.890625,0.0,5,False
id_support_only_w16,support_val_recall_0.93,dev_heavy_query_report_only,0.999,0.999,0.999,0.0,5,True
id_support_only_w16,support_val_recall_0.93,final_ood_benign_eval_report_only,0.3903333333333333,0.3903333333333333,0.3903333333333333,0.0,5,True
id_support_only_w16,support_val_recall_0.93,id_calib,0.005,0.005,0.005,0.0,5,False
id_support_only_w16,support_val_recall_0.93,medium_attack_eval_report_only,0.9897777777777778,0.9897777777777778,0.9897777777777778,0.0,5,True
id_support_only_w16,support_val_recall_0.93,ood_val_reported_not_gate,0.5646666666666667,0.5646666666666667,0.5646666666666667,0.0,5,False
id_support_only_w16,support_val_recall_0.93,pseudo_query_dev,0.9990234375,0.9990234375,0.9990234375,0.0,5,False
id_support_only_w16,support_val_recall_0.93,support_train,0.984375,0.984375,0.984375,0.0,5,False
id_support_only_w16,support_val_recall_0.93,support_val,0.921875,0.921875,0.921875,0.0,5,False
id_support_only_w16,support_val_recall_0.95,dev_heavy_query_report_only,0.9995,0.9995,0.9995,0.0,5,True
id_support_only_w16,support_val_recall_0.95,final_ood_benign_eval_report_only,0.45166666666666666,0.45166666666666666,0.45166666666666666,0.0,5,True
id_support_only_w16,support_val_recall_0.95,id_calib,0.02,0.02,0.02,0.0,5,False
id_support_only_w16,support_val_recall_0.95,medium_attack_eval_report_only,0.9951111111111111,0.9951111111111111,0.9951111111111111,0.0,5,True
id_support_only_w16,support_val_recall_0.95,ood_val_reported_not_gate,0.6813333333333333,0.6813333333333333,0.6813333333333333,0.0,5,False
id_support_only_w16,support_val_recall_0.95,pseudo_query_dev,1.0,1.0,1.0,0.0,5,False
id_support_only_w16,support_val_recall_0.95,support_train,0.9921875,0.9921875,0.9921875,0.0,5,False
id_support_only_w16,support_val_recall_0.95,support_val,0.9375,0.9375,0.9375,0.0,5,False
id_support_only_w4,id_calib_alarm_0.01,dev_heavy_query_report_only,0.9995,0.9995,0.9995,0.0,5,True
id_support_only_w4,id_calib_alarm_0.01,final_ood_benign_eval_report_only,0.46066666666666667,0.46066666666666667,0.46066666666666667,0.0,5,True
id_support_only_w4,id_calib_alarm_0.01,id_calib,0.01,0.01,0.01,0.0,5,False
