seed,fit_mode,ood_weight,support_weight,fit_label,role,n,min,p10,p50,p90,p95,p99,max,mean,std
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,id_calib,600,0.005066096474939751,0.00582932586851148,0.012529639016934725,0.03344496502962951,0.03344496502962951,0.0791712214751878,0.14444554061237225,0.016810333248618796,0.014458962329742487
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,ood_val_reported_not_gate,1500,0.008513202374851503,0.01040850032089268,0.1785429997321391,0.36739167612148704,0.36739167612148704,0.41643240965845424,0.5889454077868891,0.18763958923809884,0.11544642895583833
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_train,128,0.019938600771510304,0.3922435081836412,0.9197673298670173,0.9663721056618443,0.969482334589145,0.9771547997732873,0.9797814488665526,0.8189664854817016,0.2462014770198611
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_val,64,0.03344496502962951,0.3156699438517762,0.835081331189677,0.9638593186842107,0.9647178683239589,0.9666955556399597,0.9700629691780152,0.7355521933568416,0.26530742092913345
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,pseudo_query_dev,1024,0.03891204960999318,0.48770998248403186,0.8668816741177969,0.9647178683239589,0.9647178683239589,0.9647178683239589,0.9702006980628335,0.7823150596078662,0.1891694767837366
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,medium_attack_eval_report_only,2250,0.0061005601700826395,0.7816853730936753,0.9437909246084033,0.9647178683239589,0.9647178683239589,0.9647178683239589,0.9671664424324544,0.8856161280938358,0.14513453846565863
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,dev_heavy_query_report_only,4000,0.013388464808330489,0.48770998248403186,0.7626586170736536,0.9615259449166804,0.9647178683239589,0.9783741599889481,0.9797814488665526,0.7441995864190079,0.1493983777282128
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,final_ood_benign_eval_report_only,3000,0.004536601047459924,0.007132300114527063,0.014146703283617388,0.26413064508573925,0.6804551012177954,0.7875955581557247,0.8226359252317812,0.1067706526196605,0.18856665219139265
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,id_calib,600,0.005066096474939751,0.00582932586851148,0.012529639016934725,0.03344496502962951,0.03344496502962951,0.0791712214751878,0.14444554061237225,0.016810333248618796,0.014458962329742487
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,ood_val_reported_not_gate,1500,0.008513202374851503,0.01040850032089268,0.1785429997321391,0.36739167612148704,0.36739167612148704,0.41643240965845424,0.5889454077868891,0.18763958923809884,0.11544642895583833
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_train,128,0.019938600771510304,0.3922435081836412,0.9197673298670173,0.9663721056618443,0.969482334589145,0.9771547997732873,0.9797814488665526,0.8189664854817016,0.2462014770198611
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_val,64,0.03344496502962951,0.3156699438517762,0.835081331189677,0.9638593186842107,0.9647178683239589,0.9666955556399597,0.9700629691780152,0.7355521933568416,0.26530742092913345
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,pseudo_query_dev,1024,0.03891204960999318,0.48770998248403186,0.8668816741177969,0.9647178683239589,0.9647178683239589,0.9647178683239589,0.9702006980628335,0.7823150596078662,0.1891694767837366
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,medium_attack_eval_report_only,2250,0.0061005601700826395,0.7816853730936753,0.9437909246084033,0.9647178683239589,0.9647178683239589,0.9647178683239589,0.9671664424324544,0.8856161280938358,0.14513453846565863
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,dev_heavy_query_report_only,4000,0.013388464808330489,0.48770998248403186,0.7626586170736536,0.9615259449166804,0.9647178683239589,0.9783741599889481,0.9797814488665526,0.7441995864190079,0.1493983777282128
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,final_ood_benign_eval_report_only,3000,0.004536601047459924,0.007132300114527063,0.014146703283617388,0.26413064508573925,0.6804551012177954,0.7875955581557247,0.8226359252317812,0.1067706526196605,0.18856665219139265
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,id_calib,600,0.005066096474939751,0.00582932586851148,0.012529639016934725,0.03344496502962951,0.03344496502962951,0.0791712214751878,0.14444554061237225,0.016810333248618796,0.014458962329742487
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,ood_val_reported_not_gate,1500,0.008513202374851503,0.01040850032089268,0.1785429997321391,0.36739167612148704,0.36739167612148704,0.41643240965845424,0.5889454077868891,0.18763958923809884,0.11544642895583833
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_train,128,0.019938600771510304,0.3922435081836412,0.9197673298670173,0.9663721056618443,0.969482334589145,0.9771547997732873,0.9797814488665526,0.8189664854817016,0.2462014770198611
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,support_val,64,0.03344496502962951,0.3156699438517762,0.835081331189677,0.9638593186842107,0.9647178683239589,0.9666955556399597,0.9700629691780152,0.7355521933568416,0.26530742092913345
