stage,allowed_roles,forbidden_roles,uses_attack_eval_for_fit_threshold_selection,uses_dev_heavy_query_for_fit_threshold_selection,uses_final_ood_for_fit_threshold_selection,forbidden_role_access
fit,id_fit_from_id_benign_train|ood_train_from_ood_benign_val_when_fit_mode_allows|phase_balanced_support_train,phase_balanced_pseudo_query_dev|attack_eval|dev_heavy_query|final_ood,False,False,False,False
threshold,support_val|id_calib,pseudo_query_dev|attack_eval|dev_heavy_query|final_ood|ood_val_for_gate_repair,False,False,False,False
diagnostic_scoring,pseudo_query_dev|report_only_roles_for_replay_only,using_report_only_to_choose_candidate_or_threshold,False,False,False,False
dev_candidate_ranking,support_val|pseudo_query_dev,attack_eval|dev_heavy_query|final_ood,False,False,False,False
