support_selector,support_pool_role,support_pool_size,support_size,selector_scaler_fit_roles,distance_metric,start_rule,uses_final_ood,uses_attack_eval,selected_indices_sha256,strategy
old_kcenter32,attack_support,2250,32,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,df55420b2430d362732c24c7f687069d06d3c7649c898c2de781abd8865ff4a4,reset_at_split_boundary
old_kcenter64,attack_support,2250,64,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,5ac11331d975b9e696f4adf15beb9268987fdb9134f4cae77d5b08e412f2d918,reset_at_split_boundary
old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,reset_at_split_boundary
old_kcenter32,attack_support,2250,32,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,df55420b2430d362732c24c7f687069d06d3c7649c898c2de781abd8865ff4a4,train_state_then_eval_online
old_kcenter64,attack_support,2250,64,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,5ac11331d975b9e696f4adf15beb9268987fdb9134f4cae77d5b08e412f2d918,train_state_then_eval_online
old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,train_state_then_eval_online
