strategy,support_budget,ood_weight,support_weight,threshold_rule,val_side_legal_all_seeds,support_val_detection_min,final_ood_alarm_report_only_max,attack_eval_detection_report_only_min,new_heldout_detection_report_only_min,report_only_final_ood_under_1pct,report_only_medium_attack_ge_0p95,report_only_medium_attack_ge_0p90,report_only_new_heldout_ge_0p75,selection_note
reset_at_split_boundary,32,2.0,4.0,guarded_id_ood_target_0.005,True,0.75,0.032,0.7928888888888889,0.16066666666666668,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,4.0,np_orderstat_id_ood_1pct,True,0.75,0.04633333333333333,0.8053333333333333,0.16133333333333333,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,4.0,support_val_guided_empirical_1pct,True,0.75,0.015,0.6813333333333333,0.14816666666666667,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,8.0,guarded_id_ood_target_0.005,True,0.75,0.04833333333333333,0.7328888888888889,0.138,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,8.0,np_orderstat_id_ood_1pct,True,0.75,0.05266666666666667,0.7328888888888889,0.138,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,8.0,support_val_guided_empirical_1pct,True,0.75,0.03866666666666667,0.68,0.1325,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,16.0,guarded_id_ood_target_0.005,True,0.75,0.052,0.6813333333333333,0.139,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,16.0,np_orderstat_id_ood_1pct,True,0.75,0.072,0.7435555555555555,0.14283333333333334,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,16.0,support_val_guided_empirical_1pct,True,0.75,0.037333333333333336,0.6671111111111111,0.1315,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,32.0,guarded_id_ood_target_0.005,True,0.75,0.07233333333333333,0.7991111111111111,0.146,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
reset_at_split_boundary,32,2.0,32.0,np_orderstat_id_ood_1pct,True,0.75,0.11866666666666667,0.8355555555555556,0.14766666666666667,False,False,False,False,report-only fields are diagnostic and are not used to select the val-side candidate
