strategy,support_budget,ood_weight,support_weight,threshold_rule,id_calib_alarm_mean,id_calib_alarm_min,id_calib_alarm_max,id_calib_alarm_std,ood_val_alarm_mean,ood_val_alarm_min,ood_val_alarm_max,ood_val_alarm_std,support_val_detection_mean,support_val_detection_min,support_val_detection_max,support_val_detection_std,final_ood_alarm_report_only_mean,final_ood_alarm_report_only_min,final_ood_alarm_report_only_max,final_ood_alarm_report_only_std,attack_eval_detection_report_only_mean,attack_eval_detection_report_only_min,attack_eval_detection_report_only_max,attack_eval_detection_report_only_std,new_heldout_detection_report_only_mean,new_heldout_detection_report_only_min,new_heldout_detection_report_only_max,new_heldout_detection_report_only_std,weighted_normal_to_attack_ratio_mean,weighted_normal_to_attack_ratio_min,weighted_normal_to_attack_ratio_max,weighted_normal_to_attack_ratio_std,selection_feasible_all_seeds,val_side_legal_all_seeds,candidate_selection_score
reset_at_split_boundary,32,2.0,4.0,guarded_id_ood_target_0.005,0.0036666666666666666,0.0,0.005,0.0019436506316151002,0.0008,0.0,0.004,0.0016,0.925,0.75,1.0,0.09999999999999999,0.0164,0.007,0.032,0.00866512806855412,0.8954666666666666,0.7928888888888889,0.9662222222222222,0.0778427157482428,0.1724,0.16066666666666668,0.20566666666666666,0.01699888885257569,56.25,56.25,56.25,0.0,True,True,0.7496
reset_at_split_boundary,32,2.0,4.0,np_orderstat_id_ood_1pct,0.007999999999999998,0.006666666666666667,0.008333333333333333,0.0006666666666666664,0.0012000000000000001,0.0,0.006,0.0024000000000000002,0.925,0.75,1.0,0.09999999999999999,0.02533333333333333,0.009333333333333334,0.04633333333333333,0.012513104242264496,0.9073777777777778,0.8053333333333333,0.9862222222222222,0.08196673821032226,0.19503333333333334,0.16133333333333333,0.262,0.037682356614203424,56.25,56.25,56.25,0.0,True,True,0.7494
reset_at_split_boundary,32,2.0,4.0,support_val_guided_empirical_1pct,0.001,0.0,0.0033333333333333335,0.0013333333333333335,0.0,0.0,0.0,0.0,0.925,0.75,1.0,0.09999999999999999,0.007866666666666666,0.0033333333333333335,0.015,0.004187813006543842,0.8582222222222221,0.6813333333333333,0.9662222222222222,0.10529038036559114,0.16106666666666666,0.14816666666666667,0.16983333333333334,0.0072965745387818795,56.25,56.25,56.25,0.0,True,True,0.75
reset_at_split_boundary,32,2.0,8.0,guarded_id_ood_target_0.005,0.003333333333333333,0.0016666666666666668,0.005,0.0014907119849998597,0.0002666666666666667,0.0,0.0013333333333333333,0.0005333333333333334,0.925,0.75,1.0,0.09999999999999999,0.02493333333333333,0.007,0.04833333333333333,0.013302297211801843,0.876,0.7328888888888889,0.9866666666666667,0.09412447760253768,0.166,0.138,0.196,0.019226139613672952,28.125,28.125,28.125,0.0,True,True,0.7498666666666667
reset_at_split_boundary,32,2.0,8.0,np_orderstat_id_ood_1pct,0.006333333333333332,0.0016666666666666668,0.008333333333333333,0.002449489742783178,0.0002666666666666667,0.0,0.0013333333333333333,0.0005333333333333334,0.925,0.75,1.0,0.09999999999999999,0.03606666666666667,0.007,0.05266666666666667,0.01789028289944634,0.8861333333333332,0.7328888888888889,0.9871111111111112,0.10078267536794698,0.16716666666666666,0.138,0.20033333333333334,0.02050094848754293,28.125,28.125,28.125,0.0,True,True,0.7498666666666667
reset_at_split_boundary,32,2.0,8.0,support_val_guided_empirical_1pct,0.001,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.925,0.75,1.0,0.09999999999999999,0.016466666666666664,0.0036666666666666666,0.03866666666666667,0.012239462588056898,0.8439111111111112,0.68,0.9866666666666667,0.10365351589803738,0.15763333333333335,0.1325,0.17566666666666667,0.01402196689325558,28.125,28.125,28.125,0.0,True,True,0.75
reset_at_split_boundary,32,2.0,16.0,guarded_id_ood_target_0.005,0.004333333333333333,0.0033333333333333335,0.005,0.000816496580927726,0.0002666666666666667,0.0,0.0013333333333333333,0.0005333333333333334,0.925,0.75,1.0,0.09999999999999999,0.027733333333333332,0.01,0.052,0.014062400616932766,0.8515555555555556,0.6813333333333333,0.9808888888888889,0.10448812325443774,0.15893333333333334,0.139,0.17916666666666667,0.012797829677114958,14.0625,14.0625,14.0625,0.0,True,True,0.7498666666666667
reset_at_split_boundary,32,2.0,16.0,np_orderstat_id_ood_1pct,0.006999999999999999,0.0033333333333333335,0.008333333333333333,0.0019436506316151,0.0002666666666666667,0.0,0.0013333333333333333,0.0005333333333333334,0.925,0.75,1.0,0.09999999999999999,0.033666666666666664,0.011666666666666667,0.072,0.020770705867211692,0.8688,0.7435555555555555,0.9871111111111112,0.0851221460789519,0.1617,0.14283333333333334,0.18766666666666668,0.014585533167415508,14.0625,14.0625,14.0625,0.0,True,True,0.7498666666666667
reset_at_split_boundary,32,2.0,16.0,support_val_guided_empirical_1pct,0.0003333333333333334,0.0,0.0016666666666666668,0.0006666666666666668,0.0,0.0,0.0,0.0,0.925,0.75,1.0,0.09999999999999999,0.013533333333333336,0.0033333333333333335,0.037333333333333336,0.012204917041913888,0.7967111111111111,0.6671111111111111,0.9733333333333334,0.09971677422444229,0.14713333333333334,0.1315,0.16033333333333333,0.009772637537760438,14.0625,14.0625,14.0625,0.0,True,True,0.75
reset_at_split_boundary,32,2.0,32.0,guarded_id_ood_target_0.005,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.925,0.75,1.0,0.09999999999999999,0.03546666666666667,0.011666666666666667,0.07233333333333333,0.028371033741398207,0.8829333333333335,0.7991111111111111,0.9688888888888889,0.06470146448244307,0.15489999999999998,0.146,0.16366666666666665,0.007343629136121244,7.03125,7.03125,7.03125,0.0,True,True,0.75
