scalar,frontier_points,compatible_points,future_gate_points,ood_gate_points,future_and_ood_points,max_future_under_ood_cap_pct,ood_macro_at_that_point_pct,worst_family_delta_under_ood_cap_pp,min_ood_at_future_gate_pct,future_recall_at_min_ood_point_pct,worst_family_delta_at_min_ood_point_pp
pair_conflict_count_so_far,5322,0,64,4142,0,73.973103,30.261111,-27.480385,73.397222,84.845233,-18.562874
pair_consecutive_conflicts_so_far,3576,0,1,2396,0,66.205448,30.261111,-55.399960,93.091667,86.833954,0.000000
pair_conflict_fraction_so_far,29550,0,3846,1,0,63.190782,0.152778,-95.305259,93.091667,84.830011,-9.335584
pair_conflict_span_seconds_so_far,49282,0,5235,9872,0,67.966603,30.269444,-45.849285,83.208333,84.830011,-4.790419
