seed,role,subspace_name,rows,raw_alarm_rate,attack_shell_rate,benign_core_rate,conflict_uncapped_rate,attack_advantage_p50,attack_advantage_p95,attack_outer_p50,benign_outer_p50,uses_report_only_for_selection
42,id_calib,HH,600,0.01,0.73,1.0,0.01,-0.6783862709999084,0.00855496246367693,0.6879788041114807,0.010659576393663883,False
42,ood_val,HH,1500,0.0,0.14333333333333334,1.0,0.0,-38.193580627441406,-0.5282779335975647,38.20057678222656,0.008006740361452103,False
42,ood_stress_val,HH,2850,0.2463157894736842,0.4305263157894737,0.8894736842105263,0.007368421052631579,-1.5739949941635132,-0.3809920847415924,1.581984281539917,0.008585937321186066,False
42,support_medium_val,HH,25,1.0,1.0,1.0,1.0,-0.25816288590431213,-0.12350255250930786,0.27021682262420654,0.010766823776066303,False
42,support_heavy_val,HH,8,1.0,1.0,1.0,1.0,0.09670126438140869,0.1107378676533699,0.03661442548036575,0.13434362411499023,False
42,pseudo_medium_query,HH,28,0.7142857142857143,0.8928571428571429,1.0,0.7142857142857143,-0.6392949819564819,-0.2546035051345825,0.6486771702766418,0.008535953238606453,False
42,pseudo_heavy_query,HH,32,1.0,0.9375,1.0,0.9375,0.053560011088848114,0.09769268333911896,0.1576264649629593,0.21043628454208374,False
42,medium_attack_eval_report_only,HH,2250,0.9497777777777778,0.9831111111111112,0.9995555555555555,0.9448888888888889,-0.2176918387413025,-0.058331917971372604,0.2276315689086914,0.009671835228800774,False
42,dev_heavy_query_report_only,HH,4000,0.9995,0.85325,1.0,0.85275,-0.128969207406044,0.07502380758523941,0.2478553205728531,0.13287431001663208,False
42,final_ood_report_only,HH,3000,0.35433333333333333,0.5176666666666667,0.996,0.016,-0.9405525326728821,-0.23650142550468445,0.9479111433029175,0.008702689781785011,False
43,id_calib,HH,600,0.0016666666666666668,0.96,1.0,0.0016666666666666668,-0.40452009439468384,0.008592025376856327,0.4156733453273773,0.010659576393663883,False
43,ood_val,HH,1500,0.0,0.14333333333333334,1.0,0.0,-24.251712799072266,-0.2706337571144104,24.257843017578125,0.008006740361452103,False
43,ood_stress_val,HH,2850,0.256140350877193,0.6024561403508772,0.8894736842105263,0.0,-0.3774956464767456,-0.1594206988811493,0.3845869302749634,0.008585937321186066,False
43,support_medium_val,HH,16,1.0,0.9375,1.0,0.9375,-0.17368793487548828,-0.0759025439620018,0.18404626846313477,0.010641290806233883,False
43,support_heavy_val,HH,8,1.0,1.0,1.0,1.0,0.07096416503190994,0.1264096200466156,0.14023664593696594,0.21038973331451416,False
43,pseudo_medium_query,HH,66,0.9696969696969697,1.0,1.0,0.9696969696969697,-0.2747105360031128,-0.19444411993026733,0.2886289954185486,0.011901972815394402,False
43,pseudo_heavy_query,HH,35,1.0,0.9142857142857143,1.0,0.9142857142857143,-0.21320833265781403,-0.15681061148643494,0.34458526968955994,0.13128156960010529,False
43,medium_attack_eval_report_only,HH,2250,0.9715555555555555,0.9973333333333333,0.9995555555555555,0.9697777777777777,-0.1232198178768158,-0.032472725957632065,0.13330474495887756,0.009671835228800774,False
43,dev_heavy_query_report_only,HH,4000,0.9995,0.781,1.0,0.7805,-0.2573334574699402,0.07601332664489746,0.39701443910598755,0.13287431001663208,False
43,final_ood_report_only,HH,3000,0.361,0.625,0.996,0.019666666666666666,-0.3113505244255066,-0.02942853420972824,0.3198777437210083,0.008702689781785011,False
44,id_calib,HH,600,0.0,0.5133333333333333,1.0,0.0,-0.9830713868141174,-0.558749794960022,0.9941298961639404,0.010659576393663883,False
44,ood_val,HH,1500,0.0,0.14333333333333334,1.0,0.0,-55.61610412597656,-0.5587468147277832,55.62263488769531,0.008006740361452103,False
