seed,active_label_budget,subspace_name,bank_name,source_roles,train_rows,inner_val_rows,outer_val_rows,prototype_budget,prototype_count,prototype_local_indices_sha256,radius_quantile,inner_radius,outer_radius,inner_distance_mean,outer_distance_mean,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
42,64,HH_HpHp,id,id_fit/id_calib,2400,600,600,32,32,a2104301ae95b2a7c1740a9943a436825a24550ac0d82722b91c34cb9542b931,0.95,7.333560466766357,7.333560466766357,4.006683826446533,4.006683826446533,False,False,False
42,64,HH_HpHp,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,e838c5fd87dfcc6800975db3f0bf4101be678ddf17891454dd9aef25dc6c1125,0.95,5098.474609375,5098.474609375,8370.1279296875,8370.1279296875,False,False,False
42,64,HH_HpHp,attack_medium,medium_support_train/val/pseudo_query,75,25,53,32,32,eb5d1251c60c5393620811cc33796733d32e16e5bc1290144b7b4ede13f9bef1,0.95,8.515436172485352,12.559772491455078,4.961883068084717,6.953606605529785,False,False,False
42,64,HH_HpHp,attack_heavy,active_heavy_train/val/pseudo_query,24,8,40,32,24,1285a2fd4be5bc1133bcdafcaa5a44b6f1e126b63e5dd2ad1a4a695a1d78f8d8,0.95,10.08885383605957,36.693790435791016,3.794555902481079,9.519426345825195,False,False,False
42,64,MI_H_HHjit,id,id_fit/id_calib,2400,600,600,32,32,f45e00bcf3a6bff145858850e822b2bc686a667af7507df576025f9159ef9b76,0.95,4.4222564697265625,4.4222564697265625,2.9207687377929688,2.9207687377929688,False,False,False
42,64,MI_H_HHjit,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,b45425639183c51a0a6e9e8ca4340119a107ee1b0aed59d691a1b4666a19cb43,0.95,6.2728800773620605,6.2728800773620605,1.9693543910980225,1.9693543910980225,False,False,False
42,64,MI_H_HHjit,attack_medium,medium_support_train/val/pseudo_query,75,25,53,32,32,4372f24e2d3d68b6f4ae912fd1b14d7bc289466b6456a528c93a03ee5f394bae,0.95,7.176074504852295,9.157963752746582,2.6238808631896973,4.0187177658081055,False,False,False
42,64,MI_H_HHjit,attack_heavy,active_heavy_train/val/pseudo_query,24,8,40,32,24,1285a2fd4be5bc1133bcdafcaa5a44b6f1e126b63e5dd2ad1a4a695a1d78f8d8,0.95,4.7054948806762695,7.133634567260742,2.0588736534118652,4.669264793395996,False,False,False
42,64,all115,id,id_fit/id_calib,2400,600,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,9.265462875366211,5.714221000671387,5.714221000671387,False,False,False
42,64,all115,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,5098.49853515625,8371.068359375,8371.068359375,False,False,False
