seed,active_label_budget,subspace_name,subspace_dim,proto_budget,bank_radius_q,attack_outer_norm,benign_core_norm,conflict_slack,strong_score_q,weak_score_q,review_budget,strong_score_floor,weak_score_ceiling,id_hard,id_review,id_suppress,ood_hard,ood_review,ood_suppress,stress_hard,stress_review,stress_suppress,support_medium_hard,support_medium_review,support_medium_suppress,support_heavy_hard,support_heavy_review,support_heavy_suppress,pseudo_medium_hard,pseudo_medium_review,pseudo_medium_suppress,pseudo_heavy_hard,pseudo_heavy_review,pseudo_heavy_suppress,dev_attack_min,dev_pseudo_min,dev_review_max,strict_feasible,relaxed_feasible,dev_score,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.25,0.03,-0.012980598704806013,0.8486136914238418,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.02982456140350877,0.0014035087719298245,0.6,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.875,0.0,0.0,0.25,0.25,0.02982456140350877,False,False,0.30653508771929827,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.25,0.05,-0.012980598704806013,0.8486136914238418,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.04982456140350877,0.0014035087719298245,0.6,0.04,0.0,1.0,0.0,0.0,0.25,0.03571428571428571,0.0,0.875,0.03125,0.0,0.25,0.25,0.04982456140350877,False,False,0.30253508771929827,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.25,0.1,-0.012980598704806013,0.8486136914238418,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0014035087719298245,0.6,0.08,0.0,1.0,0.0,0.0,0.25,0.07142857142857142,0.0,0.875,0.09375,0.0,0.25,0.25,0.1,False,False,0.2925,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.5,0.03,-0.012980598704806013,0.9395191281614712,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.02982456140350877,0.0014035087719298245,0.6,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.875,0.0,0.0,0.25,0.25,0.02982456140350877,False,False,0.30653508771929827,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.5,0.05,-0.012980598704806013,0.9395191281614712,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.04982456140350877,0.0014035087719298245,0.6,0.04,0.0,1.0,0.0,0.0,0.25,0.03571428571428571,0.0,0.875,0.03125,0.0,0.25,0.25,0.04982456140350877,False,False,0.30253508771929827,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.0,0.5,0.1,-0.012980598704806013,0.9395191281614712,0.0016666666666666668,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0014035087719298245,0.6,0.08,0.0,1.0,0.0,0.0,0.25,0.07142857142857142,0.0,0.875,0.09375,0.0,0.25,0.25,0.1,False,False,0.2925,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.25,0.03,0.8486136914238418,0.8486136914238418,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02982456140350877,0.0014035087719298245,0.36,0.0,0.0,1.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.875,0.0,0.0,0.21428571428571427,0.21428571428571427,0.02982456140350877,False,False,0.2618922305764411,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.25,0.05,0.8486136914238418,0.8486136914238418,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04982456140350877,0.0014035087719298245,0.36,0.04,0.0,1.0,0.0,0.0,0.21428571428571427,0.03571428571428571,0.0,0.875,0.03125,0.0,0.21428571428571427,0.21428571428571427,0.04982456140350877,False,False,0.2578922305764411,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.25,0.1,0.8486136914238418,0.8486136914238418,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0014035087719298245,0.36,0.08,0.0,1.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.875,0.09375,0.0,0.21428571428571427,0.21428571428571427,0.1,False,False,0.24785714285714283,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.5,0.03,0.8486136914238418,0.9395191281614712,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02982456140350877,0.0014035087719298245,0.36,0.0,0.0,1.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.875,0.0,0.0,0.21428571428571427,0.21428571428571427,0.02982456140350877,False,False,0.2618922305764411,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.5,0.05,0.8486136914238418,0.9395191281614712,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04982456140350877,0.0014035087719298245,0.36,0.04,0.0,1.0,0.0,0.0,0.21428571428571427,0.03571428571428571,0.0,0.875,0.03125,0.0,0.21428571428571427,0.21428571428571427,0.04982456140350877,False,False,0.2578922305764411,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.0,0.25,0.5,0.1,0.8486136914238418,0.9395191281614712,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0014035087719298245,0.36,0.08,0.0,1.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.875,0.09375,0.0,0.21428571428571427,0.21428571428571427,0.1,False,False,0.24785714285714283,False,False,False
42,64,MI_dir,15,32,0.95,1.0,0.75,0.25,0.0,0.25,0.03,-0.012980598704806013,0.8486136914238418,0.01,0.0,0.0,0.0,0.0,0.0,0.011929824561403509,0.02982456140350877,0.0014035087719298245,1.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.9375,0.0,0.0,0.7142857142857143,0.7142857142857143,0.02982456140350877,False,False,0.8809273182957394,False,False,False
